Korean,English
아래,under
모릅니다,I do not know
자리,Seat
죄를,The sin
가져다,To bring
감히,dare
진심이야,I'm serious
돌려,Returns
뭐하고,What are you doing
누구지,Who is it
아닌가요,is not it
저흰,We're
일인지,Going
인간의,human's
저의,my
그땐,MD
명의,Name
남았어,Left language
하루종일,All day
자막,Subtitle
쉽지,Easy
하러,to do
전까지,Until
냄새,smell
갈래,Shall we go
여기선,Not here
생명을,Life
바꿀,Change
아내,wife
어떻게든,Somehow
필요로,Need to
문이,This statement
술을,alcohol
끝나면,The end
왔지,Came
무기,weapon
버리고,Abandoned
지역,area
해줘요,Me yo
어젯밤,yesternight
된다면,If the
올려,Up
싶다면,If you want
좋게,good
될지,Whether
끌고,Attracted
거래를,Deal
볼까,Should
조심해요,Careful
지금부터,From now on
폐하,sire
만,just
미안한데,I'm sorry.
축하해,congratulations
하,And
인생,life
안전하게,safety
말하길,He says
언니가,Sister
유명한,famous
숨어,behind
로,in
밤새,Overnight
처음엔,at first
나요,It's me
잠을,Sleep
세상은,The world
얘는,He does
오랜,long-time
최근,lately
좋죠,Bout
카레브,Carew
내말은,I mean
리처드,Richard
사람한테,A guy
학교에서,At school
달려,run
갈거야,I'm going
왼쪽,left
사실이,The fact
경우,Occation
안해,I will not
수많은,Countless
가기,Going
귀여운,cute
채,pick
크리스,Kris
하니,Hani
소식을,The news
의미가,Meaning
사람과,People and
받았어요,received
됐습니다,Year
전쟁,War
손이,Hand
장난,joke
괜찮니,Are you okay
시작해,Including
아니니까,Do not
스콧,Scott
드릴까요,Would you like
마셔,drink
쿠키,cookie
보이는데,Looks
끝났어요,It's done
방에서,In room
카라,Kara
담배,tobacco
잘하고,Well
내겐,Me
저에게,to me
파티를,The party
폴,pole
뿐이지,Ppunyiji
맘대로,Whatever
전해,the year before
데리러,Pick up
장,chapter
삶의,Of life
괜찮습니다,Fine
찰리,Charlie
없었다,There was no
영국,England
왔네,Newbie
필요합니다,Required
라,la
대니,Danny
이상해,Strange
사건이,Events
매번,every time
거잖아요,You'll
보스,boss
걸세,Gonna
생각해봐,lets think
오신,Welcome
비밀을,Secrets
있긴,Although
개를,More
간다고,Going
빠르게,fast
생각합니다,I think
괜찮으세요,Are you okay
어찌,Why
오른쪽,Right
말로,Malo
위험해,Dangerous
범인은,Shooter
가방,bag
떠나지,Leave
만들었어,I made
싶다고,Wanted
개가,a dog
뉴욕,New York
그러세요,Please
먼,distant
있는거,Itneungeo
이따,later
느낄,Feel
우와,Wow
위하여,for
열쇠,key
도시를,The city
낼,Pay
바닥에,On the floor
든,All
생각했는데,I thought
진,true
말했지,Told
가르쳐,teach
마찬가지야,Machangajiya
깊은,deep
났어,Did you
물건,stuff
금지,prohibition
살아있는,Live
또는,or
찾으면,Finds
존나,Fucking
떠나,leave
가죠,Let's go
사람들도,The people in
않았습니다,It has
파블로,Pablo
선물을,Gifts
자격이,Eligible
스스로를,Themselves
마을,Town
손으로,by hand
누나,sister
놈들을,The guys
때문이지,Because not
비슷한,Similar
없이는,Without
갑니다,going
계신,Who
아가야,HONEY
시체를,The body
데려가,Take
말해요,Tell
자가,self
옳지,Right
어릴,Childhood
듯,Seems
된다는,That
잘못이,Wrong
아시죠,You know
동시에,At the same time
형은,Brother
안다고,Know
이동,move
음식을,food
아빠랑,Dad
전까진,Until around
고작,TT
만들지,Make
해야할,To do
준비를,Prepare
못했어요,I have not
번역,Translation
범인이,Shooter
죽이려고,Kill
수술은,Surgery
뿐,only
싶을,Want
누구나,everyone
우리랑,With us
너희들은,You guys
언제부터,Since when
누구든,Anyone
관심을,Interested
관련된,Relevant
음식,food
걸릴,Take
소릴,Talking about
왕이,The king
찾지,Find
약속,Appointment
들려요,Hear
온다,come
어떤지,Equality
보여줘,show me
생각이야,I think it's
무척,very
치프,Chief
인간이,Humans
선생,teacher
알겠죠,Okay
대해선,Daehaeseon
않네요,Anneyo
개인,individual
전부터,Ago
데이비드,David
잘됐네,Good.
내려놔,Put down
놀라운,amazing
엄청나게,whopping
똑똑한,smart
행동을,Behavior
위험을,The risk
연락,Communication
도,Degree
화장실,restroom
년,year
사랑은,Love is
부르는,vocative
생기면,Saenggimyeon
부모님이,Parents
부인이,Mrs.
하겠습니다,I'll do it
넣어,Put
힘들어,tiring
감정을,Emotions
커다란,Great
빠진,Missing
위에서,On
진정해요,Calm down.
세상의,Worldly
싶진,Want
형님,brother
돌아오지,Come back
방을,The room
결과를,Results
있으세요,Full
않았지,Did
소식이,The news
임무를,The mission
사장님,boss
하긴,Although
하나요,I
남아,stay
듣지,Hear
신,God
오빠가,Brother
앨리슨,Alison
아내는,Wife
하자고,Let's
보안,security
맞습니다,Yes
아래로,Under
버크,Bourke
이러면,This isnt
약간의,Slightly
모르겠는데,I do not know.
대부분,mostly
없었죠,Eopeotjyo
원해요,I want
모르잖아,I do not know
미안합니다,Sorry
누구요,Who
싸우고,Fight
없군,To nourish
줬어,Told
저와,with me
할래,Want
같구나,I guess
됐네,Ferme
왔을,Came
대학,University
드릴,drill
좀더,more
검사를,Checked
예전,Previous
싶습니다,I would like to
스티븐스,Stevens
이거야,IES
있겠어요,I'll be
않았을,Would
나가는,outgoing
반갑습니다,nice to meet you
아저씨가,Uncle
질,quality
기억을,Remember
돕고,Help
죽기,Death
봤을,I saw
섹스,sex
올게요,I'll
떠난,Leaving
하네요,'M
누구랑,with who
앤,And
누군가는,Somebody
아들은,Sons
바,bar
마음대로,as you please
만나게,To meet
않아서,Because
결혼을,Married
보니까,Rattling
씨는,Mr.
잃은,bereaved
그런게,Wasnt
엄만,Mam
해봐요,Try
빨간,Red
때문이죠,Because
강력한,strong
환자의,The patient
대통령님,Mr. President
맥주,beer
아니거든,no it's not
얘기하는,To talk
중요하지,Not important
늦었어,late
남편은,Husband
크고,Larger
두번째,second
해서요,Counting
연락을,Contact
왜죠,Why
나무,tree
만세,hurray
쉐퍼드,Shepard
자유,freedom
관계를,Relationships
싸우는,Fight
거라는,Going
경찰에,The police
기다릴,To wait
여행,Travel
이제야,Now
여자랑,Girl.Magazines
그곳에,there
치료를,Treatment
자네에게,To you
종류의,kind of
연락이,Contact this
줄까,Want
안했어,I did not
고,And
만나는,To meet
달린,With
루시,Lucy
그렇군,Right
않을까,Would
안그래,is not it
전화해서,Call
나와서,Out
지금이,Now
괜찮을거야,It will be fine
세게,Harder
이것이,this
신발,shoes
답을,Answer
팀이,The team
괜히,in vain
헤일리,Hayley
셰퍼드,Shepherd
있을지도,Iteuljido
서서,To stand
애야,Kid.
결과가,Results
해냈어,Did
했나,Have
별거,separation
러시아,Russia
아빤,Dad
알겠다,I know
밤을,Night
루시퍼,Lucifer
전화해,Call me
달리,Unlike
이야기는,Story
친한,friendly
하겠어,I am going to
어떤가,Whether
증거가,Evidence
사랑이,Love
깜짝,surprise
있었을,It was
가봐야,To go
행복해,happy
대부분의,Most of
생각한,Thought
침대,bed
넣고,Place
밑에서,Underneath
않았죠,Did
걸고,Bet
증거를,Evidence
칼을,The sword
게임을,The game
침대에,In bed
가족은,The family
봅시다,let's see
타마오,Tama five
나왔어,I'm here
거래,deal
행복하게,happily
녀석은,Guys
영혼을,The soul
삶은,Life
위험에,The risk
끝날,The end
두려워,I'm afraid
개인적인,personal
아버진,Father
저들은,They
뭡니까,What
즉,In other words
년,year
미스,miss
중국,China
속,genus
걱정마,do not worry
여지가,Choice
가라고,To go
가야지,Gayaji
집은,House
봐서,Looking
결혼식,Wedding ceremony
자를,Who
기꺼이,Gladly
없으니,Eopeuni
여기야,Here we are
오게,Brought
싫어하는,reluctant
하시는,You
몇몇,some
있다가,later
확실한,certain
물어봐,ask
필요하면,"If necessary,"
누구한테,Who
결과,result
없었지,Turned
말게,Do not
정신을,The spirit
부르지,Call
케빈,Kevin
제시,suggest
그쪽,Tha
새끼야,Bitch
불이,Fire
영화를,movie
맨,Top
나한텐,Or hanten
늦게,late
간단한,simple
상당히,Pretty
너흰,Neohuin
발을,The feet
이후,after
이리로,Hither
보입니다,Looks
줄래,Would
돈도,Money
다르게,differently
삶이,Life
다치게,Hurt
뿐입니다,Only
생각보다,Than you think
나에,My
차는,filled
살짝,a little
못하면,If you do not
상처,Wound
필요도,Need to
하셨어요,Did you
곳이야,That's where
죽음의,Death
빈,empty
필요없어,I do not need
농담,joke
번만,Time
번이나,Times
있는건,Articles in
드세요,Please eat
어쩌다,How did
잡았어,Caught
동생이,Brother
뭐냐,What
미첼,Mitchell
건물,building
있대,They say
여자야,Is it a girl
좋아할,Like
인생은,Life is
챙겨,take
됐고,Dwaetgo
이상하게,wonderfully
잃을,To lose
모른다고,Disown
생각하면,If you think
거라고요,I would
인생이,This life
약속해,Promise
자동차,car
들어봐요,Listen
없을거야,Would not
예를,example
돌아가서,home
편지를,The letter
빌리,Billy
분,minute
안다,know
일하러,To work
걸린,hanging
질문에,The question
뒤에서,From behind
미,beauty
주에,The main
말했죠,"He said,"
너희는,You
끝나고,after finish
말에,At the end of
대통령,President
보냈어,Sent
안나,Anna
시간이야,It's Time
춤을,dance
오늘이,today
행크,Hank
달러,dollar
끝이야,It's the end
에이버리,Avery
거네,Geone
일주일,one week
꼬마,Little
가슴,chest
완료,complete
이야,It's
한가지,one thing
어딨어요,Where
아니겠지,No suppose
갈까,Shall
아들아,Son
배리,Barry
땅에,The land
신은,God
고맙소,Thank you.
신경쓰지,Bother
나왔어요,I'm here
누군데,who
분,minute
있었잖아,You were
어딨는지,Where he is
남편을,Husband
비록,Although
뒤를,Followed
너야,it's you
마십시오,Do not
딘,Dean
그만둬,stop
받아야,Need
마실,To drink
심하게,badly
분,minute
들었는데,Heard
오기,Get
없게,Disabled
소중한,precious
개의,doggy
할아버지가,Grandfather
어쩌지,What if
가려고,To go
호텔,hotel
듣는,Hearing
나이,age
일종의,Sort of
필요하지,Not necessary
일들이,Things
더욱,More
안되요,No
제이크,Jake
치워,Put away
저도요,Me too
거였어,Turns out he
엄마의,Mother
인생의,Of life
할머니가,Grandmother
당신이랑,With you
거군요,I'll
지내,stay
아기는,Baby
어떨까,What
아니네,Moly
경찰을,The police
쉬어,rest
해결할,Address
전화가,Telephone
공격을,The attack
아니라는,It is not
신부님,Father
별일,Big deal
하느님,God
걱정할,Worry
사고가,Accidents
찾기,find
길에,On the way
보이네,Looks
나가야,Get out
데려와,And took
사람들과,People
빠른,fast
돌아가는,Return
일들을,Things
말해봐요,Tell me
신을,The gods
자말,Jamal
수밖에,Bound
줬어요,It gave
걸려,Hanging
이대로,like this
에이,a
보내는,Outgoing
어머니는,Mother
가득,full
보여줄,Show
않도록,Prevent
아이의,The child
있다구요,There'm
안됩니다,It's not possible
힘,power
바람에,Wind
헬렌,Helen
및,And
않은데,Aneunde
쓰레기,Garbage
들었지,Heard
도움,help
메시지를,The message
치고,Beating
일할,To work
모른다,I do not know
아예,Altogether
않잖아,You do not
다리가,Legs
팔을,Arms
같애,I think
보인다,see
죽었다고,Dead
정보가,Information
하도록,so
생각하세요,Think
빌,Bill
이곳,this place
계획은,The plan
나보고,Reporting or
그런가,is it
좋고,Good
누구세요,Who
굳이,Bother
자식이,Child
언제든,whenever
완벽하게,perfectly
아이들,children
안전해,Safe.
않다고,Andago
해보자,Let's
앉으세요,Sit
받게,Receive
된거야,Did this happen
하셨죠,What did you
어떠세요,How about
계속해서,Continue
않았다면,If you have
했네,Haetne
각자,Each
단순한,simple
맛이,Taste
있었나,Was
무릎,knee
눈으로,Snow
감옥에서,In prison
좋겠네요,I hope
채로,While
충분한,enough
있었으면,Hope
되겠죠,'Ll
싶다,want
했으면,If you
물어,bite
정도면,It is enough
어딘가에,somewhere
군대를,Army
소식은,News
하더군요,Told
보이네요,Looks
포,artillery
멈추지,Stop
사,four
경찰은,Police
신호를,Signals
차려,Up
없거든,I can not
있을거에요,I'm there
문자,text
불러요,Call
선택을,Select
오셨어요,Ohsyeoteoyo
남의,Others
나가자,Let's go
등,Etc
가짜,fake
사건에,Events
역할을,The role
몇가지,a few
아파요,sick
상황에,The situation
아니란,Exude
이름으로,By name
차로,By car
줘야,Need
뿐이죠,Ppunyijyo
틀렸어,Wrong.
있어서요,I've got
우,Right
따라서,therefore
뭐니,What
말만,Malman
정보,Information
좋다고,Good
말해줘요,Tell
아이들은,Children
이유,Reason
쇼,Show
아빠도,Dad
왠지,Somehow
않는다고,Do
총에,A total of
되기,Become
지구,Earth
향해,toward
전체를,The whole
와인,wine
꿈이,Dream
싶지만,I want
시작할,To start
쳐,Hit
독일,Germany
사랑의,Of love
반가워,See you
많지,Much
늙은,old
쏘지,Shoot
비디오,video
확실하게,Surely
오히려,rather
토레스,Torres
않니,Do not you
부를,Wealth
목소리,voice
얘기야,I tell
레드,Red
거면,Geomyeon
그녀와,And her
올라가,Up
희망을,Hope
알려줘,let me know
월터,WALTER
주셔서,You for
멈출,To stop
그나저나,by the way
차례야,Turn.
고등학교,high school
저요,Me
사실이야,It's true
주십시오,please give it to me
소식,News
온거야,On-going
실제,real
기록을,Record
괜찮다고,Fine.
말하기,speaking
이틀,Two days
들어가면,When you enter
선택의,Selective
멋져,cool
회사를,The company
한참,long time
어땠어,how was it
그에,It
방으로,The room
찰스,Charles
알겠지만,Know
모자,hat
엘리자베스,Elizabeth
손님,customer
하나님,God
프랑스,France
이를,This
질문이,This question
이상의,ideal
됐는데,Dwaetneunde
일어나는,felled
합시다,Let's
요새,these days
미국의,The United States
그러는데,Says
뜻은,Means
성,castle
작전,Operations
여자와,Woman and
사랑하지,Not love
너무나,too
부모님,parents
여행을,trip
않았으면,If you have
사랑한다,love
돌아온,back
관련,relation
벌,bee
목소리를,The voice
중요해,Important
때문에요,Ttaemuneyo
하잖아요,You're supposed
몰라서,Cos
먹으면,Eat
그렇구나,like that
여잔,She's
그니까,I mean
홈즈,Holmes
릭,Rick
헌트,Hunt
오라고,To come
여러분이,You
입에,Mouth
존스,Jones
있으니까요,Iteunikkayo
줘서,Thanks
있었나요,Was
물어볼,Ask
조이,joy
컴퓨터,computer
상황은,The situation
싶네요,I want
봤다고,He saw
붙어,stick
복잡한,complicated
보일,Look
팀을,The team
다행이다,thank God
결국엔,eventually
물에,The water
화를,Tuesday the
자세히,Details
필요하다고,Needed
번,time
가시죠,Let's go
어두운,dark
뛰어난,excellent
여성,female
일인데,One inde
변호사,lawyer
지켜,Protect
가져왔어,Brought
바래,I hope
말해서,Speaking
주,week
놈이야,He's a
태어난,born
나가면,Go out
낫지,Beats
이들은,They
나머지는,rest of it
돼지,pig
저걸,At that
해리,Harry
옛,The old
동네,town
정말이지,Really
고칠,Fix
이야기가,Story
끝이,Ends
인간은,Humans
하킴,Hakim
능력이,Capacity
전체,all
대신에,Instead of
깊이,depth
어딨지,ItWhere
같다고,Like
벽에,On the wall
이상은,More than
탈,mask
언젠가는,Someday
그림,Drawing
그보다,"Rather,"
없었던,Could not
있군요,'Re
어쩌고,What about
책임을,Responsibility
말씀을,The word
아멘,Amen
우주,space
중에서,Between
때를,When
앉아요,sit down please
여섯,six
순간을,Moments
보려고,To see
기억하지,Not remember
죽였어요,It was killed
하루에,Per day
그린,Green
사무실에,The office
손님이,Guests
이해해요,I understand
전쟁이,The war
비가,elegy
년,year
왕,king
것들은,Things
나을,Heal
녀석을,A guy
때문이에요,That's because
그렇겠죠,Yes would
몸은,The body
지킬,Jekyll
마틴,Martin
카드,Card
모르겠습니다,I do not know
좋았어요,It was great
공주님,Princess
어떻게요,how
달라요,different
했거든,Haetgeodeun
뜻이죠,You mean
해치지,Hurt
받아요,take it
잘됐네요,Good for you
어머니를,Mother
꺼,Out
맡아,Take
비행기를,The plane
이러고,Downsized
알겠네,I'll know
계획,plan
노아,Noah
그래야지,Geuraeyaji
우리에겐,We have
신호가,Signals
슬픈,Sad
내일은,tomorrow
인해,Because
잃고,Losing
지미,Jimmy
이름도,Name is
수술실에,Operating room
가져가,take it
남을,Others
주변에,Around
엄마와,Mom and
않다,not
움직일,To move
그런거야,Geureongeoya
혈액,blood
꼬마야,Kid.
피해,damage
확실해요,I'm sure
다니는,Walking
사랑한다고,I say I love you
이곳에서,Here
권리가,The right
되나,Although
필립,Philipp
유일하게,Only
겠어,I
하는거,Haneungeo
재미,fun
해야겠어,We need
접근,Access
에디,Eddie
선을,The line
생각에는,Think
로버트,Robert
동생을,A brother
떠나는,Leaving
돌아와서,Return
식사,meal
무엇이,what
했거든요,Haetgeodeunyo
먹은,Eating
코너,corner
상관없어요,does not matter
목에,Neck
춤,Dance
부모님은,Parents
데이브,Dave
비,ratio
마리,Marie
못된,naughty
있었지만,Although
축하해요,Congratulations
같았어,It was like
사라진,disappeared
대화,Conversation
엘리엇,Eliot
관계가,Relationship
됐네요,That 's
아내와,Wife and
얘기도,Talk to
멈춰요,Stop!
왓슨,Watson
저번에,The other day
볼게요,I'll
이란,Iran
음악을,music
대장,Leader
건데요,Catapult
아줌마,Madame
인생에서,In life
총알이,Bullet
들지,Not like
국장님,Director
방법,Way
끝에,At the end
되니까,Gets
죽이려,Kill
되겠어,Gonna language
관련이,Related
있구나,Putting
사람들한테,Tell people
되는지,How
위해서요,To John
안된다고,Nuggets
저녁에,In the evening
어떠한,Any
말했잖아요,I told you
맞춰,Fit
못하겠어,I can not.
했었어,Haeteoteo
자요,sleep
하겠지,Gonna
설명할,To explain
자유를,The freedom
뜻이,This means
했었지,Haeteotji
편하게,comfortable
높이,Height
찾아봐,Look
매,every
당시,Time
해가,We are
법,method
어디가,Where
만에,Only
키루밍,Kiruna Ming
명은,Found
잠이,sleep
모습이,The appearance
듣기,Listening
파는,Selling
새벽,dawn
둘을,More
그려,Draw
외과,surgery
같으니,Like unto
카논,canon
달러를,Dollars
침대에서,In bed
제안을,Suggestions
범죄,crime
보기엔,View Yen
진정,Calm
다행이야,It's fortunate
나이가,The Age
캡틴,captain
사람으로,A person
배에,Aboard
되길,Hope
살게,To live
어머나,Oh my goodness
끝,End
잘못이야,It's wrong
있는거지,You're
둘이서,Two people
풀어,Released
엉덩이,hip
잊고,Forgot
부탁,Request
통해서,Through
거기로,There is a
힘들게,difficult
폭탄을,The bomb
해주고,Haejugo
읽고,Read
이곳은,This place
만일,if
시작한,Started
그도,He also
와줘서,Coming
말해줄,Tell me
싫다고,Hate
여러분의,Your
딸은,Daughter
이해를,Understanding
뭘요,What
있는걸,Something that
손가락,finger
수술실에서,"In the operating room,"
나처럼,like me
공격,attack
같아서요,Thought
있었네,Iteotne
같았어요,It was like
않겠어,Would've
사랑하고,love
갖게,Have
없단다,Eopdanda
명을,The people
와봐,ICI
나오면,When
릴리가,Lily
타는,Ride
주려고,To give
아시잖아요,You know
땅을,The land
이곳을,Here
말해주지,Tell
부분을,Part
상태로,The state
도로,road
이유로,Two euros
살아요,live
마음은,Heart
배포,distribute
드리죠,I'll
내고,Out
왔는지,It came from
들,field
웨버,Webber
말했던,"He said,"
먹으러,Eat
진지하게,Earnestly
얘기하지,Not tell
줄을,The line
여자의,Woman
원하면,If you want
해야만,Must
들어와요,Come on in.
목이,Thirsty
책임이,Responsibility
만들었어요,I made
미란다,Miranda
이쪽,this way
버릴,Throw
키,key
해본,Done
런던,London
먹었어,ate
봅니다,see
지냈어,How are you
후로,"Since then,"
개인적으로,Personally
거나,Or
지금쯤,By now
살인을,Murder
여자들이,Babes
됐나,Are
캘리,California
아래에,Under
뭐가요,What
생길,Cause
은행,Bank
결혼할,Married to
바비,Bobby
아버지와,Father and
편지,letter
않았고,Did
안되지,Andoeji
말대로,Say as
볼게,I'll
상황,situation
되서,Doeseo
누구라도,Anyone
누워,lie down
보이고,Show
삼촌이,uncle
스티브,Steve
치료,cure
년,year
그놈이,GNOME
여자들은,Girls
하거든,Hageodeun
있었다면,Iteotdamyeon
엘리스,Ellis
들어온,Coming
해낼,Pull
알려,Tell
들면,G.
상상도,Imagined
단순히,simply
시작했어,I started
몰리,Molly
전체가,The whole
도망쳐,Flee
안녕하십니까,Hello
하던데,I heard
들어오세요,Come on in
하다니,should
정확한,accurate
보냈어요,I sent
부스,booth
마리아,Maria
적절한,appropriate
데가,Day
않소,Anso
대기,Waiting
잃었어,I lost
트럭,truck
개자식,Son of a bitch.
견딜,Bear
재밌게,Have fun
너처럼,As you
쉬고,Resting
위험해요,Dangerous
천,cloth
생각하나,I think one
에릭,Eric
들으면,Hear
다만,but
데이빗,David
선생님을,The teacher
만났어,Met
시키는,To
짐을,us
윌슨,Wilson
오웬,Owen
남자의,Men's
기다려봐,wait
부인은,Mrs.
짓은,Anything
충분해,that's enough
나와요,Get out
케이트,Kate
앤디,Andy
꼼짝,Freeze
전투,battle
없겠지,Eopgetji
탄,burnt
브라이언,Brian
키스,kiss
대해서는,About
안전하지,Insecure
무언가를,Something
게이,gay
되잖아요,You are
형제,brother
적을,The enemy
폭탄,bomb
않을거에요,I'm not
그들과,With them
확인하고,Identify and
한테,to
교수님,professor
불가능해,Impossible
않았지만,Although
하겠어요,I'll
속의,generic
흥미로운,interesting
일곱,seven
씨를,Mr.
내로,Into
남자랑,Man Trang
따뜻한,warm
섹스를,Sex
있대요,Shes
말고요,Malgoyo
성하,His Holiness
영웅이,The hero
무언가,something
너만,only you
먹지,Eat
사라,buy it
거란다,Georanda
으,Lead
숙녀,Lady
아니까,I know
잤어,Slept
토미,Tommy
포기하지,Not give up
안되,no
되네,It makes sense
드는,Favorite
슬론,Sloane
틀림없이,Without fail
친구들을,Friends
생겼어요,I have
수업,class
걸까요,Geolkkayo
있구요,Itguyo
시,city
하길,Wish
가는데,Makin
머피,Murphy
바꿔,change
사람이랑,From yirang
놀고,Playing
세계를,The world
아니란다,No Miranda
귀찮게,plaguy
열쇠를,The key
당신에,You
잘해,do well
훔친,stolen
전까지는,Until
속으로,Into
대답해,Answer me
잠,slumbers
최고야,the best
세상에나,"Oh, God."
루이스,Louis
보면서,Looking
롭,Rob
기분은,Feeling
조심,careful
년,year
되는거야,Manifest
알겠나,You understand
이제부터,From now on
그것에,thereto
일어나지,Happened
특별히,especially
잃어버린,lost
때문입니다,because of
대고,Place
사무실에서,Office
부분이,This part
새끼가,Cubs
심한,severe
주의,caution
똑같아,Same
사건은,Events
치즈,Cheese
들어가는,Into
매년,every year
문제에,Issues
일어나서,afoot
목,neck
안전을,Safety
빚을,The debt
거리를,The streets
맛있는,delicious
이번에는,this time
맞았어요,It was right
시간도,Time is
되었습니다,It was
의하면,According to
감정이,The emotions
열고,Open
빈센트,Vincent
박사가,Dr.
안전,safety
당신네,You guys
닥치고,Shut up
양이,Sheep
벽을,Wall
잭슨,Jackson
감정,emotion
가야겠어,I gotta go.
왔구나,Yusheng
복수를,Revenge
생각했던,Thought
과연,indeed
편이,Shift
아프게,Ill
맞을,Fit
형을,Brother
아닐까,Maybe
뭔가요,What
써요,Use it
궁금해,I'm curious
이용해,With
전기,Electricity
되세요,Have
알렉스가,Alex
붉은,Red
개월,month
아무데도,Anywhere
원하는게,Do you want
죄송한데,I'm sorry.
때문이,Because
시작했어요,Started
섹시한,sexy
너나,You and
도와드릴까요,Can I help
신사,Gentleman
왔죠,Came
찾았다,found
목소리가,voice is
길은,The road
부탁이야,please
칠,seven
사라졌어,Gone
이번에,this time
돌아가고,Return
생각했죠,I thought
텐데요,Tendeyo
누구를,who
사업을,Business
살지,To live
친구들은,Friends
정부,government
시험,exam
운명을,The fate
거겠지,Giant suppose
백인,White
얻은,Obtained
괴물이,This monster
없는데요,I do not
수술실,operating room
느끼는,Feeling
해야죠,Gotta
없었습니다,There was no
그러길,Hope so
그럴지도,Map it
끝낼,Exit
없단,Eopdan
잘난,FANCY
계속해,continue
도저히,Deception
왕의,Royal
기뻐,Happy
바보같은,Goofy
무슨일이야,What's up
전쟁은,War
살릴,Save
택시,taxi
찍은,hewn
조만간,soon
진정하세요,calm down
대답을,Answer
평화를,Peace
테디,Teddy
용감한,brave
맞은,stricken
돌아왔어,I came back
시작하자,Let's begin
작년에,Last year
묻는,Asked
하거든요,Hageodeunyo
브라보,bravo
글을,Posts
토마스,Thomas
왔다고,Came
바란다,Hope
났어요,Wobbled
시간,time
불가능한,impossible
뇌,brain
넘게,Over
상처가,Wound
그럴게요,Okay
정확하게,Accurately
혼자가,Alone
점은,Points
이사,move
없군요,Airhead
임신,Pregnant
그림을,Picture
속도를,The speed
잔뜩,loads
알았다고,I knew
떠나야,Leave
에드워드,Edward
토니,Tony
하진,Not
준비됐어요,I'm ready
세워,Erected
여름,summer
감독,director
만지지,Touching
저기에,There is a
보여주고,Show
대충,Roughly
경,circa
친구도,Friends
장소를,A place
어떡하지,What do we do
이해하지,I understand
많고,Many
아무거나,anything
조지가,George
신경을,The nerves
악마가,The devil
자랑스러워,Proud of
규칙을,The rules
굴지,Prominence
말인가,Incorporated
저기서,Over there
시체,dead body
임무,mission
하기로,To a
쉬,wee
어쩜,How
누나가,Sister
가야해,Have to go
하든,Whether
배운,Learned
떠나고,Leave
아야,Ouch
감옥,prison
오전,morning
사망,Dead
창문,window
가족과,Family and
보네,BONNET
걱정은,Worry
잡았다,Caught
제리,Jerry
당겨,Pull
맞고,Hit
방식으로,In a way
돌아오면,Come back
리코,Rico
각,bracket
라그나,Ragnar
벗어,Out
데려,Take
줄래요,Would
방법으로,How to
일어나고,Happening
알어,Know
바람이,The wind
갔지,I went
이용해서,Using
들어올,Coming
없다고요,Not calm
안해요,'M not
읽어,read
쓰면,Write
마을을,The town
조금이라도,Even a little
어디든,Everywhere
번에,The times
미안하네,I'm sorry.
건드리지,Touching
대령님,Colonel
언젠간,Someday
알기,Know
구하고,Seeking
해주지,Haejuji
번,time
자긴,Jagin
찾게,Find
데려갈,Bring to go
만나면,Encounters
조사를,Investigations
바래요,Hope
더그,Doug
오줌,urine
없었고,There was no
생각했지,Thought
운,luck
갔는데,I went
지키고,To keep
재판장님,Your Honor.
종종,often
못하겠어요,I'll never
병원으로,To hospital
죽어가고,Dying
했다는,That
고맙지만,No thanks
엔진,engine
거기다,"Plus,"
같진,Unlikely
레지던트,Residents
두지,Leave
언니는,My sister
살면서,To live
각하,dismissal
훌륭해,Excellent
애들한테,My kids
차고,garage
촬영,shooting
스트레스,stress
여기에서,From here
의사를,The doctor
내는,smoking
지는,losing
바람을,Wind
어느날,One day
알지도,Not even know
블랙,black
않았나,Did
지키는,Keeping
시신을,The body
애초에,First place
있을게,I have
연방,commonwealth
그분은,He is
고통,pain
하시죠,Hasijyo
걸렸어,Busted
비밀로,Secret
결혼한,Married
들어와서,Come in
당한,Who
나라를,Country
그런건,Such thing
지내고,To stay
어딘지,Brea
즐겁게,with joy
연구,Research
허나,But
뜻인지,Means
줄게요,I'll
솔직하게,honestly
나리,Lily
아닌데요,'S not
서류,document
가슴이,The chest
안했어요,I do not
작전을,Operations
것이고,Will
대가를,The price
일본,Japan
온갖,All
장난해,Are you kidding me
현장에서,In the field
영상을,Video
말씀이,The word
왔나,Watna
시스템,system
대부분은,Most
데릭이,Derek
하고요,Wo
아이스크림,Ice cream
원했던,Wanted
엄마야,Mother
엉덩이를,The ass
버스,Bus
돌아가야,Get back
부탁해요,please
혈압이,Blood pressure
묻지,Ask
핸드폰,cell phone
모르게,Unknowingly
멍청아,Asshole.
준비하고,Prepare and
유카와,Yucca
처리할,To handle
정말이에요,Really
뜻이지,You mean
비싼,expensive
잃게,To lose
허,Huh
올거야,Coming
잡는,grasped
벽,wall
부탁해,please
눈은,Snow
배고파,I'm hungry
주로,mainly
저것,that
놔두고,Leave
남자들은,The men
구멍을,The hole
했나요,Has
일만,Days
힘들,Tiring
돈으로,The money
우연히,by chance
시스템을,The system
대위님,Captain
애기,Baby
가져왔어요,I brought
않는다는,Do
없었는데,Eopeotneunde
총이,The total
너희를,You
말했듯이,Like I said
네이단,Nathan
자식아,Asshole
무,radish
조엘,Joel
받으면,When
사실대로,Barely
