、,","
振動,vibration
罪人,sinner
地雷,Land mine
撃ち殺,Killing shooting
照準,Alignment
両,Both
独自,Original
新品,Brand new
社交,Social life
名刺,Business card
分解,Disassembly
アンドレ,Andre
感知,Sensing
発展,development
教官,Instructor
校,school
牧場,Pasture
シリア,Syria
景色,view
却下,Rejection
ユーモア,humor
物体,object
基礎,Foundation
玉座,Throne
重罪,felony
決勝,final
該当,Applicable
向かい,opposite
収入,income
元老,Elder statesman
学習,Study
発動,Activate
一連,The series
防弾,Bulletproof
切り離,Cut away
乗員,Crew
迷路,maze
アップロード,upload
入国,Immigration
同期,Synchronization
アナベル,Annabel
探査,Probe
政策,policy
長者,Millionaire
引き返,Exchange for
後継,successor
資源,resource
法則,law
美女,Beautiful woman
目当て,Mercenary
乱,Ran
認証,Certification
宝物,treasure
自覚,Awareness
適任,Qualified
妥協,compromise
視界,Field of vision
名義,The name
商人,merchant
近道,Short cut
気配,Indication
要望,Demand
当,This
パイア,Paia
先輩,Senior
指定,Designation
響,sound
愛し合,If love
画,Picture
豪華,Gorgeous
不気味,Eerie
安置,Enshrined
フロア,floor
アメリア,Amelia
横たわ,Yokotawa
終身,Whole life
生死,Life and death
無傷,Uninjured
アルフレッド,Alfred
大勢い,Large momentum
出世,Promotion
通り過ぎ,Past
アイアン,Iron
行儀,Manners
予期,Expectation
職人,Craftsman
豊富,Wealth
粉々,In small pieces
別荘,Villa
属,Sp.
定期,Regularly
機体,Aircraft
食物,food
足止め,Confinement
手入れ,Care
長期,Long term
同居,Living together
空中,air
対立,Confrontation
協会,Association
防備,Defense
鑑定,Expert opinion
其処,That place
酒場,Bar
靴下,socks
総,Gross
無能,Incompetence
育ち,Growth
着用,wear
株式,stock
持ちこたえ,Held up
経由,via
夜間,At night
休息,rest
家畜,livestock
知人,acquaintance
上陸,landing
アルマ,Alma
撤回,Withdrawal
ミリアム,Miriam
工事,Construction
落下,Fall
預言,Prophecy
全面,Whole surface
乗り切,Noriki
次々,One by one
続行,Continue
本音,Real intention
倫理,ethics
早速,immediately
高め,Increase
投獄,Imprisonment
薬品,Medicine
体調,Physical condition
大いに,Great
清掃,cleaning
本番,Production
取り掛か,Torikaka
融合,fusion
居所,Residence
発行,Issue
持ち物,Belongings
よそ者,Outsiders
改良,Improvement
アーチー,Archie
手動,Manual
中東,Middle East
放出,release
風船,balloon
対戦,Competition
好物,Favorite food
火傷,burn
西村,Nishimura
アバドン,Abaddon
ああー,A
役人,Government official
独特,Characteristic
家出,Running away from home
アカウント,account
ソフトウェア,software
敷地,site
重荷,The burden
ピアース,Pierce
奨学,Scholarship
アーニー,Ernie
派閥,Factions
住まい,House
アーノルド,Arnold
視,Viewing
打ち合わせ,meeting
執着,Attachment
有力,Leading
あくまで,Only
視聴,Viewing
有り,There
待ち合わせ,Appointment
情け,Compassion
実力,Merit
通じ,Through
起,Cause
実習,Training
余分,extra
進入,Entry
方々,Persons
元々,originally
専攻,Major in
人体,human body
強要,Extortion
記,Record
度胸,courage
企み,Trick
定義,Definition
売却,sale
局長,Director-General
アストラ,Astra
出現,Appearance
依然,still
側面,side
持ち場,Post
長生き,Live longer
生体,Living body
支局,Branch office
発進,Take-off
大地,Earth
規制,Regulation
人違い,Wrong man
大型,large
心得,Knowledge
要員,personnel
臨時,Special
ジア,Zia
裁き,judgment
手当て,allowance
引用,Quote
切り取,Cut
大衆,General public
大陸,Continent
楽器,Musical instrument
漫画,Cartoon
一目,glance
殺戮,Slaughter
土産,gift
ピア,Peer
リディア,Lydia
遺言,will
身近,Familiar
演じ,Play
子孫,descendants
始動,Starting
城壁,Rampart
八,Eight
経緯,Circumstances
主役,Leading part
引き取,Hikito
親衛,Monarch's guards
平等,equality
理,Management
対決,Showdown
受賞,Winning
アンソニー,Anthony
文章,Sentence
共感,Empathy
自首,Surrender
近藤,Kondo
曲げ,bending
解き放,Release solves
疫病,Plague
本題,Main question
気晴らし,Recreation
要塞,Fort
結晶,crystal
内密,Privacy
やり直せ,Redone
申し立て,Allegation
居住,Residence
止まり,Blind
親密,Intimacy
アクション,action
路上,The streets
ジュリアナ,Juliana
物件,Article
丁寧,Polite
任命,Appointment
引っ越し,moving
あいつら,Aitsura
財務,Financial
放り出,Out tossed
器用,Skillful
最小,minimum
口説,Lover's tiff
成年,Majority
山田,Yamada
大半,The majority
褒美,reward
命中,hit
児童,Children
視線,Gaze
押し付け,Pressing
緑色,green
左手,left hand
委ね,Entrusted
規定,Provision
久美子,Kumiko
国務,Secretary of State
仕様,specification
強姦,rape
指図,Instruction
演出,Performance
起こせ,Okose
農家,Farmer
立ち止ま,Tachidoma
積極,Positive
寄生,Parasite
子猫,kitten
歩き回,Arukimawa
私立,private
吐き気,nausea
リア,rear
役所,Government office
制作,Work
出力,output
止血,Hemostat
評決,verdict
反射,Reflection
持ち去,Mochisa
頭部,head
小鳥,Small bird
同胞,Brethren
有機,Organic
アルミン,Aluminate
入隊,Enlistment
仕向け,Destination
留置,Indwelling
居心地,Cosiness
薬局,pharmacy
妥当,Reasonable
体育,physical education
桜井,Sakurai
人民,People
国中,All over the country
整備,Maintenance
あいにく,Unfortunately
演習,Exercises
滅多,Seldom
王座,throne
三角,triangle
道間,Between the road
諸島,Archipelago
強大,Mighty
愛国,Patriotism
アトランタ,Atlanta
手品,Magic
権威,authority
ガーディアン,The Guardian
悪口,Abuse
早急,Urgent
力強,Strength
アリン,Allin
おとぎ話,fairy tale
果物,fruit
少数,a few
落書き,graffiti
次長,Deputy general
聖杯,Holy Grail
空爆,The bombing
回せ,You turn
盛り上が,Moriaga
病人,Sick person
検問,Inspection
アラーム,alarm
合体,Union
難民,refugees
雇い主,employer
手当,allowance
受け止め,Caught
電磁,electromagnetic
来月,next month
盗品,Stolen goods
通行,Passage
出張,Business trip
呼び戻,Return call
同性,Same sex
アンテナ,antenna
称え,Praise
称賛,praise
台本,Libretto
先ほど,Earlier
弁当,Lunch box
凍結,frozen
別名,alias
王族,Royalty
見張れ,Mihare
記入,Record
万が一,By any chance
アメリカン,American
自得,Jitoku
上海,Shanghai
反論,Objection
一線,Clear distinction
口実,excuse
北西,Northwest
名字,Surname
言い分,Excuse
除外,Exclusion
鳥井,Torii
聖堂,Church
交流,Alternating current
教団,Cult
広報,public relations
連隊,regiment
炭素,carbon
放て,Hanate
万全,Perfection
並み,Average
自業,Jigo
戯言,Nonsense
アルゴリズム,algorithm
安らぎ,peace
思い知ら,Know I
病棟,ward
物音,Sounds
分別,Separation
膨大,Expansion
潔白,innocence
時速,Speed
親子,Parent and child
小型,Small size
読み,reading
ギア,gear
点検,inspection
顧問,Adviser
楽園,Paradise
取り調べ,investigation
注入,injection
かあ,Kaa
浜辺,beach
体温,Temperature
支部,Branch
天皇,Emperor
つきあ,Tsukia
毒殺,Poisoning
中学,Junior high school
仮面,mask
住め,Uninhabitable
アムステルダム,Amsterdam
義父,father in law
会員,Member
アンド,and
受付,Acceptance
屋根裏,attic
出会え,Meet
加害,Assault
審議,Deliberation
アイビー,Ivy
変換,conversion
個性,Personality
じゃあまた,see you
製作,Production
感傷,Sentimentality
横切,Transection
如何,How
献身,dedication
差し上げ,Give
人事,human resources
買い手,buyer
配線,wiring
視覚,Vision
家系,Family tree
老師,Roshi
形成,Formation
北朝鮮,North Korea
なあに,Nani
一撃,blow
好調,Favorable
確定,Confirm
小銭,coin
本性,Real nature
口出し,Lead-out
里親,Foster parents
原始,Primeval
情けな,Nasakena
愛せ,Love
真犯人,The real culprit
団長,Grandmaster
壮大,magnificent
無害,Harmless
足首,ankle
推進,Propulsion
植え,Potted
改革,reform
年金,pension
魔物,Goblin
糞野郎,Kusoyaro
主催,Sponsorship
適用,Application
アスガルド,Asgard
食糧,Food
日焼け,Sunburn
減少,Decrease
実家,Home
検証,Verification
性質,nature
回答,Answer
開催,Held
出向,Seconded
感激,Deep emotion
代金,price
響き,sound
応じ,Depending
歌え,Sing
組め,Kume
少尉,Second lieutenant
執事,Butler
寺院,Temple
次期,Next term
ケア,care
視点,point of view
辿り着,Follow wear
劇的,dramatic
悪事,Crime
埋め合わせ,Make up for
致死,lethal
発音,pronunciation
火薬,Gunpowder
ヴィジュアライズ,Visualizers Arise
不潔,Filthy
戦死,Killed
半径,radius
西側,West side
祖先,ancestor
介入,intervention
西部,Western part
下院,House of Representatives
限定,Limit
原,original
作り上げ,Created
そりゃあ,Oh yeah
気違い,Crazy
正午,noon
酸化,Oxidation
階下,downstairs
検知,Detection
象,elephant
傷付け,Hurt
下品,Vulgarity
休日,holiday
大阪,Osaka
企画,Planning
気温,temperature
手本,Model
一夜,overnight
ダイアン,Diane
気まず,Awkwardness
連れ出せ,Tsuredase
衛兵,Guard
後半,Latter half
アルメイダ,Almeida
取り乱,Take turbulent
無知,ignorance
蘇生,resuscitation
森田,Morita
通せ,"Passed,"
観念,Idea
立ち直,Upright
気取,Kido
都会,City
今月,this month
雑音,noise
統計,statistics
気取り,Panache
分裂,division
心地,feeling
言い聞かせ,Telling
金塊,Gold bullion
拘置,detention
アプリ,Application
過小,Too small
牢屋,Jail
保留,on hold
傷口,wound
呼びかけ,Call
制圧,Suppression
アラブ,Arab
落ち合,Fell case
アップル,Apple
健全,Health
引き寄せ,Attracted
ああっ,A'
キックアス,Kick Ass
売女,Bitch
一味,A little bit
引き,pull
引き抜,Pull disconnect
配備,deployment
防げ,Prevent
勝ち目,Odds
至る所,Everywhere
勝ち取,Kachito
農民,farmers
水道,Water supply
天然,Nature
美容,Beauty
向上,Improvement
船員,Sailor
工,Engineering
出航,Departure
愛想,Civility
結びつけ,Tied
ジョージア,Georgia
天候,the weather
導き,Guidance
工業,Industry
消費,consumption
手前,This side
隙間,Gap
領事,Consul
発揮,Display
アリゾナ,Arizona
暗示,Hint
規律,Rules
復旧,restoration
リリアン,Lillian
ジョアン,Joan
岩崎,Iwasaki
健太郎,Kentaro
不滅,immortal
エイドリアン,Adrian
書斎,Study
アーヤ,Arya
成分,component
画家,painter
洪水,flood
台詞,lines
手帳,Notebook
徐々,gradually
決闘,duel
理屈,reason
原稿,Manuscript
水中,Underwater
言い争,Says war
毎月,monthly
北東,Northeast
公聴,Hearing
人目,Glimpse
用語,the term
無数,Countless number
忘れ物,Lost article
アール,R
引き続,Continue
単位,unit
アイランド,Island
防護,protection
住居,Dwelling
不可欠,necessary
聖人,saint
気まぐれ,Capricious
シェア,share
最上,Best
毒物,Poison
出資,Investment
アルビン,Alvin
突っ立,Erect stand
淑女,Lady
目玉,Eyeball
基,Basis
急速,rapid
小隊,platoon
元帥,Marshal
各地,Various places
獅子,lion
不可解,Inexplicable
返済,repayment
関わり,Relation
体力,Physical strength
アル中,Alcoholism
アザ,Aza
同一,Identity
灰色,gray
気持,feeling
処罰,Punishment
アレクス,Arekusu
改めて,again
教科,Subject
時―,Time-
鳴き声,cry
挑発,Provocation
家政,Household economy
行進,march
貫通,Through
身柄,Custody
見学,The tour
示唆,Suggestion
２千,2 thousand
発達,development
等し,Equal
やり直し,Redo
一面,one side
騒音,noise
消耗,Consumption
機材,equipment
複製,Duplication
岸川,Kishikawa
漁師,Fisherman
関節,joint
基金,Fund
領土,territory
一夕,Isseki
花木,Flowers and trees
任意,Any
走り回,Hashirimawa
惨事,disaster
条,Article
アソコ,Dick
手元,At hand
国税,National tax
言及,Reference
手足,limbs
所長,chief
下げろ,Sagero
急行,Express train
気遣い,Solicitude
抗生,Antibiotic
車庫,Garage
活発,Lively
敏感,sensitive
試作,Trial production
和平,peace
精子,sperm
縄張り,Demarcation
広め,Spread
活性,Activity
認知,Recognition
植民,Colonization
若造,Youngster
初心,Original intention
台湾,Taiwan
小児,Child
認可,Approval
退役,Retired
あんま,Massage
光線,Ray
大昔,Long ago
取り合,Take case
代替,Substitute
割り当て,allocation
あの世,The afterlife
振り回,Pretend times
シアトル,Seattle
配慮,Consideration
詩人,poets
アインシュタイン,Einstein
刺青,tattoo
乱れ,Disturbance
あ～,Ah ~
刑期,Prison term
車輪,Wheel
広ま,Hall
消え去,Kiesa
結びつ,Musubitsu
召し上が,Meshiaga
ペア,pair
莫大,enormous
巡回,Patrol
過ぎ去,Sugisa
多田,Tada
墓場,Boneyard
交戦,Battle
アマ,Flax
業績,performance
離脱,Withdrawal
南側,South side
連鎖,chain
適応,Adaptation
仲谷,Nakatani
使い捨て,disposable
達人,Expert
王位,throne
学園,Academy
主婦,housewife
電灯,Electric light
結成,Formation
立ち上げ,Launch
客人,Guests
化石,fossil
宿命,Fate
無理やり,By force
万一,Should
中間,Middle
在庫,stock
総合,Synthesis
学期,semester
問い合わせ,Inquiry
停車,Stopping
ウィリアムズ,Williams
透視,X-ray
マニュアル,manual
加担,Complicity
生理,Menstruation
伊賀,Iga
休戦,Truce
見回,Kai seen
君主,Monarch
米軍,U.S. Army
戦艦,Battleship
消毒,Disinfection
治癒,healing
伝達,Transmission
満月,full moon
親族,relatives
アルバム,album
総理,Prime minister
人助け,Act of mercy
上層,The upper
企て,Attempt
無法,Lawless
金貨,Gold coin
適合,Compatible
来客,Visitor
同類,Same kind
実施,Implementation
フィラデルフィア,Philadelphia
あい,Love
強引,Pushy
誓約,Pledge
方面,Direction
動力,power
一刻,Moment
騒動,Riot
誤魔化,Ayamamaka
存続,The survival
シリアル,Serial
大聖,Daisho
持ち歩,Have Ayumu
搬送,Transport
子息,son
特許,Patent
あわせ,Together
確立,Establishment
用い,Used
一定,Certain
番人,Watchman
調教,Torture
投げろ,Let 's throw
エアコン,Air conditioning
つま先,Toe
陽気,Weather
不意,Unexpected
葉巻,cigar
投げ出,Out throwing
成り行き,Course of events
元カレ,ex boy friend
レア,rare
動転,Being surprised and stunned
あだ名,Nickname
道理,Reason
南西,Southwest
アントン,Anton
散々,Terrible
射程,Range
ベア,Bear
機動,Maneuver
自力,Own
法務,Ministry of Justice
中華,China
手先,Fingers
グロリア,Gloria
ありか,Whether there
肉屋,Butcher
不当,Unfair
施,Facilities
各自,Each
根本,root
送り返,It sends back
仕組み,How it works
一口,bite
小娘,Puss
焦点,focus
長引,Nagahiki
電流,Electric current
星系,Star system
素性,Identity
専念,Devote
旅立,Departure
取り残,Take the remaining
有益,beneficial
総省,Sosho
手数,Trouble
無口,Reticence
間近,Nearness
射手,Shooter
協議,Discussions
後戻り,Backtrack
服用,Dosing
有害,Harmful
リーアム,Liam
一人ぼっち,alone
混合,mixture
速やか,Speed
経費,Expenses
血統,Pedigree
食器,Tableware
実感,Feeling
聞き出,Out to hear
アヒル,duck
素材,Raw materials
アッラー,Allah
頑丈,Sturdy
火葬,Cremate
村人,Villager
減速,Deceleration
半端,Incompleteness
溺死,Death by drowning
中立,Neutrality
代役,Stand-in
消化,digestion
幼児,Infant
移住,Immigration
由梨,Yuri
不吉,Sinister
吸引,Absorption
促進,Promotion
擁護,Protection
結び,Conclusion
入札,bid
類似,Analogy
空き,Free
行使,exercise
敗者,loser
面談,interview
親権,Custody
国籍,Country of Citizenship
朝飯,breakfast
パトリシア,Patricia
勘定,Account
ヴィヴィアン,Vivienne
思い当た,Omoiata
電報,telegram
生まれつき,Born
切開,Incision
光速,speed of light
見上げ,Look up
罰金,fine
流血,Bloodshed
名乗り出,Come forward
あァ,Ah
同席,Attended
順位,Rank
応用,application
頭取,President
手出し,Mess around
球,ball
分かち合,If share
重傷,Serious injuries
横断,Crossing
見送,Mioku
ヘア,hair
預金,deposit
前例,Precedent
万事,everything
往生,Death
交際,Association
娯楽,Amusement
狂信,Fanaticism
長旅,Long trip
清め,Purification
人前,public
威力,power
毒素,toxin
向う,Face
アダムス,Adams
司教,Bishop
ボルチモア,Baltimore
よ〜,Yo ~
消し去,Removed by off
榎本,Enomoto
仕立て,tailoring
日光,sunlight
遺書,Suicide note
情,Affection
接点,contact
アストリッド,Astrid
取り下げ,Withdrawal
品質,quality
具,Ingredients
登れ,Climb
九,Nine
治安,Public order
アキレス,Achilles
出国,Departure
道化,Buffoonery
転校,Change schools
勇者,Brave
足音,footsteps
配属,Assignment
引きつけ,Attracted
アフガン,Afghan
欧州,Europe
本土,main land
水素,hydrogen
最速,Fastest
抹消,Erasure
積荷,A cargo
終結,End
有望,promising
アドレナリン,Adrenalin
地中,Underground
旋回,Turning
っ子,Kid
２、３,"2, 3"
泣き声,cry
懐中,Pocket
アッ,Up
磁気,Magnetism
人狼,Werewolf
黒崎,Kurosaki
３千,3 thousand
脚本,Scenario
主導,Initiative
出生,Birth
三木,Miki
福祉,welfare
由美子,Yumiko
保て,Maintained
貯金,savings
無縁,Unrelated
送還,Repatriation
短気,Quick temper
懸賞,Sweepstakes
回れ,Maware
あれこれ,This and that
連盟,League
無断,Without permission
布,cloth
アロン,Aaron
当事,Concerned
及ぼ,Adversely
全域,Whole area
縫合,suture
一息,breath
寿命,lifespan
師団,Division
でっち上げ,hoax
標識,Mark
アンダー,under
得点,score
投入,Turned
発掘,Excavation
記述,Descriptor
手強,Tezuyo
人身,Trafficking
手榴弾,Grenade
身代わり,A scapegoat
感電,Electric shock
開拓,Pioneer
船体,Hull
清潔,Cleanliness
分割,Split
同級,Same class
ブライア,Bryher
集結,Gathered
ひと言,Word
線路,line
自供,Confession
事例,Example
自家,House
生贄,Sacrifice
片手,one hand
建造,Building
アハハ,Well done
半数,Half of
運用,Investment
条約,Treaty
、,","
改装,Remodeling
大いなる,Great
やり取り,exchange
消息,News
領収,receipt
有毒,Poisonous
作曲,Composition
当選,Winning
亭主,husband
当初,At first
浮上,Surfacing
呼ばわり,Cry
統一,Unity
出場,Participation
手始め,Outset
限度,limit
直美,Naomi
アンドレイ,Andrey
アベル,Abel
当分,For some time
書き,Write
防止,Prevention
就任,Assumption of office
楽観,Optimism
安物,Cheap article
遺族,Bereaved family
呼び名,Nickname
愛らし,Loveliness
裏付け,support
水着,Swimsuit
シンシア,Cynthia
口紅,lipstick
利己,Self-interest
洞察,insight
部外,Outsiders
迂回,Detour
解消,Cancellation
変形,Deformation
アラスカ,Alaska
成人,adult
広大,Huge
乗り物,vehicle
開店,Open
前後,Before and after
高潔,Nobility
従者,Servant
製薬,Pharmacy
信心,Faith
公爵,Duke
葉っぱ,leaf
形式,format
黒子,Beauty spot
新作,New work
連れ帰,Tsurekae
自尊,Self-respect
発想,Idea
世辞,Flattery
近頃,recently
書き留め,Writing down
論争,Controversy
餌食,prey
聞き覚え,Sounds familiar
引き付け,Attracted
丁目,Chome
早朝,early morning
帝王,Emperor
北京,Beijing
渓谷,Valley
習得,Learning
文学,literature
あいさつ,Greetings
アンドロイド,Android
取り憑,Take possession
コロニアル,Colonial
頂上,the top
量子,quantum
盗人,thief
素手,bare hands
二十,twenty
南東,Southeast
あッ,There
乗車,Entraining
宗介,Sousuke
本件,This matter
投げ込,Included throwing
見物,Sightseeing
入れ墨,tattoo
乗り換え,transfer
引越し,moving
実績,Performance
消失,The loss
鋼鉄,steel
性能,Ability
ドリアン,Dorian
餓死,Starvation
人権,human rights
討論,Debate
気遣,Canon
千,thousand
調和,Harmony
細部,details
在住,Resident
強い,strong
水泳,swimming
可,Yes
山脈,Mountain range
艦内,Submarine
即座,Immediate
搭載,powered by
入場,Admission
王室,The royal family
仕置き,Punishment
見下,Under look
進軍,Marched
市内,city
アーヤン,Ayan
命じ,Ordered
隕石,meteorite
手作り,Handmade
景気,Business
大男,Giant
毒島,Busujima
察,Police
大目,Condone
前日,The day before
アシュリー,Ashley
一斉,All at once
優位,Superiority
踏み入れ,Stepped into
居間,Living room
大通り,Main street
頂点,vertex
布告,Proclamation
あげろ,Raise
よ～,Yo ~
手法,Technique
立入,- site
田鶴,Tazuru
大家,Landlord
乱用,abuse
学長,University president
利点,advantage
処,place
流出,Flowing out
濃度,concentration
小川,stream
廃止,Abolition
演劇,theater
投げ捨て,Throw away
取り決め,Agreement
歯科,Dentistry
大王,Great king
見付か,Or find
日誌,Diary
人殺,Killing people
忌々し,Imaimashi
護送,Convoy
アテネ,Athens
田舎者,Hick
悪名,Bad name
遺物,Relic
如何なる,Any
拡張,Extension
商,quotient
両者,Two
ヾ一,Isuzu one
放り込,Included tossed
真山,Mayama
引き止め,Hold back
気前,Generous
返信,reply
迷信,superstition
町中,The whole town
農業,Agriculture
内通,Secret understanding
夏休み,Summer vacation
工藤,Kudo
歌声,Singing voice
必然,Inevitable
横取り,Intercept
技師,Engineer
金子,Kaneko
観測,Observation
罪状,charges
元妻,Ex-wife
懲役,Jail time
要因,Factor
万端,All set
送り出,Out Feed
新年,new Year
セオドア,Theodore
照会,inquiry
器具,Equipment
密売,Smuggling
移行,Migration
野放し,Uncontrolled
全額,Full amount
成り立,Become standing
開き,Open
南アフリカ,South Africa
アビゲール,Abigail
統制,control
司会,Chairmanship
判定,Decision
大樹,Big tree
化合,Compound
汽車,Train
先導,Lead
死神,Reaper
タリア,Thalia
快楽,pleasure
金田一,Kindaichi
アリー,Ally
体操,Gymnastics
アドラー,Adler
当てはま,Applies
アレキ,Alexandrescu
輸入,Import
あきれ,Unstoppable
取り返し,Irreversible
人命,Life
瀕死,dying
強迫,Obsessive-compulsive
総員,All hands
中古,second hand
投下,drop
売り上げ,Earnings
表紙,Front cover
読者,reader
モリアーティ,Moriarty
所詮,after all
持参,Bringing
放浪,wandering
引っ込,Hit Included
監査,audit
アナル,Anal
重症,Serious illness
アダマ,Adama
安っぽ,Cheapness
手渡,personal delivery
学位,degree
整形,Shaping
重役,Director
相応,Correspondingly
早期,Early stage
排水,Drainage
水平,Horizontal
王者,King
修行,Training
磁石,magnet
大手,Leading
日の出,sunrise
式典,ceremony
聖域,Sanctuary
待ち構え,Waiting
ガリアン,Garian
競売,Auction
ありのまま,as is
食い,Eat
調書,Working papers
水槽,Water tank
保守,Maintenance
スクエア,Square
主な,main
担保,collateral
陸,land
行な,Line of
財団,Foundation
直行,Nonstop
アルカディア,Arcadia
発火,Firing
中傷,Slander
竹本,Takemoto
代物,Thing
高官,High official
逆転,Reversal
脱水,dehydration
全能,Almighty
送電,Power Transmission
人道,Humanity
捕食,Predation
顔面,face
作物,produce
教皇,Pope
手短,Briefly
私物,Personal effects
公演,Public performance
枢機,important state matters
腕前,Skill
監察,Inspection
残業,overtime
不全,Incomplete
資本,capital
戦利,Booty
家中,Whole house
先手,First move
近親,Relatives
永井,Nagai
皇太子,Crown Prince
絞殺,Strangulation
聞き込み,Kikikomi
取り替え,Exchange
アスピリン,aspirin
ありふれ,Common
日没,sunset
日向,Sunny place
死角,Blind spot
抜群,Excellent
イライアス,Elias
アナリスト,Analyst
銃創,Gunshot wound
一見,Glimpse
配給,distribution
性交,Sexual intercourse
石炭,coal
陽動,Diversionary
編成,Organization
見放,Miho
恐れ入,Osorei
取調べ,Interrogation
付き添,Appendix attached
察知,Infer
強奪,Extortion
火山,Volcano
動員,mobilization
合併,merger
無論,Of course
各国,The countries
羽目,Wainscoting
議事,Proceedings
生地,Cloth
ハア,Haa
感銘,Impressed
ヶ所,Locations
アルカイダ,Al-Qaeda
師範,Teacher
和らげ,Soften
格子,lattice
水分,moisture
内蔵,Internal
東部,Eastern part
行き詰ま,Ikizuma
高ま,Takama
病的,Abnormal
早起き,Early rising
ガイアス,Gaiasu
目隠し,Blinkers
見過ご,Over your look
取り込,Captures
信託,trust
視野,Field of vision
白雪,White snow
後任,Successor
自立,Self-reliance
灯台,Lighthouse
戸,door
あああ,Oh Oh
標本,Specimen
倒産,bankruptcy
客観,objective
当社,Company
夜通し,All night
大西,Onishi
書き換え,Rewriting
ペンシルバニア,Pennsylvania
目印,Mark
張り込み,Stakeout
重な,Heavy I
蒸気,vapor
思い付,With think
合計,total
芝生,grass
あらら,Oops
年取,Toshitori
配管,Plumbing
元哉,Moto哉
友子,Tomoko
専務,Senior Managing Director
病室,Hospital room
言い切れ,Ikire
河,river
株価,Stock Price
庭師,Gardener
便所,Toilet
支給,Supply
信条,Creed
配送,delivery
情緒,Emotion
ルイジアナ,Louisiana
起立,Standing up
形態,form
過酷,Severity
火炎,flame
来世,The afterlife
歌詞,lyrics
特有,Peculiar
ベアー,Bear
盛大,Grand
家宅,House
殉教,Martyrdom
共存,Coexistence
視力,Eyesight
優雅,Elegance
渡真利,Marie De
賢者,Wise man
アクセント,accent
掛け直,Hanging straight
子羊,Lamb
真っ先,First and foremost
連携,Cooperation
本意,Original purpose
上流,Upper stream
税関,Customs
屠殺,slaughter
系統,system
記載,Described
水族,Water group
生還,Survivor
運び出,Out carry
怠け者,sloth
奪い取,Ubaito
学び,Learn
年月,Months and years
原告,plaintiff
あなただ,You're
荒野,wilderness
関知,Concern
見習,apprentice
藤村,Fujimura
数値,Numeric value
気候,climate
当面,for the time being
異教,Paganism
原則,principle
佐久間,Sakuma
表彰,Commendation
大群,Large crowd
横領,embezzlement
うわあ,O snap
病質,Disease proteins
スケア,Scare
駆け引き,tactics
審問,hearing
循環,Circulation
形見,Memento
換気,ventilation
会談,Conference
片目,one eye
独裁,Dictatorship
分隊,squad
放課,Hoka
音波,Sound wave
落第,Fail
賛同,Support
付きまと,Tsukimato
アプローチ,approach
落ち着き,Calmness
受か,Uka
予知,Prediction
戦線,Front
忍者,Ninja
掲示,Bulletin
矯正,Correction
投降,surrender
作法,Etiquette
アルトン,Alton
世論,public opinion
当日,The day
アクセル,accelerator
乗務,Crew
白紙,White paper
富豪,Millionaire
近隣,Neighborhood
あのう,Excuse me
大隊,battalion
選び,Select
赤外,infrared
農夫,Peasant
時空,Space-time
腹部,abdomen
訂正,correction
アニ,Ani
手間取,Tematori
子宮,Uterus
肉食,Meat diet
公務,Official business
日暮れ,Sunset
停戦,Cease-fire
中退,Dropped out
闘技,Contest
翌朝,next morning
大蛇,Python
飛び回,Tobimawa
用途,Use
創設,Founding
手荒,Rough
決めつけ,Kimetsuke
ウィリアムス,Williams
山﨑,Yamazaki
味見,Tasting
走行,Traveling
整列,Alignment
無欲,unselfish
平静,Calm
参謀,Staff officer
由来,Origin
取り返せ,Torikaese
錯乱,confusion
胎児,Fetus
中庭,courtyard
内務,Internal affairs
私生,I live
あーあ,Aa
通告,Notice
有難,Grateful
導入,Introduction
一帯,Zone
秒間,Seconds
持続,Continuation
積り,Estimates
多大,Much
賃金,wage
気高,Qi with high
引き込,Pull write
義母,Mother-in-law
代々,From generation to generation
見殺し,Letting die without helping
決,Determined
不味,Distaste
スタジアム,Stadium
イリア,Ilia
青春,Youth
アマチュア,amateur
平方,square
方程,As the person
小麦,wheat
側近,Close associate
中世,middle Ages
アタマ,Your head
名づけ,Named
大腿,Thigh
一貫,Consistency
乙女,Maiden
運搬,Transportation
取り込み,Uptake
スコア,Score
浜,beach
中西,Nakanishi
抗争,Dispute
下宿,Boarding house
置き,put
通称,Alias
アニキ,Big Bro
察し,Guess
実践,Practice
石鹸,Soap
金銭,money
気流,air flow
先住,Native
申し分,Alright
悲観,Pessimism
歓声,Cheer
草原,Grassland
孝則,Takanori
宣戦,Declaration of war
セルビア,Serbia
運び屋,Mules
風景,Scenery
伯母,aunt
自衛,Self-defense
架空,Aerial
見本,sample
アルド,Aldo
多量,A large amount
絞め殺,Killing strangled
辞任,Resignation
重量,weight
手際,Skill
不平,Complaint
著名,Famous
調合,Compounding
ミリアド,Myriad
飼育,Breeding
ルーマニア,Romania
近辺,Neighborhood
戦力,War potential
勃起,erection
原料,material
アラゴルン,Aragorn
大至急,ASAP
年頃,Age
挿入,Insertion
着地,Landing
ギリシア,Greek
エミリア,Emilia
原理,principle
接種,Inoculation
兵力,Military forces
編,Editing
代弁,Spokesman
アーティ,Artie
足取り,gait
両側,both sides
大工,carpenter
主演,starring
アメ,Candy
直樹,Naoki
シアーシャ,Shiasha
後援,Support
ガルシア,Garcia
生成,Form
お手上げ,Given up hope
疑念,Doubt
アマゾン,Amazon
受け取り,Acceptance
関口,Sekiguchi
売り物,Article for sale
