French,English
chemise,shirt
ted,ted
voulaient,wanted
emploi,employment
précédemment,previously
surveiller,monitor
privée,private
entière,complete
saint,Holy
parlent,talk
réfléchi,reflexive
my,my
attendent,wait
jette,throws
facilement,easily
joues,play
jury,jury
passera,will pass
voleur,thief
véritable,true
entend,hears
chaise,chair
accusé,accused
zéro,zero
clairement,clearly
mouvement,movement
celles,those
sommeil,sleep
blancs,whites
survivre,to survive
semblait,appeared
o,o
craint,fears
traduction,translation
notes,Notes
repos,rest
siège,seat
policier,police officer
allés,gone
puissance,power
familles,families
second,second
cellule,cell
engagé,engaged
adorable,adorable
matt,matt
spéciale,special
violence,violence
ours,bear
gorge,throat
examen,exam
dieux,gods
major,Staff
obtenu,got
évident,obvious
distance,distance
titre,title
lundi,on Monday
choc,shock
différentes,different
théâtre,theater
exploser,explode
â,at
rivière,river
paye,paid
allo,Hello
revenez,return
écoutes,plays
logique,logic
alice,alice
miracle,miracle
lève,survey
montagne,Mountain
essayais,tried
pauvres,poor
tenu,tenuous
chicago,Chicago
auprès,nearby
lèvres,lips
plat,dish
lunettes,glasses
journaux,newspapers
attaquer,attack
mine,mine
pistolet,gun
divorce,divorced
noirs,black
meurtres,murders
premiers,first
forêt,forest
respirer,breathe
fortune,fortune
réponses,responses
devraient,should
explosion,explosion
reviendra,will come back
mène,leads
doc,doc
maria,maria
responsabilité,responsibility
annie,annie
erreurs,errors
principal,main
épée,sword
tienne,yours
travaillait,was working
tableau,board
cabinet,office
normale,par
alerte,alert
meurtrier,murderer
whoa,whoa
libérer,release
commis,clerk
sérieuse,serious
carl,carl
sous-titrage,subtitles
rock,rock
vision,vision
réveillé,wake up
auront,will
mesure,measured
arthur,arthur
kyle,kyle
ed,ed
louis,louis
er,st
secrétaire,secretary
dave,dave
images,imagery
fuite,flight
amitié,friendship
annonce,ad
pousser,push
william,william
idiote,idiot
nombreux,numerous
brisé,broken
raconté,told
cardiaque,cardiac
minuit,midnight
humeur,mood
physique,physical
prof,teacher
lieux,places
los,the bone
seins,bosom
crier,yell
top,top
go,go
permission,permission
romantique,romantic
lac,lake
vente,sale
vache,cow
suit,follows
clark,clark
courses,racing
casser,break
études,studies
modèle,model
susan,susan
version,version
jeff,jeff
pensées,thoughts
prudent,careful
plaisante,joking
emmené,driven
réfléchis,thoughtful
concert,concert
blessure,injury
tir,shoot
chauffeur,driver
midi,midday
souvenez,remember
puissant,powerful
moteur,engine
répond,answer
hmm,hmm
city,city
coûte,cost
reculez,step back
dessous,below
souffle,breath
construire,to build
démon,Devil
achète,purchased
smith,smith
caméras,cameras
pousse,shoot
cesse,constantly
gare,station
rentrée,return
finit,ends
bosse,bump
kelly,kelly
fer,iron
couilles,balls
quiconque,whoever
vole,Fly
ignorais,ignorant
soutien,support
usine,factory
château,castle
lâche-moi,Let go of me
ont-ils,have they
garage,garage
délicieux,delicious
oreille,hear
virus,virus
réellement,Actually
posé,laid
avancer,moving forward
maisons,houses
voisins,neighbors
dites-lui,tell him
deviens,become
sage,wise
crédit,credit
ambulance,ambulance
gamins,kids
fière,proud
tourné,turned
puce,chip
finie,finished
canon,gun
liquide,liquid
devine,guess
particulier,particular
prennent,take
traverser,to cross
rues,streets
park,park
criminel,criminal
cependant,however
sombre,dark
agence,agency
comportement,behaviour
artiste,artist
bosser,work
gouverneur,governor
paroles,lyrics
résoudre,solve
chut,hush
période,period
bat,beats
seraient,would
bébés,babies
cherches,looking
e,e
croyez-moi,believe me
donnes,give
préparé,prepare
soucis,troubles
traiter,treat
street,street
différente,different
reconnais,recognize
bye,bye
pourriez-vous,could you
fromage,cheese
essence,gasoline
ayant,having
côte,coast
tenté,attempted
chaleur,heat
tests,tests
champagne,Champagne
objet,object
ouai,yeah
disparaître,vanish
oiseaux,birds
re,re
europe,Europe
supposé,Assumed
supplie,beseech
tournée,tour
résultat,result
roger,roger
concernant,concerning
vérifie,checked
souffrir,suffer
occupée,occupied
fusil,gun
gardien,guardian
déranger,to bother
verrai,see
fatiguée,weary
vote,vote
dégagez,untap
anciens,old
voila,here is
tués,you are
forcément,necessarily
cadeaux,gifts
herbe,grass
b,b
menteur,liar
vivante,alive
riches,rich
vive,viva
sacrée,sacred
taylor,taylor
adulte,adult
siècle,century
attente,waiting
endroits,places
écris,write
rapports,reports
piscine,swimming pool
rentrez,come back
lendemain,next day
fumer,to smoke
concours,contest
ment,is lying
monté,mounted
passait,going
vous-même,yourself
inviter,invite
coach,trainer
fausse,false
élevé,Student
chair,flesh
magique,magical
chaîne,chain
chèque,check
réseau,network
enfance,childhood
mensonges,lies
pourrions,could
choisis,choose
taire,to hush up
inquiet,worried
enfuir,escape
bel,beautiful
profiter,enjoy
science,science
revenue,returned
billet,ticket
crâne,skull
jaloux,jealous
tien,yours
arrestation,arrest
laver,wash
nuits,nights
caisse,checkout
scientifique,scientist
russe,Russian
cris,shouting
traité,treaty
attaqué,attack
écoutez-moi,listen to me
montez,mount
sean,sean
promesse,promise
sénateur,senator
blessures,injury
sucre,sugar
murs,walls
attrape,catch
représente,represented
emma,emma
esprits,minds
cloche,Bell
phil,phil
cia,cia
réputation,reputation
étudier,to study
trompe,deceived
chute,fall
jackson,jackson
demi,half
devra,will
plainte,complaint
grand-chose,much
tim,tim
joey,joey
sorcière,witch
venant,from
alan,alan
californie,California
tenue,outfit
journaliste,journalist
soyons,let's
chouette,owl
karen,karen
aurons,will
avocats,lawyers
cherchais,looking
angeles,angeles
surveille,monitors
département,department
abandonne,abandoned
prendrai,take
peinture,painting
refaire,remake
honnêtement,honestly
opinion,opinion
geste,gesture
étais-tu,were you
gaffe,gaffe
empire,empire
aient,have
pizza,pizza
seriez,would
fan,fan
poitrine,chest
y',y '
jenny,jenny
lorsqu',when
médecins,doctors
remonte,traced back
aventure,adventure
réglé,rule
mac,mac
abby,abby
barre,closed off
foyer,home
jean,jeans
amuse,amused
mener,lead
uniforme,uniform
cauchemar,nightmare
soupe,soup
intelligente,smart
jus,juice
prêtre,priest
lily,lily
trompé,deceived
chuck,chuck
corde,rope
champion,champion
somme,sum
conférence,conference
commissaire,commissioner
répondez,answer
attrapé,caught
red,red
racontes,talking
deviner,to guess
recommencer,restart
dis-tu,you say
complet,full
crimes,crimes
maggie,maggie
crème,cream
construit,built
excusez,excuse
entraînement,training
centaines,hundreds
calmer,calm
joueur,player
couloir,corridor
horreur,horror
propriété,property
admettre,admit
matériel,equipment
verrez,see
foule,crowd
st,st
réaction,reaction
ennuie,bored
laura,laura
pub,pub
hiver,winter
manteau,coat
pis,udder
débile,stupid
trouverai,find
conseiller,advisor
humanité,humanity
studio,studio
josh,josh
lapin,rabbit
désert,desert
combattre,combat
big,big
julie,julie
boutique,shop
fonds,funds
voient,see
états-unis,United States
reviendrai,return
ramené,brings back
discussion,discussion
connaissait,knew
vegas,vegas
sir,sir
fiancée,fiancee
remonter,ride up
incendie,fire
arbres,trees
conseils,advice
géniale,great
messages,posts
ex,ex
surface,area
appellent,call
atteint,achieved
recommence,start again
curieux,curious
lucy,lucy
ascenseur,elevator
mars,March
apprend,learn
abri,shelter
larmes,tears
dites-vous,you say
impliqué,involved
répéter,repeat
pardonner,forgive
donnerai,give
soi,self
marine,Marine
cadavre,corpse
o.k.,okay.
front,forehead
uniquement,only
traîner,drag
rare,rare
permet,allows
stan,stan
parking,car park
morceaux,parts
réussir,succeed
morgan,Morgan
empêche,stop
traversé,through
américaine,American
hank,hank
décide,decided
doué,gifted
gloire,glory
gang,gang
communauté,community
plaisantes,pleasant
déclaration,declaration
jones,jones
portait,wore
croient,believe
projets,projects
frontière,border
saute,jumped up
hais,hate
laissée,left
suivez-moi,follow me
prénom,first name
tenter,try
liaison,bond
cérémonie,ceremony
fasses,fasses
vivent,live
ho,ho
océan,ocean
vélo,bike
aimerait,would
réaliser,achieve
poupée,doll
navire,ship
saches,know
parties,parts
patrick,patrick
remplacer,replace
prisonnier,prisoner
ménage,housework
porté,door
employés,employees
dépêchez-vous,hurry up
bouton,button
acteur,actor
show,show
julia,julia
mardi,Tuesday
juré,sworn
barry,barry
médecine,medicine
restera,will stay
lourd,heavy
chargé,charge
au-delà,beyond
survécu,survived
bite,cock
soudain,suddenly
voyais,see
travailles,are working
prévenu,warned
regardez-moi,look at me
baisse,drop
filer,spin
rompu,broken
véhicule,vehicle
sauve,Safe
rencontrés,met
emmerde,hassle
estomac,stomach
donna,gave
couvrir,cover
meilleures,best
rater,miss
terminée,completed
fred,fred
tâche,task
réserve,Reserve
brûler,burn
chou,cabbage
réveille,wake up
sentez,feeling
ferme-la,shut up
réveille-toi,wake up
etait,was
origine,origin
rêvé,dream
gary,gary
pouviez,could
poursuivre,to pursue
actions,stock
tapis,carpet
absence,absence
lâcher,release
tempête,storm
um,um
souffre,suffer
touchez,touch
cents,cents
rempli,filled
écran,screen
dis-le,say it
victor,victor
affreux,frightful
enterrement,burial
inconnu,unknown
venger,revenge
team,team
feriez,would
sara,sara
inventé,invented
installer,install
ya,ago
va-t-il,will he
rythme,pace
étudiants,students
pratique,convenient
whisky,whiskey
calmez-vous,calm down
travaillez,working
ballon,ball
équipage,crew
signes,signs
élèves,students
faites-le,do it
parlera,talk to
attirer,attract
récompense,reward
reconnu,recognized
irait,would
loup,wolf
traite,treaty
lâchez-moi,Let me go
ca.,it.
vengeance,revenge
imaginez,imagine
navré,heartbroken
feront,will
finis,finished
propose,offers
forcé,strength
lutte,fight
opportunité,opportunity
personnage,character
e,e
boss,boss
arrêtes,stop
convaincu,convinced
allons-nous,will we
accompagner,to accompany
essayons,try
limite,limit
panique,panic
technologie,technology
brillant,bright
king,king
afrique,Africa
nourrir,feed
région,region
nathan,nathan
passent,spend
salaire,salary
veille,standby
appelle-moi,call me
ceinture,belt
explication,explanation
chansons,songs
profond,deep
professionnel,professional
possède,possesses
étonnant,surprising
venais,came
casier,locker
jouez,play
roman,novel
sandwich,sandwich
arrives,arrived
nana,girl
nommé,appointed
incident,incident
retournez,return
sophie,sophie
potes,friends
comité,committee
chine,China
technique,technical
haine,hatred
identifier,identify
célibataire,single
jackie,jackie
annoncer,announce
portée,scope
fleur,flower
roule,rolled
palais,palace
tromper,deceive
lady,lady
attendait,expected
jeudi,Thursday
abruti,fool
disiez,tell
normalement,normally
circonstances,circumstances
appelez-moi,call me
canapé,sofa
sommes-nous,About Us
protège,protected
est-à-dire,is to say
affronter,face
connait,know
élève,Student
pêche,peach
masque,mask
couvert,covered
extraordinaire,extraordinary
malheur,misfortune
sentais,Smelt
royaume,kingdom
porc,pork
envoyez,send
brûle,burns
entretien,interview
vingt,twenty
objets,objects
gêne,uncomfortable
bloc,block
aidera,help
final,final
conduis,lead
excellente,excellent
brûlé,burnt
amanda,amanda
business,business
sauté,jumped up
trouvent,find
ferez,will
alarme,alarm
laisse-le,leave him
rencard,date
concentrer,focus
étoile,star
engager,to hire
singe,monkey
colle,glue
ooh,ooh
assistant,assistant
fallu,took
mm,mm
central,central
prisonniers,captives
naturel,natural
essayait,was trying
pardonnez-moi,excuse me
étape,step
cage,cage
davantage,more
alliance,alliance
collègues,colleagues
collier,necklace
rayon,Ray
correct,correct
jesse,jesse
gâcher,mess
quant,about
assassiné,killed
placard,cupboard
soif,thirst
conditions,terms
min,min
remis,handed
russes,Russian
miel,honey
personnellement,personally
entièrement,entirely
howard,howard
impressionnant,impressive
passes,passes
créature,creature
black,black
lancé,launched
kilomètres,kilometers
sers,serve
échappé,escaped
parte,parte
prouve,proves
associé,associate
monnaie,change
dean,dean
moque,laughs
voisin,neighbour
clinique,clinical
tape,slap
têtes,heads
lentement,slowly
classique,classical
temple,temple
steven,steven
produits,products
passion,passion
prenne,take
échoué,failed
écouté,listen
existence,existence
correspond,matches
analyse,analysis
retire,took of
mystère,mystery
maîtresse,mistress
port,Harbor
tension,voltage
qualité,quality
nationale,national
respecte,respects
vierge,Virgin
piano,piano
secteur,sector
espérons,hope
devoirs,homework
pot,pot
contacter,contact
secrète,secret
dispute,dispute
cigarette,cigarette
manques,shortages
bouffe,food
jugement,judgment
idiots,idiots
courageux,courageous
limites,limits
bibliothèque,library
désir,desire
condition,condition
sales,dirty
courrier,mail
volant,flying
merveilleuse,wonderful
fumée,smoke
chanceux,fortunate
expert,expert
anne,anne
rick,rick
lève-toi,get up
tasse,Cup
poussé,driven
étrangers,foreign
censée,supposed
permettez,allow
hall,lobby
approcher,approach
that,That
greg,greg
pile,battery
japonais,Japanese
soigner,treat
urgences,emergencies
effets,effects
essai,test
fruits,fruits
yo,yo
remplir,fill
commençons,start
miles,miles
donnera,will give
soins,care
charlotte,charlotte
risqué,risk
avouer,confess
passés,past
épreuve,test
vivants,living
conduite,conduct
p,p
robin,robin
chffffff,chffffff
découvre,finds
avantage,advantage
retenir,hold back
love,love
miroir,mirror
etat,state
procédure,procedure
verres,glasses
copie,copy
jaune,yellow
dames,ladies
betty,betty
efforts,efforts
proposé,offers
blessée,wounded
crie,calls out
voyager,travel
disque,disk
golf,golf
annuler,to cancel
section,section
catherine,catherine
aube,dawn
précis,specific
appellerai,call
doug,doug
etes-vous,You're
lumières,lights
helen,helen
briser,to break
fait-il,is it
vampire,vampire
échec,failure
mexique,Mexico
figure,figure
repose,rests
urgent,urgent
profil,profile
médical,medical
chiffres,statistics
carrément,outright
pointe,point
is,is
interroger,question
sauce,sauce
séance,meeting
fiancé,fiance
chaude,hot
sacs,bags
vivait,lived
aimerai,love
alliez,go
partage,sharing
johnson,johnson
assise,seated
foot,football
accusation,charge
bagages,baggage
boule,ball
copains,friends
nu,naked
patience,patience
suivez,follow
criminels,criminals
poissons,Pisces
fermez,close
bleue,blue
tyler,tyler
égal,equal
organiser,organize
œuvre,artwork
organisation,organization
moto,motorbike
parlerai,will speak
texas,Texas
attitude,attitude
documents,Documents
étiez-vous,were you
effort,effort
enchantée,Nice to meet you
restent,remain
diriger,lead
apprends,learn
proposition,proposal
pareille,like
terres,land
serpent,snake
all,all
audience,audience
info,info
voyait,saw
télévision,television
intéressé,interested
pattes,paws
possibilité,possibility
football,soccer
poison,poison
maudit,damn
cochon,pig
reconnaître,recognize
paire,pair
your,your
condamné,condemned
croyait,thought
sauvage,wild
maximum,maximum
domaine,field
drogues,drugs
poussière,dust
visiter,to visit
nôtres,ours
policiers,police
rat,rat
ajouter,add
chambres,bedrooms
séparer,to separate
valise,suitcase
idéal,ideal
exprès,on purpose
cooper,cooper
empereur,emperor
forcer,force
vincent,vincent
juger,judge
montagnes,mountains
t-il,he
printemps,spring
rebecca,rebecca
avoue,confesses
oliver,oliver
faisaient,were doing
allaient,going
profondément,deeply
aides,aids
collègue,colleague
bonbons,candy
fantômes,ghosts
légende,legend
embrasse,embrace
suffisamment,enough
disparition,disappearance
suivante,next
commencez,start
poule,hen
semblez,seem
éducation,education
restée,remained
dragon,dragon
plaque,plate
prenons,take
auparavant,previously
mobile,mobile
peut-il,Can
jamie,jamie
elizabeth,elizabeth
malades,ill
molly,molly
invite,invites
musée,Museum
connaissent,know
elle-même,herself
bijoux,jewelry
refuser,refuse
chers,Dear
pensée,thought
andrew,andrew
psy,psy
saurais,know
adultes,adults
préviens,forewarn
appart,apartment
chasser,hunt
sable,sand
balance,balance
critique,critical
fièvre,fever
irais,go
terminer,finish
brown,brown
monstres,monsters
angela,angela
leo,leo
essaies,try
coïncidence,coincidence
charmante,lovely
née,born
suggère,suggests
raisonnable,reasonable
conséquences,consequences
jouait,played
décisions,decisions
lucas,lucas
sensible,sensitive
déposer,deposit
imagination,imagination
objection,objection
autorisation,authorization
faites-moi,let me
chirurgie,surgery
ordinaire,ordinary
rouges,red
voyez-vous,you see
voudra,want
vieilles,old
hollywood,hollywood
magazine,magazine
matière,material
rentres,come home
vend,sells
pourrais-je,could I
libéré,released
sexuelle,sexual
posez,place
bagarre,fight
ross,ross
solide,solid
lié,bound
marques,brands
cercle,circle
caroline,caroline
sûrs,safe
sortira,released
étudiant,student
extrêmement,extremely
digne,worthy
cirque,circus
amen,Amen
carlos,carlos
congé,leave
roy,roy
prenait,taking
boston,Boston
meurent,die
beurre,Butter
émotions,emotions
causé,caused
sortes,kinds
el,el
stade,Stadium
entraîner,train
préférée,favorite
allemand,German
blonde,blonde hair
japon,Japan
sortis,out
malheureux,unfortunate
personnelle,personal
barbara,barbara
épaule,shoulder
était-ce,was it
we,we
pigé,cottoned
lls,They
menacé,threat
arrivait,was coming
taux,rate
tireur,shooter
mamie,granny
e,e
supporte,supports
lignes,lines
voyant,seeing
examiner,look
terry,terry
orange,orange
nerveuse,nerve
ouverture,opening
patiente,patient
huile,oil
trouverez,find
sire,sire
mignonne,cute
parfum,perfume
retourné,return
fêter,to celebrate
publique,public
invitée,invited
incapable,unable
cap,cape
couleurs,colors
sainte,holy
accompagne,accompanied
demi-heure,half-hour
camarade,comrade
éliminer,eliminate
croix,cross
large,large
moral,moral
détail,detail
wilson,wilson
thérapie,therapy
troupes,troops
froide,cold
signature,signature
pensons,think
parker,parker
donnée,given
assistante,assistant
éloigner,remove
trahi,betrayed
jo,jo
enterré,buried
adaptation,adaptation
brave,brave
jeunesse,youth
guérir,cure
officiers,officers
recule,recedes
toby,toby
machines,machinery
justin,justin
sommet,Mountain peak
géant,giant
démons,demons
taper,type
linda,linda
territoire,territory
organisé,organized
portefeuille,wallet
sally,sally
adorer,love
scénario,scenario
emprunter,borrow
tours,towers
etes,'re
nate,nate
alibi,alibi
respecter,respect
marchera,walk
tentative,attempt
décès,death
rappelez,remember
lord,lord
livrer,deliver
blessés,wounded
donnent,give
fêtes,holidays
pressé,hurry
frankie,frankie
davis,davis
supérieur,superior
précieux,precious
poil,hair
rats,rats
cave,cellar
progrès,progress
objectif,goal
grosses,large
cole,cole
bruce,bruce
armé,armed
panne,breakdown
iras,go
bains,baths
officiellement,officially
enculé,cocksucker
difficiles,difficult
renvoyer,return
miller,miller
invitation,invitation
allemagne,Germany
loyer,rent
plateau,tray
trés,very
mai,may
humour,humor
marcus,marcus
olivia,olivia
actes,actions
êtres,beings
cinglé,crazy
moche,ugly
suffisant,sufficient
douée,gifted
obligée,obliged
junior,junior
boit,drinking
juifs,Jewish
enfermé,shut in
joseph,joseph
travaux,works
approchez,approaching
jolies,pretty
expression,expression
cherchait,sought
libres,free
jordan,jordan
race,race
injuste,unfair
gordon,gordon
plu,enjoyed
trafic,traffic
eue,had
déplacer,move
exercice,exercise
travaillent,working
forts,strong
épousé,wife
do,do
cabine,cabin
miami,miami
baise,fuck
tenait,held
changera,change
populaire,popular
descend,down
nager,swim
ferons,will
énervé,edgy
nôtre,our
électrique,electric
devrais-je,should I
furieux,mad
jessica,jessica
nation,nation
for,for
placé,square
traître,traitor
juif,Jewish
ouah,Wow
cassette,cassette
péché,peach
instinct,instinct
katie,katie
derek,derek
remise,discount
allemands,German
sexuel,sexual
excitant,exciting
enregistrement,recording
foutez,kidding
arrangé,fixed
original,original
agression,aggression
rendez,appointment
commandé,ordered
ailes,wings
employé,employee
ricky,ricky
boite,box
petit-déjeuner,breakfast
coupez,cut
avons-nous,have we
angle,angle
participer,participate
neveu,nephew
activité,activity
coucou,Hello
température,temperature
bleus,blue
cherchent,they search
bourse,stock Exchange
reçois,get
éternité,eternity
poubelle,trash can
harvey,harvey
milliards,billion
vol.,flight.
compétition,competition
viol,rape
marty,marty
coté,side
pouls,pulse
laissez-le,let it
jay,jay
illégal,illegal
termine,finished
ranger,tidy
élever,raise
places,seats
autorité,authority
échelle,ladder
commission,commission
tribu,tribe
voleurs,thieves
comédie,comedy
seules,only
accueil,Home
pommes,apples
premières,first
autorisé,authorized
taule,slammer
absurde,absurd
souffrance,pain
rattraper,catch up
demi-tour,about-turn
indiens,Indian
transformer,transform
parle-moi,talk to me
mérites,merits
dégâts,damages
fermée,closed
réception,reception
french,french
réservé,Reserve
annulé,canceled
wayne,wayne
mercredi,Wednesday
meme,even
négatif,negative
union,union
deviennent,become
durer,last
semblent,appear
bombes,bombs
ivre,drunk
avancez,advance
témoigner,bear witness
bah,bah
langage,language
tunnel,tunnel
chats,cats
pur,pure
poudre,powder
oeuvre,artwork
jour-là,day
influence,affecting
todd,todd
méchants,bad guys
by,by
numéros,numbers
récupéré,recovered
pure,clean
biens,goods
garce,bitch
tarte,pie
tres,very
hauteur,height
carol,carol
finale,final
culture,culture
revienne,return
pensiez,thought
pénis,penis
crois-tu,do you believe
déçu,disappointed
production,production
bible,Bible
pierres,stone
gants,gloves
sous-sol,basement
beth,beth
oeufs,eggs
nina,nina
pouvons-nous,can we
rumeurs,rumors
intérêts,interests
regardais,watching
indice,index
ministère,ministry
brad,brad
témoignage,testimony
œufs,eggs
effrayant,scary
fouiller,search
prier,pray
diane,diane
actrice,actress
suspects,suspects
soirs,night
pisser,piss
causer,cause
finira,will end
entrepôt,warehouse
oxygène,oxygen
s.,s.
marshall,marshall
west,west
inquiètes,worried
conclu,concluded
souviens-toi,remember
devras,will have
francisco,francisco
salade,salad
indique,indicated
matinée,morning
flotte,fleet
uns,each
rage,rage
amiral,admiral
perdus,lost
gagnant,winner
mettent,put
national,national
frigo,fridge
christ,Christ
vince,vince
sachant,knowing
opérations,operations
stress,stress
tuera,kill
grant,grant
lâchez,release
commander,order
guide,guide
blagues,jokes
chic,chic
comte,county
fauteuil,armchair
prises,taken
vampires,vampires
noble,noble
apprécier,appreciate
auteur,author
kilos,kilos
tuerai,kill
séparés,separated
l.a.,the.
pouvaient,could
principale,primary
bottes,boots
semblerait,seems
miens,mine
foutue,damn
espion,spy
album,album
sortent,out
lou,lou
violent,violent
terroristes,terrorists
énerve,upset
voudras,will want
repartir,divide
spencer,spencer
teddy,Teddy
serment,oath
unités,units
restait,remained
promotion,promotion
sure,safe
division,division
ron,ron
viendrai,will come
foie,liver
puisses,mayest
pardonne,forgiven
robot,robot
relax,take it easy
jess,I ss
mères,mothers
ethan,ethan
joueurs,players
rejoint,joined
taisez-vous,shut up
collection,collection
stupides,stupid
option,option
communication,communication
bizarres,weird
rigole,laugh
anges,angels
vague,wave
innocents,innocent
lewis,lewis
nombreuses,many
laboratoire,laboratory
soutenir,support
naturellement,naturally
vends,sell
floride,Florida
charme,charm
ian,ian
adjoint,deputy
trouvait,was
terroriste,terrorist
paraître,look
clan,clan
livraison,delivery
jalouse,jealous
retiré,took of
efficace,effective
revenus,earnings
diplôme,diploma
piégé,trap
interne,internal
ennuyeux,boring
électricité,electricity
ignorer,ignore
buvez,drink
pervers,perverse
baby,baby
gâché,spoils
phase,phase
trouvés,found
repris,taken back
enregistré,checked in
besoins,needs
révolution,revolution
passons,spend
sein,breast
valait,worth
barbe,beard
pari,bet
fans,fans
dylan,Dylan
connue,known
commerce,trade
formation,training
habiller,dress
fichu,damn
renseignements,information
bêtises,foolery
michelle,michelle
parent,relative
tina,tina
commissariat,police station
gratuit,free
tuyau,pipe
couvre,covers
convient,appropriate
adoré,loved
total,total
oû,or
nancy,nancy
autrefois,in the old days
éteint,off
étude,study
fenêtres,Windows
actuellement,currently
écart,difference
charger,load
habitants,inhabitants
comté,county
étudié,studied
bol,bowl
dette,debt
diner,having dinner
rêver,dream
interrompre,interrupt
micro,microphone
liens,connections
plastique,plastic
rompre,to break up
éteindre,switch off
dégoûtant,disgusting
deviez,need
minable,seedy
égoïste,selfish
casey,casey
léger,lightweight
cigarettes,cigarettes
sœurs,sisters
edward,edward
réveillée,awake
one,one
cité,city
be,be
culpabilité,guilt
las,the ace
adorerais,love
pourrons,can
produire,produce
nucléaire,nuclear
russie,Russia
rejoins,joined
tandis,while
descendez,down
espagnol,Spanish
volée,flight
vaisseaux,vessels
régime,diet
pilules,pills
aïe,Ouch
empreinte,footprint
russell,russell
sain,healthy
identifié,identified
évidence,evidence
fidèle,loyal
trouveras,find
diras,tell
remède,remedy
cimetière,graveyard
couler,flow
re,re
emporter,carry
fâché,angry
exécution,execution
evidemment,obviously
porno,porn
devrez,will
cellules,cell
éléments,items
rang,rank
autorités,authorities
laissera,leave
hannah,hannah
fierté,pride
vérifiez,check
travaillais,working
congrès,Congress
détends-toi,Relax
pratiquement,virtually
enfui,fled
métro,Metro
diamants,diamonds
raymond,raymond
façons,manners
processus,process
âmes,souls
caution,bail
lecture,reading
rond,round
camarades,comrades
ressemblait,like
écraser,to crush
caractère,character
trous,holes
intelligence,intelligence
renforts,reinforcement
résister,resist
sous-titres,subtitles
roses,roses
ressenti,feeling
douze,twelve
gus,gus
instructions,instructions
gibbs,gibbs
plaindre,complain
voudrez,want
so,n
ali,ali
exprimer,Express
religion,religion
survie,survival
couches,layers
pourri,rotten
esclave,slave
septembre,September
particulièrement,particularly
tradition,tradition
dennis,dennis
aidez,help
jusque,until
commencent,begin
stratégie,strategy
chasseur,hunter
intéressante,interesting
walker,walker
quinn,quinn
guitare,guitar
loué,rented
attaché,attached
nue,naked
améliorer,improve
termes,terms
soeurs,sisters
randy,randy
vidéos,videos
amant,lover
courte,short
escalier,staircase
owen,owen
bêtes,beasts
défi,challenge
gentils,kind
rentrons,returned
créatures,creatures
chirurgien,surgeon
montre-moi,show me
dollar,dollar
quatrième,fourth
changent,change
souvenez-vous,remember
accent,accent
parlez-vous,do you speak
personnalité,personality
durs,hard
commandement,commandment
lampe,lamp
kenny,kenny
crever,die
ken,ken
centrale,power plant
oscar,Oscar
espérer,hope
goûter,to taste
nerfs,nerves
grandir,grow
préférerais,rather
feux,fires
dépassé,outdated
tuez,kill
faut-il,should we
passant,passing
totale,Total
rencontrée,met
pro,pro
carrie,carrie
méchante,naughty
ressentir,feel
déclaré,declared
dessin,drawing
généreux,generous
attendons,expect
bourré,stuffed
mn,mn
manuel,manual
officiel,official
reconnaissance,recognition
boisson,drink
embrassé,embraced
savaient,knew
appétit,appetite
commandes,orders
découverte,discovery
risquer,risk
entendue,heard
excité,excited
rouler,roll
câble,cable
fume,smoke
phrase,phrasing
réveil,alarm clock
avère,recognized
champs,fields
disponible,available
levé,survey
julian,julian
dose,dose
coma,coma
cuisiner,to cook
groupes,groups
envoyée,sent
dépêche,telegram
sociale,social
assister,assist
comptez,count
manières,manners
mangez,eat
équipes,teams
gère,manages
mortel,mortal
voies,way
dick,dick
événements,events
indien,Indian
enterrer,bury
stylo,pen
gamine,lassie
homicide,homicide
vais-je,will I
laissons,leave
sue,sweats
détendre,loosen
dis-leur,tell them
blake,blake
martha,martha
regardant,watching
riz,rice
aurions,would
correctement,correctly
b.,b.
ailles,Ailles
crée,creates
imagines,imagine
transfert,transfer
complexe,complex
zut,Damn
accueillir,to welcome
ongles,nails
portrait,portrait
criminelle,criminal
définitivement,finally
présenté,present
remarque,Note
désastre,disaster
vraies,real
métal,metal
jennifer,jennifer
traverse,crossing
italie,Italy
laissez-nous,let us
degrés,degrees
connaissez-vous,do you know
up,up
coincée,trapped
masse,mass
etats-unis,United States
pardonne-moi,forgive me
drapeau,flag
traîne,dragged
croyez-vous,do you
plaire,please
baisé,fucked
rappelez-vous,remember
reçoit,receives
liz,liz
devenus,become
noix,nuts
cabane,hut
lion,Lion
jonathan,jonathan
budget,budget
inde,India
malédiction,curse
souffert,suffered
villes,cities
keith,keith
lot,lot
militaires,military
escaliers,stairs
rumeur,rumor
serviette,towel
commercial,commercial
méthode,method
eli,eli
avenue,Avenue
autopsie,autopsy
pue,stinks
cliente,client
arrange,arranges
venons,just
descendu,down
intervention,intervention
arrêtée,arrested
chefs,heads
priorité,priority
serré,tight
italien,Italian
quoique,though
casino,casino
acteurs,cast
passeport,passport
pomme,Apple
sincèrement,truly
ressources,resources
environnement,environment
can,can
elena,elena
connor,connor
louise,louise
rigoles,channels
ellen,ellen
menaces,threat
regarde-toi,look at you
toast,toast
bâton,stick
doutes,doubts
préfères,prefer
thanksgiving,thanksgiving
bail,lease
réunis,together
énormément,Verry much
négocier,to negotiate
remets,commit
