Tagalog,English
makakakuha,get
yamang,since
nakatuon,dedicated
pangatlong,third
reserba,reserve
nakapunta,been
memory,memory
home,home
solusyon,solution
banging,banging
tuparin,accomplish
kahina-hinala,dubious
tupa,sheep
infected,infected
think,think
screen,screen
makaalis,rid
pinakain,fed
wayne,wayne
mesa,table
creuse,creuse
whoo,whoo
mapanood,watch
tiningnan,viewed
maitim,dark
lima,five
porn,porn
neckties,neckties
job,job
ji,ji
crime,crime
richards,richards
coroner,coroner
nagturo,taught
bubong,roof
america,American
nainfected,nainfected
seoul,seoul
hip-hop,hip-hop
magagamit,available
bakas,trace
pag-ubo,cough
ilusyon,illusion
do,do
tinatanong,asked
ilalagay,place
john,john
pinapaligiran,surrounding
singsing,ring
in-gil,in-gil
TRUE,TRUE
sumpa,curse
roon,there
hisses,hisses
alagang,Pet
thank,thank
gay,gay
person,person
naparoroon,coming
pagusapan,discuss
magsama,take
tungo,to
maverify,verify
jason,jason
sequence,sequence
nakatakas,escaped
marius,marius
pagmultahin,fine
papalapit,approaching
pagkakataong,time
am,am
coach,coach
open,open
gacy,gacy
paghihirap,misery
ambulansya,ambulance
inamin,admitted
suicide,suicide
dental,dental
haring,king
dale,unprovoked attack
maaalala,remember
guru,guru
talent,talent
nori,nori
mag-focus,focus
way,way
leon,lion
mount,mount
page,page
pakikipag-usap,conversation
magsisimula,starts
hotel,hotel
daldalan,chattering
itinuturo,teaching
bili,bought
humiga,lie
pista,feast
hollywood,hollywood
kinabukasan,morrow
nagkakagulo,unruly
samin,ours
pinag-uusapan,in question
county,county
violence,violence
riles,metals
tumagal,last
salitang,word
stress,stress
clip,clip
bit,bit
pagtawag,calling
lumakad,walk
pinagsasabi,talking
tiyak,certainly
aga,earliness
ktx,ktx
kolesterol,cholesterol
kalahi,consanguine
listahan,list
puwera,exclusive
naka-lock,Locked
mapigil,controllable
main,main
square,square
halik,kiss
nagnanais,wants
wizard,wizard
mahiya,magic
kahilingan,request
magkikita,meet
abo,gray
tatanga-tanga,foolishly
voice,voice
ilabas,externalize
east,east
magdadala,take
bombur,bombur
mag-enjoy,enjoy
usapan,talk
ipaalam,inform
charlie,charlie
napakagaling,surpassing
layuan,shun
roommate,roommate
kalaro,pal
magugustuhan,love
kaw,kaw
tumatawag,calling
nauuhaw,thirsty
nag-iisa,alone
binabati,congratulations
model,mannequin
profile,profiles
bilib,believe
naba,NABA
one,one
bigote,mustache
sleepy,sleepy
signal,signals
nag-jakol,you suck
ipadala,send
titulo,title
cock,cock
hanggat,unless
hukbo,army
pagbigyan,indulge
suh,suh
kasunduan,agreement
matibay,durable
tipong,types
bulsa,pocket
mood,mood
petsa,date
ikinalulungkot,sorry
nakakahiya,embarrassing
stage,stage
baliktad,reverse
pagbalik,return
alpha,alpha
go,go
inabot,took
umiyak,cry
asset,assets
hintay,wait
tagahanga,fan
ibabalik,returned
buhok,hair
mother,mother
kakampi,ally
abala,bother
minutong,minute
disyembre,December
mountains,mountains
tawanan,laughter
cottage,cottage
okra,okra
burol,hill
kundoktor,kundoktor
kwelyo,collar
martinez,martinez
kinauupuan,seat
komentaryo,commentary
basagin,smash
sumulat,write
mahuhuli,late
punong-puno,full
kahanga-hanga,amazing
diretso,straight
package,package
chhote,chhote
kinikita,earnings
mapupunta,directed
diploma,diploma
isipan,thought
bumukas,become open
check,check
panatilihin,keep
national,national
pagkuha,taking
bote,bottle
komunikasyon,communications
napakahusay,excellent
malungkot,sad
prometheus,prometheus
nag-iwan,leaving
sinasagot,answer
mensahe,message
napadaan,passed by
ladakh,Ladakh
libreng,free
kanan,right
salapi,money
gagamitin,used
duwag,cowardly
great,great
summer,summer
alamat,legend
masabi,remark
kanlurang,western
huminga,breathe
tatanggapin,Downloads
kalsada,road
kanto,corner
barks,barks
pre,pre
glass,glass
bakasyon,holiday
matapang,brave
temperatura,temperature
luko-luko,buffoon
point,point
global,global
perpekto,perfect
galaw,motion
makaligtas,survive
hahayaan,let's
konteng,konteng
makakakita,access
kaliwa,left
bayaran,pay
tumulong,help
hahanapin,finds
nagawang,able
silbi,useless
palagi,always
naibigay,donated
epekto,effect
jacket,jacket
asukal,sugar
kahinaan,weakness
tenga,ear
state,state
leonard,leonard
dahon,leaf
nakakalibog,nakakalibog
lsa,lSA
bayad,payment
kapitan,captain
opis,office
kasamaan,evil
pari,priest
investors,investors
makakatipid,saves
gayahin,imitate
madaling,easy
koryente,electricity
claudia,claudia
katarungan,equity
maya-maya,later on
nagugutom,hungry
panay,steady
clattering,clattering
barabas,fiend
coat,coat
kapayapaan,peace
edad,age
herodes,herodes
siyam,nine
twittering,twittering
gumalaw,stir
napunta,ended
pumayag,accede
mmm,mmm
campaign,campaign
umire,umire
hinding-hindi,never
boses,voice
mahihirap,poor
nilagay,put
lubos,totally
contestants,contestants
train,train
medical,medical
balbas,beard
kasiyahan,pleasure
balon,excavation
makahanap,find
makilala,recognize
fossil,fossil
pataniman,plantation
water,water
nakahanap,finder
greenhouse,greenhouse
edo,edo
kulay,color
inosente,innocent
windmills,windmills
lalamunan,throat
pinasok,entered
malinis,clean
tinitigasan,tinitigasan
ginagawang,makes
nagaalala,worried
bastos,rude
palpak,palpak
malamig,cold
nagagamit,usable
iisang,one
nasisiraan,discouraged
gumaling,recover
seiku,seiku
clue,clue
mangangalakal,merchant
makapangyarihang,powerful
habol,chasing
tomboy,tomboy
edition,edition
limited,limited
dion,dion
malalim,deep
huwebes,Thursday
mabuhok,hairy
sandaling,Once
pag-isipan,thought to
dasal,prayer
natira,remainder
nagbibiro,jocose
pagbabago,change
phil,phil
lunes,Monday
boy,boy
pumupunta,goes
movie,movie
respeto,respect
kakulangan,shortage
kalakal,goods
labanan,fight
matatanda,adults
suntok,blow
nakakainis,annoying
pakainin,dependent
magbubukid,farmer
nag-enjoy,you enjoy
ingatan,keep
fans,fans
paghiwalay,disintegration
kagubatan,wilderness
kawal,soldier
daniels,daniels
doble,doubly
magpanggap,pretend
queen,queen
inuulit,repeat
puff,puff
ginagampanan,roles
muling,again
magpapatuloy,continue
humpay,lull
nagsasabi,tells
magbabawas-tubig,reduce water
grade,grade
juan,juan
itype,itype
kliente,client
sabihing,say
umiiyak,crying
tinatawagan,calling
uuwi,return
pinaplano,planned
food,food
kaunti,bit
dapa,flounder
baguhin,change
nagmula,from
maalat,salty
konting,dry
misteryo,mystery
four,four
sanga,branch
iuwi,bring home
balak,intention
tipo,type
pwet,anus
mineral,mineral
saserdote,priest
dallas,dallas
text,text
okenshield,okenshield
not,not
nakasulat,written
pinanganak,born
angkan,family
nagmamadali,hurriedly
channel,channel
nagbabanggaan,colliding
imichi,imichi
ginawang,made
kaalaman,knowledge
matindi,severe
machine,machines
kaunting,a little
first,first
padre,padre
ikinagagalak,rejoice
maisip,conceive
mapa,map
ginoong,gentleman
gosh,gosh
non-profit,non-profit
zero,zero
fan,fan
aksyon,action
babe,babe
haiti,Haiti
masayang,fun
ipasa,pass on
e-mails,e-mails
stevens,stevens
napakaguwapo,handsome
karangalan,honor
her,her
jihee,JIHEE
biglang,abruptly
bathtub,bathtub
nanggaling,derivative
i-order,order
nagtagumpay,victor
extras,extras
mabigat,heavily
matandaan,remember
natatandaan,mindful
bilhin,buy
assomption,Assomption
hah,hah
hinahamon,challenged
makikitang,found
pulutong,lot
purring,purring
umasa,reckon
patuluyin,harbor
kasamang,includes
buto,bone
garret,garret
tauhan,personnel
ipinapakita,displayed
madame,madame
panaginip,dream
saysay,null
templo,temple
demonyo,demon
kahapon,yesterday
nakarating,reached
bumangon,rise
sakop,subject
sinundan,followed
kapaligiran,environment
naka,air
barko,ship
abenader,abenader
mismong,itself
pustahan,betting
madalas,often
bulalas,ejaculation
manatiling,stay
magnakaw,steal
mapunta,land
opening,opening
kakainin,eat
nakaligtaan,omission
nagnanakaw,stealing
naiwan,remainder
cackling,cackling
nagtatalik,intercourse
pawang,all
kalakalan,trade
nanaginip,dream
inaalala,concerns
sisikat,rise
boom,boom
magsisisi,repent
piliin,select
nasusunog,burning
sayangin,waste
assistant,assistant
asahan,expect
itoy,young
talento,forte
pabalik,return
aw,aw
girion,girion
krimen,crime
magpadala,send
lakad,walk
shawn,shawn
tato,tattoo
magingat,beware
bam,bam
makulong,intern
lahi,race
sumasakay,riding
nauubusan,running out
nakakagulat,sensational
napakabuti,very good
hapon,afternoon
pagsusulat,writing
sugatan,wounded
pinanggalingan,source
inutusan,commanded
pagbangon,rising
tatalo,defeat
patayan,slaughter
kahihiyan,shame
stallion,stallion
bagyo,storm
peggy,peggy
mabubuhok,mabubuhok
umarte,emote
arts,arts
nag-aral,studied
programa,program
importanteng,important
naniwala,believed
bitag,trap
makukulong,jailed
asikasuhin,supervise
reputasyon,reputation
papuri,praise
preso,convict
saang,what
sumuko,give up
lilipad,flies
mababaw,shallow
act,act
nagpakita,showed
naglalakad,walking
pic,pic
nabuhay,lived
lto,lto
cable,cable
pagtanda,obsolescence
lalagyan,container
makatingin,look
postmaster,postmaster
inang,mother
magulang,parent
tila,apparently
re,re
nag-iisip,thinking
tinuturuan,educated
ika,th
no.,no.
nagresulta,resulted
pataasin,up
kasinungalingan,lie
isigaw,reveal
makakatulong,help
kalaki,much
payapa,tranquil
kabanalang,divinity
exams,exams
roti,roti
kasa-kasama,companion
magbabayad,pay
antigong,antique
ipinadala,sent
matulungan,help
uulitin,repeat
pinapalitan,replacing
paglabas,exit
librarian,librarian
tamad,lazy
naramdaman,felt
pills,pills
paglalakbay,travel
katao-tao,any people
magkasya,fit
engine,engines
saka,moreover
ramalingam,ramalingam
sinara,closed
magpapakasal,married
ipakikita,show
responsibilidad,responsibility
itatanong,ask
tatak,brand
makakain,eatable
isasama,included
traffic,traffic
naa,naa
kaluluwa,soul
qureshi,qureshi
tinuruan,trained
lumangoy,swim
saranggola,kite
panga,jaw
pumusta,bet
marumi,dirty
purong,roasted
hala,hala
medyas,stockings
hmmm,hmmm
campus,campus
dhillon,dhillon
delhi,delhi
pasahero,passenger
captain,captain
kalapastanganan,profanity
isulat,write
ihinto,stop
hangga,onwards
off,off
hindu,hindu
viru,viru
sahastrabuddhe,Sahastrabuddhe
paningin,sight
paumanhin,excuse
maunawaan,understand
bihasa,accustomed
larawan,picture
pinaslang,killed
makapasa,pass
kalooban,will
mailigtas,secure
ken,ken
iho,children
mistulang,apparent
relax,relax
lapis,pencil
ibinibigay,provided
kuwento,story
basag,cracked
taun-taon,annually
koel,koel
etc,etc
govind,govind
matanggap,be accepted
sasaktan,strike
magpakita,show
mambarurot,mambarurot
daigdig,earth
umihi,pee
kalakas,strong
blower,blower
sarge,sarge
crowning,crowning
makialam,tamper
addict,addict
sinusundan,preceding
napili,selection
himala,miracle
jacques,jacques
tatanggalin,deleted
barangay,barangay
housekeeping,housekeeping
sakali,in case
delikado,choosy
dhokla,dhokla
key,key
silahis,beam
pagkatalo,beating
sahod,wages
idea,idea
pusta,stakes
ialis,take away
talo,losing
volunteers,volunteers
negro,Negro
itataya,stake
lee,lee
friends,friends
fiive,fiive
militar,military
excited,excited
after,after
matagumpay,successful
mararahas,violent
katropa,katropa
samba,veneration
pierre,pierre
gana,appetite
matutuwa,glad
susmaryosep,susmaryosep
iinom,Drinking
ta,ta
abante,lead
lagay,tract
money,money
ganyang,such a
saw,saw
talunan,defeated
van,van
nawa,may
naputol,truncated
appointment,appointment
suit,suit
bibili,buy
pangalawang,second
makatarungan,just
lumikha,create
mag-aalay,offer
section,section
matatanggap,admissible
ibababa,humbled
titignan,look
bansang,country
scarf,scarf
napakaingay,tumultuous
suotin,wear
inaatake,attacked
iiyak,cry
tatandaan,remember
aminin,admit
inodoro,lavatory
sundalong,soldiers
itapon,throw
was,was
more,more
live,live
motor,motor
this,this
pendulum,pendulum
simple,simple
enjoy,enjoy
nagising,woke up
helmet,helmet
bandera,flag
password,password
kabanalan,holiness
photography,photography
turuan,teach
istvan,istvan
burahin,erase
katanungan,questions
ogag,ogag
corporation,corporation
sikreto,secret
london,London
pagkukunwari,affectation
usa,deer
makagawa,work
energy,energy
kapatagan,plains
dinggin,hear
pound,pound
simulan,start
talumpati,speech
munching,munching
paris,pair
mangkok,bowl
matabang,tasteless
matanda,elderly
groaning,groaning
makontak,contacted
mabibigla,mabibigla
paksa,subject
stammering,stammering
nakumbinse,convinced
yowls,yowls
hanap,seeking
ripper,ripper
pinsan,cousin
palayaw,nickname
saksi,witness
house,house
uh-huh,uh-huh
daluyan,vessel
hibik,pleading
whimpers,whimpers
aktibidad,activity
sama-sama,together
heavy,heavy
huwaran,pattern
algae,algae
ulap,cloud
peanut,peanut
ikabubuhay,subsistence
ugnayan,correlation
norman,norman
dinadala,being born
pag-crash,crash
proseso,process
molecule,molecule
organismo,organism
latag,weak
natunaw,melted
sigay,cockle
init,heat
pugon,fireplace
rush,rush
dibdib,breast
kopya,copy
henyo,genius
webcam,webcam
patutunguhan,destination
chanting,chanting
mayamang,wealthy
td,td
palihim,sly
sibilyan,civilian
kaninang,Thursday
maubos,exhaust
pinagkakatiwalaan,trust
henerasyon,generation
fletcher,fletcher
jessica,jessica
maaga,early
dumiretso,go directly to
lawin,hawk
pasumala,haphazard
nagulat,excited
chug,chug
whirring,whirring
sayang,alas
partido,party
woof,woof
clues,clues
estasyon,station
sunog,fire
ikuwento,recount
rebulto,statue
malaglag,shed
ninenerbyos,nervous
men,men
matamis,sweet
giggles,giggles
kinalaman,relation
pinagsama,combined
picture,picture
brown,brown
sumingit,cut in
manonood,spectator
kamiseta,shirt
ugh,ugh
makakapunta,makakapunta
bukod,moreover
kahadeyero,vaults
hula,prediction
maibigay,provided
presidente,president
mel,mel
nagsasara,closes
jingling,jingling
bakkyusai,bakkyusai
records,records
sheet,sheet
napakabilis,wildfire
hapunan,dinner
kumausap,talk
gagawing,make
dekada,decade
minister,minister
pumalit,supplant
palayo,farther
paghuhukay,digging
patuloy,continued
apektado,affected
sinunog,burned
pag-aalsa,uprising
yahiko,yahiko
manipis,thin
palaboy,outcast
erosion,erosion
cho,cho
emperor,emperor
tabang,fresh
umaagos,flowing
dumadanas,suffer
gobernador,governor
konsul,consul
takpan,cover
napagtanto,realizes
us,us
nakaisip,thought
cesar,cesar
karunungan,wisdom
pabagsakin,overthrow
pader,wall
tumawa,laugh
lpako,lpako
magbago,change
imahe,image
ipapako,crucified
lyong,lyong
nakalagay,situated
kamuhian,hate
baha,flood
bangladesh,bangladesh
glaciers,glaciers
pilat,scar
nakahanda,ready
octo,octo
eucalyptus,eucalyptus
borneo,Borneo
tyempo,timing
produksyon,production
beef,beef
kilong,pounds
litrong,liter
tonetoneladang,tons
pag-aalaga,Care
style,style
humanda,get ready
lasong,poison
kabukiran,countryside
tagtuyot,drought
industriyal,industrial
bukid,farm
skyscrapers,skyscrapers
china,china
sikat-araw,Popular day
nakagawa,done
kakayahan,capability
sikmura,stomach
mayayamang,wealthy
kilometro,kilometer
kusina,kitchen
siglo,century
tatapos,ends
asya,Asia
earth,earth
dumanak,flow
sojiro,Sojiro
maglaro,play
humihinga,breathing
inuubos,consumed
malawakang,comprehensive
metro,metro
jordan,Jordan
nasira,broken
shogunate,shogunate
patak,drops
pag-ulan,rainfall
kumukonte,kumukonte
panauhin,company
gumastos,spend
nagdadala,bringing
konte,konte
tugatog,peak
patungong,to
tankers,tankers
laki,size
lamig,cold
tango,nod
espanol,espanol
syota,sweetheart
sayong,early
hinanap,searched
shhh,shhh
makakaalis,it would
comedy,comedy
sumusobra,exceeds
pag-usapan,discuss
angeles,angeles
side,side
radagast,radagast
los,los
aparador,cupboard
kagustuhan,likes
nakausap,met
hayskul,high school
pinatawag,summoned
pagpalain,bless
lusubin,attack
stockroom,stockroom
stakeouts,stakeouts
bilanggo,prisoner
dahan,softness
matawagan,call
napakalayo,unapproachable
propesyonal,professional
sneak,sneak
malawak,extensive
alas,ace
trono,throne
history,history
mental,mental
nakikipag,communicates
pinilit,forced
pilak,silver
kanang,right
black,black
dalang,sparseness
pagsisisihan,regrets
maiiwan,leave
bargeman,bargeman
nagtago,hID
naglakbay,traveled
case,case
balat,skin
pang-stretch,long-stretched
kapalit,replacement
bangungot,nightmare
makapangyarihan,authoritative
commercial,commercial
namumuno,ruling
gugustuhin,rather
ikulong,shut up
malay,consciousness
katapusang,endless
unahan,fore
nalilito,confused
teresa,teresa
helo,hello
hmm,hmm
plot,plot
twist,twist
papatay,kill
kalendaryo,calendar
umaaligid,hovers
nakahubad,pink
involved,involved
demo,demo
dinner,dinner
faultline,faultline
white,white
titanium,titanium
bisitahin,visit
bawal,taboo
kuko,nail
kape,coffee
mura,cheap
wind,wind
boyfriends,boyfriends
lalakas,stronger
mistress,mistress
lena,lena
nagamit,used
student,student
parusahan,punish
gloin,Gloin
katapangan,bravery
titigil,stop
premyo,prize
magluto,cook
simbahan,church
nakakaaliw,entertaining
town,town
industriya,industry
kumikililing,kumikililing
red,red
sinabing,said
lake,lake
gagamba,spider
maigi,thoroughly
silver,silver
kinky,kinky
mirkwood,Mirkwood
nauubos,fail
ninuno,ancestor
marating,reached
player,player
myron,Myron
napansin,detected
hilaga,north
hiya,shame
azog,azog
tinawag,called
tinakot,threatened
lalabas,appear
paghahanap,search
calloway,calloway
manggulo,riot
baklang,baklang
necromancer,necromancer
tight,tight
patungo,toward
makakabalik,return
hour,hour
magdamagan,overnight
silangan,east
tiyan,stomach
players,players
ano-ano,ano
jacob,jacob
star,star
baggins,baggins
chain,chain
kabayo,horse
hairy,hairy
parin,still
mababa,low
laktawan,skip
nag-aaway,fighting
tingan,take a look
kapkapan,frisk
kagatin,sting
juice,juice
pamamaraan,scheme
pagnanakaw,theft
daga,rat
tsupain,tsupain
sasabihan,told
fundraiser,fundraiser
hinahangad,intended
magsasalita,gibber
in-order,in order
be,be
mag-thanksgiving,and thanksgiving
inubos,inubos
maipapagpatuloy,can continue
labag,inimical
haba,length
rings,rings
kahiya-hiyang,shameful
paniniwala,belief
aalala,concerned
makakita,see
maingat,cautious
garrett,garrett
mabagsik,relentless
kaninong,whose
pabang,pabang
nagbayad,pay
pinangako,promised
lumalakas,stronger
lumipat,switch
murder,murder
nalutas,resolved
pakakawalan,released
makipag-date,dating
nababalisa,upset
chuck,chuck
maitutulong,help
pinakamaganda,most beautiful
three,three
kasakiman,greed
nakinig,listened
contest,contest
mabulok,rot
napanood,watched
body,body
nanonood,spectator
um-order,be ordered
napakasarap,delicious
bloopers,bloopers
naisipan,thought of
mamang,mamang
makikinig,will
grim,grim
nakainom,drunk
i-roll,roll
long,long
tarantadong,tarantadong
reklamo,complaint
saglit,moment
astig,thug
ihagis,throw
airport,airport
hilagang,northern
mawawalan,lose
katungkulan,office
makatawid,pull through
dumadaan,passing
alfrid,Alfrid
blood,blood
pasalamatan,thank
thor,thor
joe,joe
bibitaw,bibitaw
itulak,push
munang,first
pagpapakamatay,suicide
hamak,sneaking
puwit,butt
sipsip,obsequious
ginulat,surprised
napakaganda,sublime
ka-brad,You brad
look,gulf
mag-aaral,student
saudi,saudi
hulihin,catch
carrier,carrier
frat,frat
kinokontrol,controlled
halata,obvious
an,the
ganung,ganung
nagalit,angry
gustuhin,want
angal,bawl
kumakalat,prevailing
texas,texas
triglycerides,triglycerides
muscle,muscle
in-interview,in-interview
makikilala,recognizable
kinidnap,kidnapped
pig,pig
nagugustuhan,dislike
hinuli,arrested
kusa,deliberately
festus,festus
naghahanda,preparing
atake,attack
meeting,meeting
ata,ata
pinakamalakas,superpower
district,district
hinay-hinay,slowly
pana,bow
kakanta,sing
sariwang,fresh
magpantalon,magpantalon
orihinal,original
gumaganap,plays
teneng,Teneng
vegas,vegas
tatlumpo,thirty
hudas,treacherous
ulila,orphan
freshmen,freshmen
tradition,tradition
pala-ulit,shovel again
drama,drama
pamumuhay,living
brief,brief
imperial,imperial
isuot,wear
bigat,weight
larry,larry
lyo,Thee
lyan,That
baybay,tracing
james,james
basang,wet
las,las
game,game
kurbata,necktie
ligaw,wild
tinig,voice
theory,theory
isa-isa,one by one
malacas,malacas
-gt,gt
pang-matanda,adult
physics,physics
walo,eight
semester,semester
magmumukha,looks
nahihiya,shy
hinihiritan,hinihiritan
coliseum,coliseum
pants,pants
bond,bond
hanapbuhay,occupation
pesteng,pesteng
naguusap,talking
trip,trip
kontenente,continent
illumination,illumination
gatas,milk
pamilyang,family
finale,finale
looban,robbery
labis,excess
junk,junk
whore,whore
lilim,shadow
part,part
oy,oy
sibilisasyon,civilization
lsang,lsang
konsehal,councilor
mag-hike,hike
events,events
suporta,support
shimla,Shimla
nabubulok,rotting
pinatigil,halted
babasagin,glassware
perpektong,perfect
surprise,surprise
naghanap,searched
magpapakita,show
tradisyon,tradition
website,website
oooh,oooh
bibigay,bibigay
sinulot,sinulot
matatapakan,matatapakan
nainom,nainom
gayunman,however
pambihirang,extraordinary
nakabaon,engrained
paham,scholarly
tinapay,bread
apelyido,surname
youtube,youtube
katagalan,the long run
kakayahang,ability
caipas,Caiaphas
nag-alis,Eliminating
mag-order,order
banana,banana
iniinom,oral
thanks,thanks
nagaganap,occurring
ipinagkanulo,betrayed
husgahan,decide
nagtanong,asked
lbaba,lbaba
patalim,knife
pinalitan,replaced
pm,pm
maghugas,wash
katiyakan,certainty
much,much
pagawaan,workshop
matatakasan,escape
paalsahin,leaven
sumisigaw,cry
pusong,rogue
masahin,knead
nagwawala,nagwawala
mapipisa,hatch
tol,toll
scramble,scramble
matteo,matteo
hita,thigh
umayos,regulate
hahanap,finds
classical,Classical
ihahanda,prepare
nakakalito,confusing
ipinapangako,promises
babaing,woman
onechanbara,onechanbara
humuhukay,digs
nakakakita,seeing
kuwenta,bill
hinog,ripe
hahaha,hahaha
howls,howls
paliliparin,germs
naabot,reached
helicopter,helicopter
humanap,seek
spanking,spanking
nabuo,generated
palugit,extension
makatagal,withstand
pagkabuhay,vitality
makumpleto,complete
d,d
bading,fairy
bilyon,billion
bumibilang,counting
purrs,purrs
no.,no.
arestuhin,arrest
imbensyon,invention
godspeed,godspeed
imbistigahin,investigate
iskor,score
magturo,teach
icheck,check
nagsasabing,says
professor,professor
rescue,rescue
mawalang-galang,excuse me
ad,ad
kailngan,kailngan
gravity,gravity
matutulog,sleep
survivors,survivors
lokasyon,location
elemento,element
pagganap,performance
break,break
makahap,makahap
hilain,pull
throttle,throttle
sisihin,blame
dito.,here.
hangguel,hangguel
imbistigasyon,probe
jeon,jeon
brakes,brakes
landas,path
sinakal,strangled
umubra,worked
naghalughog,searchers looked
kinakausap,talking to
isusulat,write
doggy,doggy
astronauts,astronauts
private,private
improv,improv
pumanaw,deceased
bangin,Cliff
ipinagbago,ipinagbago
magtagal,linger
makapag-aral,to study
patawad,forgiveness
homo,homo
mahulog,fall
sabon,soap
pens,pence
idemanda,sue
pekeng,fake
maghapon,day
thoughts,thoughts
mag-inuman,hobnob
bird,bird
nagtrabaho,worked
ballpen,ballpen
kanluran,west
kinitil,cut short
rain,rain
kuwentang,kuwentang
nakipag-away,fought
sumubok,try
ikwento,ikwento
nagsisimula,starts
pinalalabas,misrepresents
pakiabot,pakiabot
okey,okay
paliguan,bath
maligo,bathe
pahayag,statement
pagkikita,meeting
magulo,messy
bagay-bagay,circumstance
imbistigahan,investigated
maaasahan,reliable
humus,humus
haha,haha
operasyon,operation
maabot,reach
nakakalungkot,what a pity
pumupuksa,kill
abutin,catch
tinext,tinext
talon,waterfall
nagdudugtong,connects
professors,professors
yuki,yuki
binanggit,cited
isinusumpa,cursed
kumbinasyon,combination
lalayo,depart
nakikipag-away,fighting
pakay,aim
kalungkutan,sorrow
pakikibaka,struggle
nakikinabang,benefit
nakasabay,nakasabay
patagalin,extend
nilabanan,fought
paikutin,rotate
nakarinig,heard
ex-boyfriends,ex-boyfriends
salamangka,magic
hoji,hoji
orasan,clock
damdamin,feeling
kumukuha,taking
pagtaas,rise
tataas,increases
lagos,lagos
th,th
katayuan,status
kalat,widespread
masasamang,bad
papano,how
naranasan,experienced
punyetang,punyetang
pinutol,truncated
tree,tree
kasarap,kasarap
tatadtarin,tatadtarin
triple,triple
reflection,reflection
pumipigil,prohibitive
nagkakaroon,having
bdsm,bdsm
mamuno,lead
name,name
paniwalaan,credit
teorya,theory
mananalo,champion
easter,easter
island,island
pushup,pushup
american,american
bundat,glutted
kuryente,current
ginhawa,softness
patatas,potato
pinunta,pinunta
bigas,rice
fencing,fencing
i-check,Check
lawak,extent
kapal,thickness
natutunaw,melting
binenta,sold
kamiya,kamiya
dojo,dojo
pole,poles
suportahan,support
nakikipagharutan,nakikipagharutan
nag-break,breaks
megumi,megumi
nagbubuga,spew
suutin,penetrate
dumadaing,cry
humahanap,seeketh
toba-fushimi,toba-fushimi
buhangin,sand
plugs,plugs
bagamat,although
butt,butt
diversity,diversity
maselan,discriminatory
napalitan,changed
gatong,fuel
umiinit,warming
nasubukan,tested
nangangailangan,needy
kilo,kilogram
hiramin,borrow
lokal,local
sumobra,overrun
impresyon,impression
dead,dead
gawaan,workshop
nakatalaga,resigned
pangangailangang,need
nagsulat,wrote
lubhang,very
celebrity,celebrities
castle,castle
magkabilang,both
photographic,photographic
natapik,glued
paikot,cyclic
mystery,mystery
nageensayo,practicing
disyertong,desert
magpagawa,build
napakaraming,too
modelong,model
kanluranin,western
mag-sex,either sex
kwenta,accounts
paglaki,growth
inayos,furnished
alat,policeman
saan-saan,everywhere
gawang,acts
lumipad,fly
tonelada,tonne
sinisira,breaking
nalilibugan,nalilibugan
hinala,suspicion
i-preorder,i preordered
tumatagos,tumatagos
usap-usapan,rumor
duktor,doctor
odawara,Odawara
nagse-sex,slept
deforestation,deforestation
plato,plate
soybeans,soybeans
ibinaba,down
mr.shishio,mr.shishio
biodiversity,biodiversity
core,core
nabalitaan,heard
makamit,gain
diapers,diapers
naubos,exhausted
pang-agrikultura,Agricultural
kinopya,copied
length,length
dumarating,inbound
nakakahiyang,embarrassing
husay,good quality
polusyon,pollution
latian,swampy
makaipon,accumulate
napakahalaga,invaluable
kotetsu,Kotetsu
ganap,full
iniluluwa,regurgitated
tag-araw,summer
lipunan,society
nilikha,creature
nagasone,nagasone
pakikipagsapalaran,adventure
kataas,tall
climate,climate
minamahal,dear
bigatin,person of importance
panggatong,firewood
kikita,earn
bumibili,buyer
patas,draw
forest,forest
ganoong,that
tanim,inset
land,land
lnyong,lnyong
kontrolin,control
gyera,war
supply,supply
bituka,intestine
puwang,gap
sumipsip,suck
solidaridad,solidarity
paghiwalayin,separate
lumaganap,spread
petrochemical,petrochemical
paggalang,courtesy
dadanak,shed
huhulihin,arrest
aling,which
nawawalang,missing
pagdurusa,suffering
nasyon,nation
rebelyon,rebellion
pinagbago,pinagbago
kontinente,continent
pestisidyo,pesticide
cells,cells
lsinumpa,lsinumpa
mamatay-tao,killer
eksperimentong,experimental
shinoo-shoot,Shinoo shoot
napakahaba,too long
mauubos,consumed
wine,wine
katunayan,fact
gigibain,demolished
accounting,accounting
hanggan,end
sumpain,damn
yugto,stage
katahimikan,silence
sulit,worth
iniluluwas,exports
baybayin,shore
pulong,meeting
kasapi,member
nagkasala,guilty
litro,liter
tine-text,tine-text
iceland,iceland
lpinagkaila,lpinagkaila
kunwari,bluff
lwan,lwan
coal-fired,coal-fired
namalayan,knew
denmark,denmark
plant,plant
hatol,judgment
electricity,electricity
bingo,bingo
simbolo,symbol
nakakaranas,experience
tiyakin,make sure
pataba,fertilizer
makapupunta,going
phenomena,phenomena
nakikitang,visible
pagligtas,rescue
ganges,Ganges
mahalagang,important
himalayas,Himalayas
katwiran,reason
paglipat,switch
maiinom,beverages
paglago,growth
table,table
pantasiya,fantasy
tanikala,cords
napakahalagang,very
binabantayan,monitors
tawaging,call
change,change
dakpin,arrest
kumot,bedding
mananandata,mananandata
susunugin,offerings
pinagsasaluhan,sharing
