Russian,English
правительство,government
ищет,looking
систему,system
попросила,I asked
операцию,surgery
ногу,leg
поступил,entered
прошлый,last
живёт,lives
герой,hero
воздух,air
живут,live
читал,read
адвоката,lawyer
поступить,do
поможешь,help
адам,Adam
люси,Lucy
чудо,miracle
разных,different
школа,school
курс,course
c,c
отель,hotel
задание,the task
приехать,come
умру,die
телефона,phone
считать,count
ценю,I appreciate
мечты,dreams
родился,I was born
работой,work
вспомнить,recall
виде,form of
похожи,similar
слышите,hear
уходит,leaves
понимает,understands
угу,ugu
кровати,bed
умоляю,implore
срок,time
действовать,act
мужем,husband
извиниться,to apologize
пахнет,smells
дух,spirit
лучших,best
отдел,the Department
будущем,the future
большим,big
беспокоиться,worry
узнаем,learn
интервью,interview
скотт,scott
сыном,son
предлагаю,offer
убит,killed
болит,hurts
каждое,each
встретились,met
итоге,eventually
мяч,ball
закрой,close the
умею,I can
справлюсь,I manage
убедить,to convince
остановиться,stay
возвращайся,return
цели,goals
форме,form
сидит,is sitting
королева,queen
дождь,rain
отдал,gave
бывший,former
едет,rides
во-первых,At first
танцевать,dance
пива,beer
причин,reasons
обязан,must
проклятье,curse
колледж,college
мозга,of the brain
оставайся,stay
системы,system
карты,cards
просить,ask
садитесь,sit down
хорошей,good
душ,shower
смогут,can
камень,a rock
волнуйтесь,worry
страну,country
звонить,call
проводить,spend
ура,Hurrah
мёртв,dead
смотрит,looks
детям,children
мужчиной,man
труп,dead body
вино,wine
армии,army
убивал,kill
вкусно,delicious
заставляет,makes
любое,any
которыми,which
твоём,thine
малышка,baby
эбби,Abby
правило,rule
кровать,bed
кабинет,study
чарльз,Charles
баре,bar
действия,actions
ситуацию,the situation
убрать,clean
жениться,marry
ходил,went
джона,John
исчез,disappeared
келли,kelly
погиб,died
зрения,of view
счастье,happiness
желаю,wish
давление,pressure
душе,heart
м-р,m-r
взгляни,look
основном,mainly
прошел,I was
душа,soul
свадьбу,wedding
тюрьмы,jail
отдохнуть,relax
фунтов,pounds
встать,up
произойдет,happens
дженни,Jenny
миллион,million
святого,St.
глубоко,deep
сзади,behind
святой,St
подобного,like
предложил,proposed
пит,Pete
значение,value
отеле,hotel
позади,behind
идеально,ideally
занимаюсь,I do
занимался,engaged
нескольких,of a few
подобное,like
мозги,brain
несчастный,unhappy
рассказывал,I told
считаете,think
выходи,come outside
in,in
полной,full
нью-йорке,New York
свадьбы,wedding
мамочка,mammy
страх,fear
появится,will
банк,bank
носить,wear
отпечатки,prints
ничем,by nothing
чак,chak
возрасте,age
горжусь,proud of
выиграл,won
принесла,brought
встрече,meeting
нибудь,anything
приходить,to come
следить,follow
лео,Leo
ног,legs
лекарство,medicine
лучшим,best
тип,a type
умирает,dies
признать,recognize
воспоминания,memories
имеют,have
защиты,protection
билет,ticket
выпьем,drink
работаем,working
купила,I bought
выиграть,win
трогай,touch
магазине,shop
красный,red
петь,sing
название,name
вытащить,pull
сестру,sister
отвечать,respond
отпустите,release
кевин,Kevin
контролировать,to control
чёрта,hell
власть,power
вторая,second
волноваться,worry
бросила,threw
спрашиваю,I ask
секса,sex
данный,the
l,l
красивый,beautiful
джентльмены,gentlemen
суть,heart
уши,ears
оставили,left
начинаю,I start
сотни,hundreds of
связаться,contact
окна,window
доброй,good
майор,Maj.
держаться,hold on
цру,CIA
штаны,pants
занята,occupied
отвали,Get lost
цвет,Colour
получу,I get
сидел,sat
случается,It happens
хозяин,master
учиться,study
некоторых,some
прошли,passed
погодите,hey
некоторое,some
братом,brother
считают,consider
новым,new
показалось,thought
целую,kiss
поблагодарить,give thanks
количество,quantity
лекарства,medicine
сумасшедший,crazy
расскажите,tell
ожидал,expected
элис,Alice
умрет,dies
грейс,Grace
слухи,gossip
участок,lot
улицу,street
классно,cool
животных,animals
изменилось,changed
странный,strange
передай,tell
ди,di
надеялся,I hoped
собственной,own
гости,guests
как-нибудь,somehow
дэн,Dan
контроль,the control
грудь,chest
братья,brothers
миль,miles
улики,evidence
огромное,great
замок,lock
данных,data
дому,home
районе,neighborhood
сядь,sit down
наоборот,conversely
богом,god
элли,alley
создать,create
закончилось,ended
отвечает,responds
побыть,stay
поесть,eat
умеешь,know how
лесу,woods
самому,to
алан,Alan
отправил,posted
деньгами,money
принеси,bring
таблетки,pills
ресторан,a restaurant
нашему,our
поверьте,trust
включая,including
живо,vividly
мужчину,man
придумал,invented
шериф,sheriff
хрена,horseradish
ханна,Hannah
собирались,going
половину,half
ён,yeon
забыли,forgot
сделайте,make
удовольствие,pleasure
стараюсь,I try
проходит,passes
спала,sleeping
автобус,bus
настоящие,real
me,me
узнаешь,learn
спроси,ask
лучшего,to be desired
придумать,come up
вечеринке,party
пользу,favor of
появилась,appeared
списке,list
лежит,is
живой,alive
счастливы,happy
понимать,understand
плохое,bad
любого,any
зубы,teeth
кухне,the kitchen
попытаться,to attempt
расскажешь,tell
буквально,literally
клиентов,clients
ван,van
копы,cops
no,no
великий,great
пяти,five
прием,reception
скучно,dull
приходил,coming
песни,songs
девчонка,gal
рукой,hand
попала,hit
джош,Josh
проект,project
бой,the battle
естественно,naturally
стивен,Stephen
всё-таки,after all
увидите,see
процесс,process
делайте,do
вызов,call
ниже,below
рейчел,Rachel
перерыв,break
дерьма,shit
принцесса,Princess
само,itself
врн,BPH
ненадолго,for a short time
радостью,gladly
ответил,replied
убьет,kill
тед,Ted
короче,shorter
провел,conducted
сесть,take
вечеринки,party
попробуем,try
теб,Teb
вернётся,return
разберусь,will deal
умный,smart
поймали,caught
ак,ak
кошмар,nightmare
днём,day
дорога,road
общего,common
жертв,victims
ведет,leads
очки,spectacles
барри,Barry
чикаго,Chicago
найдём,find
игре,game
официально,officially
попробую,try
какой-нибудь,some
энн,Ann
женат,married
совпадение,coincidence
начальник,Chief
убивает,killing
терпеть,bear
счастью,Fortunately
гей,gay
ну-ка,Come on
множество,a bunch of
убьют,will kill
болезнь,disease
свидетель,witness
тему,Thread
элизабет,Elizabeth
службы,services
положи,put
пригласить,to invite
бояться,fear
точки,point
голоса,vote
дин,din
собрать,gather
памяти,memory
хороша,good
думаем,think
пригласил,invited
классе,class
проверь,check
парню,guy
этo,IT'S
убийцы,the killers
вину,guilt
ю,Yu
харви,Harvey
больницы,hospital
смертью,death
всякий,any
принц,prince
бойся,fear
надеяться,hope
поднять,pick up
обнаружили,found
перестать,stop
отойди,Depart
покинуть,leave
чувствует,feels
нелегко,not easy
ими,they
m,m
оказаться,prove
жила,lived
избежать,to avoid
старший,older
представляет,presents
столе,table
ошибки,errors
половина,half
смей,you dare
заботиться,care
лаборатории,laboratory
любим,love
успокойтесь,take it easy
имеем,we have
последней,the last
вызывает,causes
важнее,more important
первые,first
убийцу,killer
полегче,easier
женщине,woman
жили,lived
позволил,allowed
груди,breast
праздник,holiday
умеет,can
присоединиться,join
черный,the black
опыт,experience
бред,rave
болен,is ill
су,sou
источник,a source
собираются,going
любимая,darling
куда-нибудь,somewhere
занимаешься,doing
каким-то,some
картер,crankcase
эмма,Emma
побольше,more
закрыть,close
ангел,angel
тренер,trainer
откройте,open
какие-нибудь,any
ветер,wind
остров,Isle
первом,first
семьей,family
интересует,interested
беру,take
уехала,gone
виновата,to blame
кэти,Katie
морган,Morgan
ищешь,looking
контракт,the contract
получите,get
телевизор,TV set
любите,love
попали,hit
местах,places
ненавидит,hates
целью,a view to
дольше,longer
полчаса,half an hour
согласны,agree
войне,war
осторожнее,cautious
замужем,married
звонки,calls
причине,reason
папой,dad
пойдёт,will go
роли,role
спишь,sleep
управлять,to rule
собаку,dog
бля,fucking
представь,imagine
глава,chapter
постель,bed
правде,truth
шум,noise
придут,will come
ударил,hit
схожу,I'll go
провели,conducted
начинать,start off
внимательно,carefully
пятницу,Friday
проходите,pass
кафе,Cafe
отказаться,refuse
поговори,talk
предупредить,to warn
свободу,freedom
т,t
переживай,worry
начнём,start
полная,total
руке,hand
улицы,streets
виски,whiskey
странное,strange
фил,Phil
артур,Arthur
карту,map
знаком,mark
словами,words
оказывается,is
звоню,call
уолтер,Walter
энергии,energy
познакомились,met
ларри,Larry
бежим,run
сквозь,through
шлюха,whore
ордер,order
капитана,captain
согласился,I agreed
мертвы,dead
класса,class
написала,I wrote
париж,Paris
страна,a country
умирать,die
зад,ass
счета,accounts
сильный,strong
ерунда,nonsense
дерево,wood
одолжение,favor
домом,house
колени,knees
выжить,to survive
ждала,I waited
грузовик,truck
заплатил,pay
путешествие,travel
узнают,learn
чек,check
билеты,tickets
достал,took
спину,back
останешься,stay
надолго,permanently
рак,crayfish
помощник,assistant
парк,a park
стены,walls
кое-кто,some
да-да,Yes Yes
сработало,It worked
ощущение,feeling
показал,He showed
полу,floor
находиться,be
девочек,girls
робин,Robin
карен,Karen
пёп,pop
любую,any
ќе,ќe
зная,knowing
сообщения,messages
именем,name
квартира,apartment
анализ,analysis
другому,another
совершил,done
оливер,Oliver
лошадь,horse
ответы,answer
готовить,prepare
г-н,Mr
субботу,Saturday
дышать,breathe
зла,evil
мэгги,Maggie
выгляжу,look
разрешение,resolution
девчонки,girls
хрень,crap
секундочку,wait a second
перезвоню,call back
миллиона,million
одиночку,alone
займусь,Clean
увидит,see
боится,fears
одновременно,simultaneously
использовали,used
спрашивал,I asked
лиза,Liza
врать,lie
отказался,He refused
цвета,colors
жертву,sacrifice
теми,those
куда-то,somewhere
метров,m
горло,throat
дворе,yard
пропала,missing
дитя,child
пошло,gone
небольшая,small
станции,station
чувствовала,feeling
бедный,poor
статус,status
поведение,behavior
начинай,start
ванной,bathroom
кабинете,office
немножко,a wee bit
извинения,regret
здания,building
удастся,succeed
виделись,seen
пытаемся,try
отпустить,release
спросила,I asked
выходить,go out
извиняюсь,sorry
свадьба,wedding
чего-нибудь,something
джесси,Jessie
марта,Martha
проверю,check
контролем,control
we,we
отвезти,take
доверяю,trust
найдешь,find
сражаться,fight
звезда,star
найдут,find
заберу,take away
лагерь,camp
ходит,walking
посреди,midst
звони,call
браво,Bravo
мишель,Michel
скорость,speed
использует,uses
заслуживает,deserves
заметила,noticed
спиной,back
где-нибудь,somewhere
прям,straight
возвращается,returns
положить,put
воскресенье,Sunday
чертов,fucking
мэтт,Matt
ть,be
камера,camera
впечатление,impression
оказалась,was
корабля,ship
мясо,meat
обсуждать,discuss
фильма,movie
нью-йорка,New York
разговаривал,I am talking
штата,State
результат,result
крайне,extremely
держит,keeps
доказательств,evidence
вселенной,the universe
признаться,admit
необходимости,necessity
детали,details
ќо,ќo
группу,group
грустно,sadly
штук,pcs
ком,ball
эндрю,Andrew
меч,sword
убей,kill
занять,take
одежда,clothes
бомба,bomb
on,on
чувствуете,feeling
кейси,Casey
поймал,caught
ящик,box
работаете,working
клубе,club
тоби,Toby
забудьте,Remember
живых,live
алиби,alibi
пройдет,will be held
проблему,problem
свободен,free
he,he
подойди,come
каждая,each
детстве,childhood
считал,thought
налево,left
помни,remember
девушке,girl
напоминает,recalls
дают,give
увидели,saw the
фильме,film
постараюсь,I try
потребуется,required
сестрой,sister
отношениях,relations
отношений,relations
доктором,doctor
джин,gin
надежда,hope
приедет,coming
личное,private
обычный,usual
изменился,changed
ужас,horror
салли,Sally
мэр,mayor
условия,conditions
ай,ouch
иисус,Jesus
ќн,ќn
научиться,learn to
играю,play
разрешения,permission
нашими,our
связаны,connected
пациент,a patient
обвинение,accusation
жди,expect
старше,senior
начну,start
старой,old
пропустил,I missed
палец,finger
my,my
позабочусь,take care
d,d
прошлого,of the past
сумку,bag
боялся,I feared
красивые,beautiful
простить,to forgive
найдите,find
франции,France
секреты,secrets
верите,believe
америке,America
ужасный,terrible
драться,fight
создал,created
гостей,guests
колледже,college
нигде,nowhere
заметили,noticed
молли,Molly
позаботиться,see
терять,lose
рисковать,to risk
отдела,department
след,track
золото,gold
волос,hair
простой,plain
доктору,doctor
отстой,sludge
будущего,of the future
ровно,smooth
собрались,gathered
совета,council
штуку,Unit
водой,water
саймон,Simon
спрашивать,to ask
приняли,took
пытаются,try
воспользоваться,take advantage of
требует,It requires
марти,Marty
живешь,you live
играешь,play
клиента,client
позвонили,call
стоял,was
отпуск,holiday
аминь,Amen
движение,traffic
особенного,special
каждом,each
заняты,occupied
наплевать,do not care
мечта,dream
надеть,wear
зал,Hall
арестовали,arrested
виктор,Victor
шансы,odds
минимум,minimum
оружием,weapon
неловко,uncomfortable
захотел,wanted
джейсон,jason
начинаем,begin
понедельник,Monday
сне,dream
вернешься,return
риск,risk
сучка,bitch
попытка,attempt
скучать,miss
софи,Sophie
каждым,each
огромный,huge
помогла,helped
второе,second
чуть-чуть,a little bit
встретила,met
провела,conducted
сомнения,doubts
подумали,thought
скорей,probably
is,is
мастер,master
пальцы,fingers
небо,sky
открыл,I opened
съесть,eat
сериале,show
займет,It takes
добиться,to achieve
сперва,first
заходите,visit
ла,la
послушать,listen to
двигайся,move
большого,great
норме,normally
личность,personality
товарищ,friend
донна,Donna
поставил,set
приходи,come
быстрей,quickly
следующем,next
заслужил,earned
мест,places
лес,forest
горы,the mountains
собаки,dogs
джереми,Jeremiah
гений,genius
занимались,engaged
встречался,met
джонс,Jones
твоими,yours
проверил,I tested
привело,lead
врача,doctor
людях,people
сверху,from above
опоздал,late
мистером,Mr.
парке,park
мо,mo
поиграть,play a little
нил,Nile
несомненно,undoubtedly
дашь,give
вышли,out
управление,control
разум,mind
хороших,good
прибыли,arrived
плакать,cry
получает,gets
украсть,steal
стоят,are
собрался,gathered
лондон,London
стене,wall
рш,pw
джейми,Jamie
заново,anew
напротив,in front of
искали,sought
программу,program
желания,wish
полное,full
девочку,girl
болезни,disease
планете,the planet
покончить,break away
близки,close
рик,Rick
взгляните,look
охрана,security
лице,person
сделка,deal
армия,army
выстрел,shot
ужасное,disastrous
крутой,steep
выйду,marry
круг,a circle
поехал,I traveled
стену,wall
поделать,help
счастливой,happy
тьi,ti
хэнк,Hank
росс,ross
вещах,things
зале,hall
требуется,required
нравилось,I liked
зло,evil
украли,stolen
верит,trusts
отправиться,go
наружу,out
последнюю,last
устройство,device
лето,summer
уме,mind
хан,khan
поисках,search
отчет,report
встретить,meet
закончила,finished
отойдите,depart
ћы,ћy
хелен,Helen
вскоре,soon
дочерью,daughter
ответь,answer
враг,enemy
ищут,looking
исследования,research
оказались,appeared
пола,gender
сцену,the scene
умерли,dead
используют,used
отдам,I will give
наблюдать,watch
мсье,Monsieur
закончим,finish
силой,by force
пытаясь,trying to
подружка,girlfriend
справишься,can handle
ждали,waited
бесплатно,is free
поиски,search
попрошу,I ask
форму,form
открывай,uncover the
живым,alive
неожиданно,suddenly
своя,its
бывают,are
появились,appeared
мистеру,Mr.
собственный,own
писал,I wrote
пожар,fire
обнаружил,found
следов,tracks
продал,sold
командир,commander
планеты,planet
представление,representation
говорится,states
важный,important
ќет,ќet
псих,crazy
тим,Tim
бо,bo
борту,board
свидетелей,witnesses
полном,full
выглядят,look
уильям,William
контакт,contact
ранен,injured
смотрели,watched
позвоните,call
хрен,horseradish
снимать,take off
субтитры,subtitles
стэн,Stan
ходят,walking
жарко,hot
цена,price
терри,Terry
хмм,hmm
сети,network
животное,animal
искала,sought
плачу,cry
постарайся,try
д,d
бутылку,bottle
пенни,a penny
надоело,bothered
объясню,will explain
футбол,football
похороны,the funeral
управления,management
тупой,stupid
агента,agent
приходят,coming
второго,second
останься,stay
пальцев,fingers
э-э,er
упала,fell
обмен,exchange
миром,the world
продолжим,continue
безусловно,certainly
торт,cake
уйди,get thee
выхода,the
блять,fucking
поработать,work
взрыв,explosion
отвратительно,disgusting
волнуюсь,worried
клуба,club
участие,participation
счастья,happiness
получим,we get
квартиры,apartment
папы,Pope
красавица,beauty
участвовать,participate
америки,america
вырос,increased
недалеко,near
добавить,add
отправили,sent
дэниел,Daniel
тетя,aunt
платят,pay
элисон,Alison
пьян,drunk
общаться,communicate
сбежала,He fled
кайл,Kyle
удобно,conveniently
коп,cop
дл,dl
лицу,face
вспомнил,I recalled
рождества,Christmas
фу,boo
ходила,I went to
принято,received
наблюдения,observations
голоден,hungry
подозреваемый,suspect
джексон,jackson
выбрала,chosen
группе,group
смотрела,I watched
дождаться,wait for
направо,right
столом,table
нога,leg
дорогуша,deary
сыну,son
куплю,buy
просит,Requests
каждому,to each
занятия,lessons
выбирать,to choose
папе,dad
нападение,attack
англии,England
вернёмся,return
произойти,occur
хранить,keep
чаще,more
тратить,spend
возраста,age
восторге,thrilled
обязаны,obliged to
некуда,nowhere
объясняет,explains
молоко,milk
служба,service
корабле,ship
напал,attacked
сыграть,play
помогли,helped
из-под,from under
степени,degrees
лечение,treatment
остаётся,remains
продолжить,continue
париже,Paris
чем-нибудь,anything
осторожен,cautious
настоящим,hereby
закона,a law
границы,boundaries
кэролайн,Caroline
кому-нибудь,someone
радость,joy
беспокоюсь,I worried
луис,Louis
глупости,nonsense
превосходно,excellent
заставила,caused
благодарен,thankful
собак,dogs
уберите,clean
хорошенько,well
выбрали,choose
приняла,took
входите,enter
последнего,last
пойдемте,let's go
преступник,criminal
устраивает,arranges
теле,the body
самую,most
женаты,married
пирог,pie
бросай,throw
карта,map
постойте,stop a moment
лорд,lord
джеки,Jackie
расстались,parted
носит,wears
плана,plan
верни,Return
сок,the juice
установить,establish
пациентов,patients
родителями,parents
книге,book
мари,Marie
надежды,hope
модель,model
общества,society
следующее,following
мусор,trash
сплю,dreaming
единственным,only
эд,ed
доказательство,evidence
беспокойтесь,worry
ходили,went
держитесь,stay
уходишь,leaving
нанял,hired
большее,more
мак,poppy
напали,attacked
призрак,ghost
связан,bound
свадьбе,wedding
вот-вот,exactly
уверяю,I assure
последним,last
посмотрел,I looked
далее,Further
цену,a price
заказ,order
патрик,Patrick
маленькую,small
играли,were playing
определить,determine
повторяю,repeat
продавать,sell
точка,dot
дружок,boyfriend
процентов,percent
пишет,writes
джефф,Jeff
родителям,parents
оставайтесь,stay
газеты,newspaper
дар,gift
новостей,news
приступ,attack
словам,words
ворота,goal
штат,state
здании,building
число,number
автомобиль,car
ти,ty
сердцем,heart
принимаю,I accept
секунды,seconds
папу,dad
понравился,I liked
разговаривали,talked
дыхание,breath
помнить,remember
замечательный,great
возьмем,take
пример,example
пользоваться,use
проверьте,check
борт,board
кое-какие,some
ужасная,terrible
принёс,brought
роза,the Rose
смотрят,look
идёшь,you go
оставим,leave
причиной,cause
штуки,pieces
звонили,called
сними,with them
настроение,mood
положении,position
судить,judge
ею,it
водитель,driver
собрание,collection
угол,angle
названием,named
привел,cited
отстань,leave me alone
предпочитаю,I prefer
странные,strange
подарки,presents
звезды,stars
концерт,concert
отвечай,answer
разговоры,conversations
убирайтесь,Get out
кан,kan
четверг,Thursday
камер,cameras
защиту,protection
доставить,deliver
задача,a task
шею,neck
прислал,sent
живы,alive
острове,island
сумасшедшая,madwoman
фургон,van
арестовать,to arrest
ложись,lie
солнца,the sun
счастливого,Merry
хорошую,good
силах,forces
одиночестве,loneliness
контроля,control
каков,what
трёх,three
нравлюсь,like me
шансов,chance
я.,I.
верну,will return
магазина,shop
увидеться,see
поля,fields
маленьким,small
пары,vapor
сан,San
лучшей,best
живот,stomach
туфли,shoes
роуз,Rose
образ,form
вирус,virus
дьявол,devil
талант,talent
наказание,punishment
владелец,owner
видим,we see
отличное,excellent
пугает,frightening
погибли,killing
даёт,gives
творится,happening
договор,agreement
очереди,queue
безопасность,safety
сознание,consciousness
сошел,I came down
самоубийство,suicide
свободны,free
увидим,see
причину,the cause
способности,abilities
пытаться,try
заплачу,pay
вины,guilt
века,century
миллионы,millions
кричать,shout
системе,system
высочество,Highness
президентом,President
женился,married
события,events
доверие,the trust
роджер,Roger
зомби,zombie
следовать,to follow
обеда,dinner
джесс,Jess
сделаете,make
относится,applies
ребёнком,baby
стиле,style
виновен,guilty
изо,every
джулия,Julia
скрывать,hide
фамилия,surname
прекрасна,beautiful
банка,bank
фотографию,photo
правил,rules
успел,managed
дверью,the door
пальто,coat
ответа,answer
эпизод,episode
тридцать,thirty
выглядел,looked
делами,affairs
защита,protection
сделают,make
счастливым,happy
лестнице,stairs
оставлять,leave
воде,water
провожу,I spend
повод,occasion
спросите,ask
послать,send
столик,table
найдет,finds
полгода,half-year
летом,in summer
месяце,months
вера,Vera
началась,started
ми,E
ошибся,wrong
хлеб,bread
пари,bet
чжин,jin
устроил,arranged
шанса,chance
программа,program
я-то,I have something
должность,position
выглядите,look
танец,dance
подняться,up
завести,make
духе,spirit
пули,bullet
расстроен,upset
ждем,we wait
лондоне,London
появляется,appears
приятного,pleasant
ел,eating
исключением,exception
расти,grow
пациента,patient
покупать,buy
глупая,silly
положил,I put
захотите,want
дорого,expensive
прокурор,prosecutor
раны,wounds
народа,people
ребекка,Rebecca
исчезла,disappeared
подумайте,think
опасность,danger
почувствовал,felt
злишься,angry
нехорошо,not good
роде,kind
нуждается,need
младший,Jr
дадим,will give
сестре,sister
пропустить,skip
спрашиваешь,ask
стреляй,shoot
событий,events
редко,rarely
базе,basis
свободе,freedom
скорую,whip
пуля,bullet
минуточку,wait a minute
освободить,release
приглашение,invitation
слушаешь,listen
выйдешь,marry
кэрол,Carol
точку,point
журнал,magazine
ќу,ќu
наркотиков,drugs
вход,entrance
теория,theory
глупый,stupid
тома,volumes
умираю,die
стрелял,shot
навестить,visit
безопасно,safely
настоящего,present
прибыл,arrived
этаж,floor
уволили,fired
е,e
службу,service
самолёт,plane
услугу,service
определённо,definitely
забуду,I forget
молчать,to be silent
шутки,jokes
подожду,wait
оливия,Olivia
проверим,check
картину,picture
пей,Pei
пост,fast
рой,Roy
смех,laughter
ногами,legs
поддерживать,support
бить,beat
вел,conducted
полицейские,police
членов,members
страха,fear
оскар,Oscar
покажите,Show
разрушить,to destroy
заметить,observe
лоис,Lois
what,what
обещание,Promise
поддержки,support
начале,early
следи,watch
разговора,call
собственную,own
странным,strange
кусочек,a piece
одежды,clothing
держал,held
будучи,being
позволит,allow
приготовить,cook
понравилась,I liked
лгать,lie
обсудим,discuss
суп,soup
обоим,both
встречалась,met
общество,society
тысячу,thousand
пойдёшь,you will go
умрёт,dies
боялась,I feared
маргарет,Margaret
принимает,takes
воздуха,air
победа,victory
маленьких,small
старого,old
район,district
подряд,contract
поедешь,you go
спрошу,I ask
неа,Nope
приём,reception
неделя,a week
снял,stripped off
успех,success
возможное,possible
собственного,its own
личности,personality
находятся,are
чья,whose
перестал,ceased
дыши,breathe
подойти,come up
годами,years
целая,whole
your,your
территории,territory
уроки,lessons
любили,loved
машин,machines
хватило,enough
сцене,scene
углу,corner
странная,strange
друзьям,friends
смит,smith
кармане,pocket
сьюзан,Susan
спасла,saved
смеяться,laugh
эрика,Erika
попробуйте,try
милорд,my lord
станут,will
какую-то,some
эйприл,April
сценарий,scenario
доволен,satisfied
фактически,actually
сути,essentially
директора,director
майка,shirt
съел,eat
пулю,bullet
газ,gas
маленького,small
хо,ho
безумно,madly
слева,left
деньгах,money
надеялась,I hoped
принесли,have brought
звать,call for
высоко,high
сеть,network
изменится,change
эшли,Ashely
вторник,Tuesday
вынужден,forced to
едешь,you go
заднице,ass
ем,eat
тени,shadow
задницы,ass
позволяет,It allows
зак,Zack
показывает,shows
поцеловать,kiss
прошлым,previous
закончу,finished
точнее,more precisely
солдаты,soldiers
настоящей,present
заработать,win
this,this
береги,take care
расследования,investigation
фред,Fred
большего,more
отличие,distinction
веди,lead
действует,acts
замолчи,shut up
речи,speeches
играют,play
возражаете,mind
этаже,floor
хватало,enough
фрэнки,Frankie
вреда,of harm
делам,business
средства,facilities
представляете,represent
поспать,get some sleep
зеркало,mirror
тедди,Teddy
расстроена,upset
for,for
верил,I believed
re,re
читала,I read
почувствовать,feel
свободы,of freedom
нравиться,like
поверил,I believed
толку,confused
бюро,the Bureau
проснулся,woke up
отеля,hotel
фотография,the photo
следующая,The next
образец,sample
правительства,government
области,the
последствия,effects
услышала,heard
меняет,change
десяти,ten
бомбу,bomb
позволите,allow
навредить,harm
поступила,Received
шевелись,look slippy
поближе,closer
долгое,long
половиной,half
правды,truth
пакет,package
пойми,understand
движения,of movement
какого-то,some
переговоры,conversation
программы,programs
подвале,basement
поступать,do
офиса,office
победил,won
задница,ass
армию,army
лиз,Liz
грант,grant
умная,smart
небольшое,small
урод,freak
захочу,I want
кэрри,Carrie
классный,classy
справедливо,rightly
дне,day
новом,a new
фильмы,movies
ибо,for
стоишь,standing
щрн,schrn
чжу,Zhu
передайте,pass
просили,asked
сильная,strong
поддержку,support
проблемой,problem
концу,end
протяжении,over
больна,ill
джули,Julie
подать,tax
слышно,heard
стиль,style
обращаться,treat
согласилась,agreed to
следующие,following
искусство,art
аварии,accident
отличные,excellent
копов,cops
счастливо,happily
отвезу,going to take
карьеру,career
дура,fool
се,ce
старых,old
машиной,machine
пригласили,invited
остановите,stop
рассказывала,told
занимаетесь,Occupation
юн,young
улик,evidence
интернете,Internet
ужасные,terrible
слушает,listens to
вдвоем,double
продолжает,continues
лжи,lies
живем,live
правилам,the rules
хуй,dick
больших,large
признание,confession
делах,affairs
маркус,Marcus
попрощаться,say goodbye
отправился,I went to
вызвал,caused
предстоит,will
лесли,Leslie
обещала,He promised
переехать,run over
звонков,call
прекрасное,beautiful
остановились,stopped
сделки,dealings
опусти,Lower
статью,article
уровне,level
полную,full
забывай,remember
служить,serve
поблизости,nearby
жертвой,victim
танцы,dancing
университет,university
заставили,forced to
научился,I learned
что-либо,anything
сошла,gone
скрыть,hide
приходите,Come
рай,paradise
давал,He gave
врачи,doctors
угроза,threat
горе,sorrow
невеста,bride
лодку,the boat
ээ,er
заранее,beforehand
ум,mind
пью,I drink
становятся,becoming
белого,white
учителя,the teacher
печально,sorrowfully
кое-кого,someone
сенатор,Sen.
красавчик,pretty boy
идею,idea
мадемуазель,mademoiselle
подтвердить,confirm
скажут,tell
самим,by
изменил,changed
прошёл,I passed
видят,see
яд,poison
отследить,track
напарник,partner
детства,childhood
н,n
пойму,I understand
факты,facts
заканчивается,ends
начинают,begin
родилась,I was born
выпил,drank
период,period
ресторане,restaurant
купили,bought
ведешь,behaving
уважения,respect
подарил,presented
левой,the left
проверили,tested
л,l
существо,being
любопытно,curious
вашингтон,Washington
почту,mail
любые,any
чудовище,monster
непросто,not easy
замечательная,remarkable
выпей,drink
помнит,remember
тайлер,Tyler
смотря,looking
alphahff,alphahff
построить,to build
пережить,been through
направлении,direction
ненавидишь,hate
меры,measures
вред,harm
тема,theme
зашел,gone
интерес,interest
красота,the beauty
справа,on right
кожа,leather
способны,able
барни,Barney
настроении,mood
назвали,named
брюс,Bruce
убийств,Kill
главным,mainly
придешь,will come
начнется,will begin
подписать,subscribe
приходилось,had
майкла,Michael
менеджер,manager
oн,OH
подруги,girlfriends
елена,Elena
лучшему,better
сломал,broke
веду,lead
остановился,has stopped
жопу,ass
округе,County
tы,You are the
сознания,consciousness
ножом,knife
встречается,found
главная,home
товар,product
уровня,level
кожи,skin
приеду,will come
сегодняшнего,today
пил,drank
выражение,expression
летать,to fly
научил,I taught
сижу,sit
рэйчел,Rachel
такова,is
получать,receive
джека,Jack
тошнит,sick
обсуждали,We discussed
фредди,Freddie
бывшая,the former
аэропорт,airport
позиции,positions
лорен,Lorraine
повторять,to repeat
прочитать,read
бонни,Bonnie
проваливай,get out
найдете,You find
результате,a result of
считается,considered
вправду,really
станем,will become
белые,white
прикрытием,cover
рыба,fish
форма,the form
записку,note
поделиться,share
сью,Sue
ааа,aaa
относительно,about
остановитесь,stop
имели,had
остальным,others
расслабиться,relax
учился,studied
винить,accuse
женщинами,women
ведут,lead
соседи,neighbors
мешок,bag
засранец,asshole
восстановить,restore
сеньор,liege
городу,city
лабораторию,laboratory
дай-ка,dike
сволочь,scum
спасли,saved
классная,cool
помогут,help
лошади,horses
приму,I accept
наркотиками,drugs
охраны,protection
прокурора,prosecutor
банке,bank
