Japanese,English
飛び降り,Jumping off
意気,Spirit
送り,Feed
近寄,Chikayo
成績,Record
合流,Confluence
是非,I'd love to
例外,exception
同志,Comrade
素直,Docile
ワイアット,Wyatt
本来,Originally
皆殺し,Massacre
各,each
応,Response
引き出,Pull out
主に,mainly
対抗,Opposition
充電,charging
墓地,Cemetery
座り,sitting
売買,Buying and selling
大体,Generally
創,Wounds
田舎,Countryside
万歳,Banzai
同じく,Same
休め,Rest
見張り,Lookout
論,Logical
番地,address
体重,body weight
直感,Intuition
伝わ,Tsutawa
一丿,Ichi丿
衝動,impulse
手首,wrist
持ち帰,Mochikae
一種,A kind
相応し,Correspondingly
直後,Immediately following
探知,Detection
生き返,Ikikae
有能,Efficient
高価,Expensive
人数,Number of people
団体,Organization
境界,boundary
制,Control
日常,Everyday
アナキン,Anakin
女優,actress
保持,Retention
迷子,Lost child
文明,civilization
有利,advantageous
向こう側,The other side
連合,Union
アリソン,Allison
宮殿,Palace
予感,Premonition
性的,sexual
市警,City Police Department
何に,What
先だ,It earlier
次元,dimension
付近,near
アナ,Ana
投与,Administration
回線,Circuit
管制,control
想定,Assumption
建築,Architecture
出所,source
大気,atmosphere
至急,Urgent
停電,Power cuts
直せ,Fix it
応え,Meet
戦術,tactics
比較,Comparison
次回,next time
悪気,Malice
雰囲気,atmosphere
持ち出,And out have
総督,Governor-general
退学,Withdrawal
不快,Unpleasant
中断,Interruption
差別,discrimination
秘書,Secretary
前科,Criminal record
一家,Family
同,same
地帯,Zone
鉱山,mine
伊勢,Ise
保釈,bail
アーム,arm
マフィア,mafia
教室,Classroom
能,Noh
採用,Adopt
拠点,Base
致命,Fatal
表情,Facial expression
話し合い,discussion
王冠,crown
決心,Determination
論理,logic
出動,Dispatch
職務,Duties
論文,paper
大げさ,exaggerated
取材,Interview
推理,Reasoning
以降,Or later
初日,first day
産業,industry
大胆,Daring
引き裂,Pull crack
処方,Prescription
気絶,Swoon
降下,Descent
動産,Personal property
回転,rotation
菜々,Nana
知性,intelligence
あかね,Akane
作成,Creating
銃声,Gunshot
大嫌い,hate
路,A road
偽造,Forgery
現地,local
和解,settlement
無力,Powerlessness
到達,Reaching
握手,Handshake
当たり,Hit
野蛮,Savage
不運,Bad luck
日記,diary
在,Standing
アイ,Ai
説教,Sermon
分かれ,Divided
隊員,Group members
生産,production
大将,General
爽太,爽太
変わり,change
アルバート,Albert
紗絵子,Shaeko
別人,Different person
ソフィア,Sophia
供述,Statement
セクレタリアト,Secretariat
写,Shooting
説,Theory
指環,ring
様々,various
上出来,Good performance
エンジニア,Engineers
小切手,check
愛人,mistress
合意,agreement
先月,last month
仮説,hypothesis
盲目,Blindness
参照,reference
取り戻せ,Get back
無礼,rude
温度,temperature
乗り込,Ride write
宣伝,Propaganda
止,Stop
務め,Served
賞金,Prize
現状,Current status
大麻,Cannabis
生き残れ,Survive
及び,as well as
潜在,Latency
料金,Fee
予算,budget
呼び出し,call
未知,Unknown
不審,distrust
派手,flashy
聴取,listening
手口,Trick
インディアン,Indian
模合,Mogo
決意,Determination
録画,Recording
成し遂げ,Accomplished
納屋,barn
習慣,Habit
人格,personality
義理,Duty
不死,Immortality
毎回,every time
アジア,Asia
合理,Rational
着せ,Dress
動かせ,You move
住人,Resident
郊外,Suburb
展示,Exhibition
人口,population
象徴,Symbol
家賃,rent
広告,Advertisement
広場,Plaza
食堂,Cafeteria
本質,The essence
独立,Independence
鉄道,Railway
過ごせ,Spend
初期,initial
火災,fire
金額,Amount of money
遺産,heritage
消せ,Indelible
協定,Pact
狂人,madman
向き,direction
花火,fireworks
俳優,Actor
身長,height
リアル,Real
馬車,Carriage
戦車,tank
エア,air
標準,standard
香港,Hong Kong
救命,Lifesaving
裁,Judge
外部,Outside
隠し事,Secret
殿下,Your highness
アルコール,alcohol
足元,foot
向き合,Direction if
我が家,Our house
火星,Mars
毎週,Every week
統合,Integration
形跡,evidence
親戚,Relative
住宅,Housing
大人し,Otonashi
動作,motion
反抗,Rebellion
構え,Posture
神秘,Mystery
アドレス,address
検視,Necropsy
わあ,Wow
増加,increase
毛布,blanket
常識,common sense
仕組,Arrangement
最良,best
運営,Management
バックアップ,backup
仮定,Assumption
抗議,protest
持ち上げ,Lifting up
ダイアナ,Diana
軍団,Army corps
男女,Men and women
路地,alley
年上,Senior
師匠,Teacher
主要,Primary
実在,Real
ありゃ,Arya
消去,Erasing
回り,Rotation
部署,Department
アライグマ,raccoon
相続,inheritance
銀河,Galaxy
審査,Examination
放置,Left
営業,Sales
退院,Leaving hospital
懸念,concern
全国,Nationwide
改善,Improvement
動画,The video
東田,Higashida
現代,present day
低下,Lowering
見知,Mississauga
競技,The competition
全滅,Annihilation
立ち寄,Care -
アー,Ah
野菜,Vegetables
悟空,Goku
組合,Union
異議,Objection
名乗,Self-introduction
生き残り,The survival
石油,oil
本心,True feelings
気楽,Comfortable
無茶,Unreasonable
化粧,make up
補給,Supply
野生,wild
フェア,Fair
退治,Extermination
知的,intellectual
経路,Route
アイディア,idea
麗子,Reiko
目だ,It eyes
通り抜け,Through
改造,Remodeling
大騒ぎ,Uproar
先頭,lead
雇用,employment
異星,Alien
成立,Establishment
数十,dozens
税金,tax
兵隊,Soldier
似合い,Well-matched
人員,personnel
電池,battery
コロンビア,Columbia
転が,Is rolling
交差,Cross
通知,notification
考え直,Thinking straight
首都,capital
基準,Standard
賞賛,praise
アイルランド,Ireland
昨年,last year
アレルギー,Allergy
観光,Tourism
最愛,beloved
防犯,Crime prevention
航海,Voyage
男子,Boy
安藤,Ando
大門,Daimon
画面,screen
名簿,Roster
先祖,ancestor
降ろせ,Orose
引っかか,Scratch
機器,machine
養子,Adopted child
流行,trend
前線,front
作り話,Fiction
周波,frequency
外せ,By removing
伝染,Contagion
配,Distribution
臓器,Internal organs
上級,Senior
再現,Reproduction
前方,Frontward
統治,Reign
乗組,crew
迅速,fast
物資,Goods
政権,administration
転換,Convert
観客,audience
入り込,Included enters
香水,perfume
後退,Recession
スチュアート,Stuart
区画,section
ソ連,The Soviet Union
制度,system
接,Contact
家具,furniture
専用,designated
整,Sei
安らか,Restful
あちら,there
祖国,Fatherland
再建,Reconstruction
貴族,Aristocracy
並べ,Line up
降参,Surrender
移送,transfer
転,Rolling
参考,reference
推薦,Recommendation
大戦,Great war
業者,Trader
不在,absence
総統,President
照ら,Shine
交わ,Majiwa
乱暴,Rough
野獣,Beast
厳重,Strict
見直,Reviewing
大和田,Owada
領主,Lord
回路,circuit
口論,Quarrel
射殺,Shot dead
乗っ取,Knot
暴動,Riot
手間,Time
言い,say
会場,Meeting place
採取,Harvesting
消滅,Extinction
文,Sentence
参り,Mairi
業務,business
価格,price
あが,Aga
警視,Police superintendent
子犬,puppy
出産,birth
節約,Saving
空想,Fantasy
重ね,Pile
別々,separately
演説,speech
手袋,gloves
入学,admission
外側,outside
階級,class
引き出し,drawer
弟子,Disciple
組み合わせ,combination
全身,Whole body
母国,Homeland
知事,Governor
引き換え,Exchange
アリシア,Alicia
女神,Goddess
設備,Facility
たどり着,Follow wear
群,group
感心,Admiration
摂取,intake
毎朝,Every morning
無謀,reckless
ミア,Mia
茶色,Brown
経過,Progress
表面,surface
照合,Collation
旧,Old
強烈,strong
加護,Divine protection
苦情,Complaint
延期,Postponement
探検,expedition
院長,Director
所属,Belongs
定め,Determined
猶予,Postponement
裏口,The back door
劇,Drama
解散,Dissolution
急ぎ,Urgent
力丶,Chikara丶
同感,Agreement
令,Decree
先端,Tip
事前,In advance
南部,Southern part
韓国,Korea
団結,Unity
公正,Fairness
聞き,listen
順番,The order
アンドレア,Andrea
照明,illumination
湾,bay
神話,mythology
受け取れ,Receive
寸前,On the verge
祐司,Yuji
会長,President
小人,child
入口,entrance
叫び声,Yell
不良,Failure
合成,Synthesis
聖職,Priests
中隊,Company
あけ,Open
知能,Intelligence
富,wealth
推定,Estimation
口径,Caliber
絵画,Picture
信者,Believer
見通し,Outlook
寛大,Leniency
産まれ,Born
信じろ,Believe
バージニア,Virginia
裕福,Affluence
一矢,Kazuya
特権,Privilege
後方,Behind
入力,input
作り出,Out to make
金髪,Blond hair
行い,Conduct
受け継,Joint received
外傷,Trauma
井戸,well
アッシュ,Ash
座席,seat
雨宮,Amemiya
機長,Pilot
通訳,Interpreter
モリアティー,Moria tea
補佐,Assistance
来年,next year
内臓,Internal organs
解剖,Dissection
あて,Addressed
血清,serum
まあまあ,So so
決着,Settlement
偽名,Alias
幹部,Leaders
子守,Baby-sitter
アンドリア,Andria
空っぽ,empty
食い止め,Halt
提示,Presentation
素人,amateur
アポロ,Apollo
アンジー,Angie
深夜,Late at night
出演,Performance
通れ,Impassable
抑制,Suppression
歌手,singer
右手,right hand
天井,ceiling
振り向,Pretend direction
共謀,Collusion
構成,Constitution
一気,Chug
アート,Art
分子,molecule
５千,5 thousand
共産,Communism
自爆,Suicide
場面,scene
街中,In town
送金,money transfer
呼び,Call
立ち,Start
生まれ変わ,Umarekawa
搭乗,Boarding
店員,Clerk
勢力,power
可哀想,poor
略奪,Looting
細工,Work
体内,Inside the body
化け,Garbled
帰国,Return home
聞か,Asked
食い物,Ripped off
放火,arson
部族,tribe
最期,Last moment
放題,Hodai
診察,Medical examination
角度,angle
美波,Minami
名付け,Named
通用,Spoken
立証,Demonstration
可笑し,Funny
打ち上げ,launch
救済,Relief
液体,liquid
あえて,Dare
平穏,Peaceful
公共,public
服役,Penal servitude
食欲,appetite
感想,Impressions
美,Beauty
予防,prevention
役者,actor
工学,engineering
野心,ambition
哲学,philosophy
抹殺,Obliteration
生え,Grow
理性,reason
欠点,Disadvantage
再度,again
整え,Trimmed
亡命,exile
オーストラリア,Australia
太平,Peace
近付,With near
あん,Ann
向かえ,Celebrating
点火,ignition
荷造り,packing
移植,Porting
箇所,Place
恩人,benefactor
役員,Officer
外見,Outward appearance
便利,Convenient
解析,analysis
魔力,Magical power
明信,Akinobu
要点,Gist
身代金,Ransom
将校,Commissioned officer
一掃,Clean out
名案,good idea
生み出,Out birth
鼓動,Beat
堂々,proudly
投稿,Contribution
意義,significance
反省,Reflection
食らえ,Kurae
野人,Yeti
失業,unemployment
国外,Outside the country
遂行,Execution
下水,sewage
支度,Preparation
要素,element
いやあ,Gee
解釈,Interpretation
周,Circumference
起爆,Exploding
学者,Scholar
計,Total
美味,Delicacy
警,Warning
進路,course
処女,virgin
毎,every
大抵,usually
青年,Youth
識別,identification
翌日,next day
無敵,invincible
取り消,Take consumption
手柄,Feat
仲直り,Reconciliation
公衆,public
食ら,"Food, et al."
衛生,Health
変装,disguise
測定,Measurement
依存,Dependence
立ち入り,Entrance
アンバー,amber
アロー,Arrow
身内,Relatives
破産,bankruptcy
村田,Murata
司祭,Priest
アシスタント,assistant
会合,Meeting
未亡人,widow
アンダーソン,Anderson
昼間,Daytime
傍受,Interception
あふれ,Overflowing
不倫,Adultery
過激,Radical
電,Power
警護,Escort
究極,ultimate
ムーア,Moore
区別,Distinction
何十,Dozens
引き離,Pull away
コア,core
ビクトリア,Victoria
孤立,Isolation
ボランティア,volunteer
一流,top notch
ぶっ殺,Buyya
学べ,Learn
民族,People
報い,Rewarded
兵団,Army corps
活躍,Activity
真下,Directly below
高貴,Royal
占領,occupation
後部,rear end
水曜,Wednesday
加地,Kaji
大砲,Cannon
浄化,purification
親指,thumb
不死身,Invulnerability
解毒,Detoxification
顔色,complexion
前向き,Prospective
新入り,noob
治せ,Naose
見当た,Miata
傑作,masterpiece
上等,Choice
分類,Classification
名声,fame
明朝,Tomorrow morning
人材,Human Resources
ピアス,Earrings
アビゲイル,Abigail
国連,United Nations
家内,wife
群衆,crowd
講義,lecture
交信,Communication
光景,Scene
使者,messenger
概念,concept
組み立て,assembly
乗船,On board
過程,process
旧友,old friend
傾向,Trend
浅野,Asano
結合,Combining
単語,word
徹信,ToruShin
平凡,Mediocre
解体,Dismantling
移民,Immigration
閉店,closed
常務,Managing director
見分け,To tell
取り付け,attachment
補助,auxiliary
窮地,Predicament
策略,Trick
運べ,Carry
敵対,Opposition
ジョシュア,Joshua
丈,length
助け合,Help if
設立,Establishment
楽勝,Easy victory
グレアム,Graham
国土,"Land,"
平均,average
教訓,Lesson
読書,reading
備後,Bingo
調理,cooking
過,Over
上品,Elegant
オーストリア,Austria
独占,Monopoly
片付,With pieces
ダンブルドア,Dumbledore
食品,Foodstuff
丁,Ding
上空,Sky
指摘,Pointing out
上官,Superior officer
復元,Restoration
断言,Affirmation
容器,container
男達,Men
王家,Royal family
点け,Turned
真っ直ぐ,straight
対面,Meeting
一旦,Once
所在,Whereabouts
措置,Measure
アデル,Adel
人手,starfish
クライアント,client
振動,vibration
罪人,sinner
地雷,Land mine
撃ち殺,Killing shooting
照準,Alignment
両,Both
独自,Original
新品,Brand new
社交,Social life
名刺,Business card
分解,Disassembly
アンドレ,Andre
感知,Sensing
発展,development
教官,Instructor
校,school
牧場,Pasture
シリア,Syria
景色,view
却下,Rejection
ユーモア,humor
物体,object
基礎,Foundation
玉座,Throne
重罪,felony
決勝,final
該当,Applicable
向かい,opposite
収入,income
元老,Elder statesman
学習,Study
発動,Activate
一連,The series
防弾,Bulletproof
切り離,Cut away
乗員,Crew
迷路,maze
アップロード,upload
入国,Immigration
同期,Synchronization
アナベル,Annabel
探査,Probe
政策,policy
長者,Millionaire
引き返,Exchange for
後継,successor
資源,resource
法則,law
美女,Beautiful woman
目当て,Mercenary
乱,Ran
認証,Certification
宝物,treasure
自覚,Awareness
適任,Qualified
妥協,compromise
視界,Field of vision
名義,The name
商人,merchant
近道,Short cut
気配,Indication
要望,Demand
当,This
パイア,Paia
先輩,Senior
指定,Designation
響,sound
愛し合,If love
画,Picture
豪華,Gorgeous
不気味,Eerie
安置,Enshrined
フロア,floor
アメリア,Amelia
横たわ,Yokotawa
終身,Whole life
生死,Life and death
無傷,Uninjured
アルフレッド,Alfred
大勢い,Large momentum
出世,Promotion
通り過ぎ,Past
アイアン,Iron
行儀,Manners
予期,Expectation
職人,Craftsman
豊富,Wealth
粉々,In small pieces
別荘,Villa
属,Sp.
定期,Regularly
機体,Aircraft
食物,food
足止め,Confinement
手入れ,Care
長期,Long term
同居,Living together
空中,air
対立,Confrontation
協会,Association
防備,Defense
鑑定,Expert opinion
其処,That place
酒場,Bar
靴下,socks
総,Gross
無能,Incompetence
育ち,Growth
着用,wear
株式,stock
持ちこたえ,Held up
経由,via
夜間,At night
休息,rest
家畜,livestock
知人,acquaintance
上陸,landing
アルマ,Alma
撤回,Withdrawal
ミリアム,Miriam
工事,Construction
落下,Fall
預言,Prophecy
全面,Whole surface
乗り切,Noriki
次々,One by one
続行,Continue
本音,Real intention
倫理,ethics
早速,immediately
高め,Increase
投獄,Imprisonment
薬品,Medicine
体調,Physical condition
大いに,Great
清掃,cleaning
本番,Production
取り掛か,Torikaka
融合,fusion
居所,Residence
発行,Issue
持ち物,Belongings
よそ者,Outsiders
改良,Improvement
アーチー,Archie
手動,Manual
中東,Middle East
放出,release
風船,balloon
対戦,Competition
好物,Favorite food
火傷,burn
西村,Nishimura
アバドン,Abaddon
ああー,A
役人,Government official
独特,Characteristic
家出,Running away from home
アカウント,account
ソフトウェア,software
敷地,site
重荷,The burden
ピアース,Pierce
奨学,Scholarship
アーニー,Ernie
派閥,Factions
住まい,House
アーノルド,Arnold
視,Viewing
打ち合わせ,meeting
執着,Attachment
有力,Leading
あくまで,Only
視聴,Viewing
有り,There
待ち合わせ,Appointment
情け,Compassion
実力,Merit
通じ,Through
起,Cause
実習,Training
余分,extra
進入,Entry
方々,Persons
元々,originally
専攻,Major in
人体,human body
強要,Extortion
記,Record
度胸,courage
企み,Trick
定義,Definition
売却,sale
局長,Director-General
アストラ,Astra
出現,Appearance
依然,still
側面,side
持ち場,Post
長生き,Live longer
生体,Living body
支局,Branch office
発進,Take-off
大地,Earth
規制,Regulation
人違い,Wrong man
大型,large
心得,Knowledge
要員,personnel
臨時,Special
ジア,Zia
裁き,judgment
手当て,allowance
引用,Quote
切り取,Cut
大衆,General public
大陸,Continent
楽器,Musical instrument
漫画,Cartoon
一目,glance
殺戮,Slaughter
土産,gift
ピア,Peer
リディア,Lydia
遺言,will
身近,Familiar
演じ,Play
子孫,descendants
始動,Starting
城壁,Rampart
八,Eight
経緯,Circumstances
主役,Leading part
引き取,Hikito
親衛,Monarch's guards
平等,equality
理,Management
対決,Showdown
受賞,Winning
アンソニー,Anthony
文章,Sentence
共感,Empathy
自首,Surrender
近藤,Kondo
曲げ,bending
解き放,Release solves
疫病,Plague
本題,Main question
気晴らし,Recreation
要塞,Fort
結晶,crystal
内密,Privacy
やり直せ,Redone
申し立て,Allegation
居住,Residence
止まり,Blind
親密,Intimacy
アクション,action
路上,The streets
ジュリアナ,Juliana
物件,Article
丁寧,Polite
任命,Appointment
引っ越し,moving
あいつら,Aitsura
財務,Financial
放り出,Out tossed
器用,Skillful
最小,minimum
口説,Lover's tiff
成年,Majority
山田,Yamada
大半,The majority
褒美,reward
命中,hit
児童,Children
視線,Gaze
押し付け,Pressing
緑色,green
左手,left hand
委ね,Entrusted
規定,Provision
久美子,Kumiko
国務,Secretary of State
仕様,specification
強姦,rape
指図,Instruction
演出,Performance
起こせ,Okose
農家,Farmer
立ち止ま,Tachidoma
積極,Positive
寄生,Parasite
子猫,kitten
歩き回,Arukimawa
私立,private
吐き気,nausea
リア,rear
役所,Government office
制作,Work
出力,output
止血,Hemostat
評決,verdict
反射,Reflection
持ち去,Mochisa
頭部,head
小鳥,Small bird
同胞,Brethren
有機,Organic
アルミン,Aluminate
入隊,Enlistment
仕向け,Destination
留置,Indwelling
居心地,Cosiness
薬局,pharmacy
妥当,Reasonable
体育,physical education
桜井,Sakurai
人民,People
国中,All over the country
整備,Maintenance
あいにく,Unfortunately
演習,Exercises
滅多,Seldom
王座,throne
三角,triangle
道間,Between the road
諸島,Archipelago
強大,Mighty
愛国,Patriotism
アトランタ,Atlanta
手品,Magic
権威,authority
ガーディアン,The Guardian
悪口,Abuse
早急,Urgent
力強,Strength
アリン,Allin
おとぎ話,fairy tale
果物,fruit
少数,a few
落書き,graffiti
次長,Deputy general
聖杯,Holy Grail
空爆,The bombing
回せ,You turn
盛り上が,Moriaga
病人,Sick person
検問,Inspection
アラーム,alarm
合体,Union
難民,refugees
雇い主,employer
手当,allowance
受け止め,Caught
電磁,electromagnetic
来月,next month
盗品,Stolen goods
通行,Passage
出張,Business trip
呼び戻,Return call
同性,Same sex
アンテナ,antenna
称え,Praise
称賛,praise
台本,Libretto
先ほど,Earlier
弁当,Lunch box
凍結,frozen
別名,alias
王族,Royalty
見張れ,Mihare
記入,Record
万が一,By any chance
アメリカン,American
自得,Jitoku
上海,Shanghai
反論,Objection
一線,Clear distinction
口実,excuse
北西,Northwest
名字,Surname
言い分,Excuse
除外,Exclusion
鳥井,Torii
聖堂,Church
交流,Alternating current
教団,Cult
広報,public relations
連隊,regiment
炭素,carbon
放て,Hanate
万全,Perfection
並み,Average
自業,Jigo
戯言,Nonsense
アルゴリズム,algorithm
安らぎ,peace
思い知ら,Know I
病棟,ward
物音,Sounds
分別,Separation
膨大,Expansion
潔白,innocence
時速,Speed
親子,Parent and child
小型,Small size
読み,reading
ギア,gear
点検,inspection
顧問,Adviser
楽園,Paradise
取り調べ,investigation
注入,injection
かあ,Kaa
浜辺,beach
体温,Temperature
支部,Branch
天皇,Emperor
つきあ,Tsukia
毒殺,Poisoning
中学,Junior high school
仮面,mask
住め,Uninhabitable
アムステルダム,Amsterdam
義父,father in law
会員,Member
アンド,and
受付,Acceptance
屋根裏,attic
出会え,Meet
加害,Assault
審議,Deliberation
アイビー,Ivy
変換,conversion
個性,Personality
じゃあまた,see you
製作,Production
感傷,Sentimentality
横切,Transection
如何,How
献身,dedication
差し上げ,Give
人事,human resources
買い手,buyer
配線,wiring
視覚,Vision
家系,Family tree
老師,Roshi
形成,Formation
北朝鮮,North Korea
なあに,Nani
一撃,blow
好調,Favorable
確定,Confirm
小銭,coin
本性,Real nature
口出し,Lead-out
里親,Foster parents
原始,Primeval
情けな,Nasakena
愛せ,Love
真犯人,The real culprit
団長,Grandmaster
壮大,magnificent
無害,Harmless
足首,ankle
推進,Propulsion
植え,Potted
改革,reform
年金,pension
魔物,Goblin
糞野郎,Kusoyaro
主催,Sponsorship
適用,Application
アスガルド,Asgard
食糧,Food
日焼け,Sunburn
減少,Decrease
実家,Home
検証,Verification
性質,nature
回答,Answer
開催,Held
出向,Seconded
感激,Deep emotion
代金,price
響き,sound
応じ,Depending
歌え,Sing
組め,Kume
少尉,Second lieutenant
執事,Butler
寺院,Temple
次期,Next term
ケア,care
視点,point of view
辿り着,Follow wear
劇的,dramatic
悪事,Crime
埋め合わせ,Make up for
致死,lethal
発音,pronunciation
火薬,Gunpowder
ヴィジュアライズ,Visualizers Arise
不潔,Filthy
戦死,Killed
半径,radius
西側,West side
祖先,ancestor
介入,intervention
西部,Western part
下院,House of Representatives
限定,Limit
原,original
作り上げ,Created
そりゃあ,Oh yeah
気違い,Crazy
正午,noon
酸化,Oxidation
階下,downstairs
検知,Detection
象,elephant
傷付け,Hurt
下品,Vulgarity
休日,holiday
大阪,Osaka
企画,Planning
気温,temperature
手本,Model
一夜,overnight
ダイアン,Diane
気まず,Awkwardness
連れ出せ,Tsuredase
衛兵,Guard
後半,Latter half
アルメイダ,Almeida
取り乱,Take turbulent
無知,ignorance
蘇生,resuscitation
森田,Morita
通せ,"Passed,"
観念,Idea
立ち直,Upright
気取,Kido
都会,City
今月,this month
雑音,noise
統計,statistics
気取り,Panache
分裂,division
心地,feeling
言い聞かせ,Telling
金塊,Gold bullion
拘置,detention
アプリ,Application
過小,Too small
牢屋,Jail
保留,on hold
傷口,wound
呼びかけ,Call
制圧,Suppression
アラブ,Arab
落ち合,Fell case
アップル,Apple
健全,Health
引き寄せ,Attracted
ああっ,A'
キックアス,Kick Ass
売女,Bitch
一味,A little bit
引き,pull
引き抜,Pull disconnect
配備,deployment
防げ,Prevent
勝ち目,Odds
至る所,Everywhere
勝ち取,Kachito
農民,farmers
水道,Water supply
天然,Nature
美容,Beauty
向上,Improvement
船員,Sailor
工,Engineering
出航,Departure
愛想,Civility
結びつけ,Tied
ジョージア,Georgia
天候,the weather
導き,Guidance
工業,Industry
消費,consumption
手前,This side
隙間,Gap
領事,Consul
発揮,Display
アリゾナ,Arizona
暗示,Hint
規律,Rules
復旧,restoration
リリアン,Lillian
ジョアン,Joan
岩崎,Iwasaki
健太郎,Kentaro
不滅,immortal
エイドリアン,Adrian
書斎,Study
アーヤ,Arya
成分,component
画家,painter
洪水,flood
台詞,lines
手帳,Notebook
徐々,gradually
決闘,duel
理屈,reason
原稿,Manuscript
水中,Underwater
言い争,Says war
毎月,monthly
北東,Northeast
公聴,Hearing
人目,Glimpse
用語,the term
無数,Countless number
忘れ物,Lost article
アール,R
引き続,Continue
単位,unit
アイランド,Island
防護,protection
住居,Dwelling
不可欠,necessary
聖人,saint
気まぐれ,Capricious
シェア,share
最上,Best
毒物,Poison
出資,Investment
アルビン,Alvin
突っ立,Erect stand
淑女,Lady
目玉,Eyeball
基,Basis
急速,rapid
小隊,platoon
元帥,Marshal
各地,Various places
獅子,lion
不可解,Inexplicable
返済,repayment
関わり,Relation
体力,Physical strength
アル中,Alcoholism
アザ,Aza
同一,Identity
灰色,gray
気持,feeling
処罰,Punishment
アレクス,Arekusu
改めて,again
教科,Subject
時―,Time-
鳴き声,cry
挑発,Provocation
家政,Household economy
行進,march
貫通,Through
身柄,Custody
見学,The tour
示唆,Suggestion
２千,2 thousand
発達,development
等し,Equal
やり直し,Redo
一面,one side
騒音,noise
消耗,Consumption
機材,equipment
複製,Duplication
岸川,Kishikawa
漁師,Fisherman
関節,joint
基金,Fund
領土,territory
一夕,Isseki
花木,Flowers and trees
任意,Any
走り回,Hashirimawa
惨事,disaster
条,Article
アソコ,Dick
手元,At hand
国税,National tax
言及,Reference
手足,limbs
所長,chief
下げろ,Sagero
急行,Express train
気遣い,Solicitude
抗生,Antibiotic
車庫,Garage
活発,Lively
敏感,sensitive
試作,Trial production
和平,peace
精子,sperm
縄張り,Demarcation
広め,Spread
活性,Activity
認知,Recognition
植民,Colonization
若造,Youngster
初心,Original intention
台湾,Taiwan
小児,Child
認可,Approval
退役,Retired
あんま,Massage
光線,Ray
大昔,Long ago
取り合,Take case
代替,Substitute
割り当て,allocation
あの世,The afterlife
振り回,Pretend times
シアトル,Seattle
配慮,Consideration
詩人,poets
アインシュタイン,Einstein
刺青,tattoo
乱れ,Disturbance
あ～,Ah ~
刑期,Prison term
車輪,Wheel
広ま,Hall
消え去,Kiesa
結びつ,Musubitsu
召し上が,Meshiaga
ペア,pair
莫大,enormous
巡回,Patrol
過ぎ去,Sugisa
多田,Tada
墓場,Boneyard
交戦,Battle
アマ,Flax
業績,performance
離脱,Withdrawal
南側,South side
連鎖,chain
適応,Adaptation
仲谷,Nakatani
使い捨て,disposable
達人,Expert
王位,throne
学園,Academy
主婦,housewife
電灯,Electric light
結成,Formation
立ち上げ,Launch
客人,Guests
化石,fossil
宿命,Fate
無理やり,By force
万一,Should
中間,Middle
在庫,stock
総合,Synthesis
学期,semester
問い合わせ,Inquiry
停車,Stopping
ウィリアムズ,Williams
透視,X-ray
マニュアル,manual
加担,Complicity
生理,Menstruation
伊賀,Iga
休戦,Truce
見回,Kai seen
君主,Monarch
米軍,U.S. Army
戦艦,Battleship
消毒,Disinfection
治癒,healing
伝達,Transmission
満月,full moon
親族,relatives
アルバム,album
総理,Prime minister
人助け,Act of mercy
上層,The upper
企て,Attempt
無法,Lawless
金貨,Gold coin
適合,Compatible
来客,Visitor
同類,Same kind
実施,Implementation
フィラデルフィア,Philadelphia
あい,Love
強引,Pushy
誓約,Pledge
方面,Direction
動力,power
一刻,Moment
騒動,Riot
誤魔化,Ayamamaka
存続,The survival
シリアル,Serial
大聖,Daisho
持ち歩,Have Ayumu
搬送,Transport
子息,son
特許,Patent
あわせ,Together
確立,Establishment
用い,Used
一定,Certain
番人,Watchman
調教,Torture
投げろ,Let 's throw
エアコン,Air conditioning
つま先,Toe
陽気,Weather
不意,Unexpected
葉巻,cigar
投げ出,Out throwing
成り行き,Course of events
元カレ,ex boy friend
レア,rare
動転,Being surprised and stunned
あだ名,Nickname
道理,Reason
南西,Southwest
アントン,Anton
散々,Terrible
射程,Range
ベア,Bear
機動,Maneuver
自力,Own
法務,Ministry of Justice
中華,China
手先,Fingers
グロリア,Gloria
ありか,Whether there
肉屋,Butcher
不当,Unfair
施,Facilities
各自,Each
根本,root
送り返,It sends back
仕組み,How it works
一口,bite
小娘,Puss
焦点,focus
長引,Nagahiki
電流,Electric current
星系,Star system
素性,Identity
専念,Devote
旅立,Departure
取り残,Take the remaining
有益,beneficial
総省,Sosho
手数,Trouble
無口,Reticence
間近,Nearness
射手,Shooter
協議,Discussions
後戻り,Backtrack
服用,Dosing
有害,Harmful
リーアム,Liam
一人ぼっち,alone
混合,mixture
速やか,Speed
経費,Expenses
血統,Pedigree
食器,Tableware
実感,Feeling
聞き出,Out to hear
アヒル,duck
素材,Raw materials
アッラー,Allah
頑丈,Sturdy
火葬,Cremate
村人,Villager
減速,Deceleration
半端,Incompleteness
溺死,Death by drowning
中立,Neutrality
代役,Stand-in
消化,digestion
幼児,Infant
移住,Immigration
由梨,Yuri
不吉,Sinister
吸引,Absorption
促進,Promotion
擁護,Protection
結び,Conclusion
入札,bid
類似,Analogy
空き,Free
行使,exercise
敗者,loser
面談,interview
親権,Custody
国籍,Country of Citizenship
朝飯,breakfast
パトリシア,Patricia
勘定,Account
ヴィヴィアン,Vivienne
思い当た,Omoiata
電報,telegram
生まれつき,Born
切開,Incision
光速,speed of light
見上げ,Look up
罰金,fine
