Kazakh,English
жараң,wound
жиырма,twenty
тілектер,wishes
жасымда,At the age of
көмектесесіңдер,help
кешкіріп,keşkirip
кітабы,book
бөлекпіз,'re separated
өзімшіл,selfish
егіз,twin
мыстандар,witches
қиындық,difficulty
тудырады,cause
көмектесер,help
әлемнің,the world
заңы,The law of
досыңды,friend
құтқаруыңа,salvation
кітаптап,READING
екеуіміз,and I
ұғу,comprehend
мағынасын,meaning
сияқтымыз,like
кездесулер,meetings
ұмытылмайды,forgot
ұстау,detention
дәйексөз,citation
қиратты,destroyed
қайтарасыз,return
орнықты,persistent
дей,edit
соңымыздан,followed
жүзіп,sail
бізідң,was our
жаяу,infantry
аялдаманы,bus stops
түрлде,various
қайтарып,review
апарасың,drag
оңбайсың,oñbaysıñ
өтініш,request
кімдікі,whose
ояндың,you awake
естіген,heard
есіңде,remember
қараңғылықтан,darkness
ақытты,TIME
суреттегі,in the picture
аялдамасына,stop
жолдан,way
жүргем,Lay
тоқашты,buns
қағып,interception
чу,Chu
кеміргіш,rodent
танымайсыз,cognition
алға,forward
шақырыңдар,call
көндіре,to persuade
барғың,to go
тамақтанғың,eat
беруді,to give
шештім,I decided to
шіркеудегі,church
астам,More than
досы,friend
бұнда,here
қалғаның,the rest
керекті,necessary
жұмысберушісі,employer
жемекпісің,jemekpisiñ
шақырғаны,the invitation
қысымы,pressure
дауысқа,the vote
жертөледе,in the basement
дөрекілік,rudeness
қашаннан,when
орыс,Russian
кеткенсің,As
балшық,clay
сәбиімді,säbïimdi
жібердің,sent
оңбаған,ungrateful
қазынаңыз,treasurer
тасымалдаушы,carrier
ойлай,think
сөйлесуім,talk
сәбиіңізді,baby
шақырды,invited
қайтарамын,return
ақысына,tuition
сэннің,sénniñ
жүрегі,heart
жеңіп,won
ашыңыз,Open the
көзіңізді,sure
иммигрант,immigration
екенмін,I have
махаббаттың,love
шығынды,loss
шомылып,swimming
жабуға,coating
жетпейді,is not enough
табыс,success
бассейнінде,in the pool
босатылды,relieved of his duties
ұсталды,were detained
сату,sale
қалар,like
бүлдірген,raspberry
түсінді,understood
құрыпталды,qurıptaldı
ұмытты,forgotten
шошқаларды,pigs
жейтін,eat
шұжық,sausage
талпындым,tried
тырысамын,try
қайсарлығың,dedication
үйренгім,to learn
тоңып,heat
қасында,beside
тастаймын,will
айналысуым,employment by
отыруыңа,otırwıña
алтынмен,gold
сұйықтық,liquid
төлейсің,pay
кімнің,whose
жылу,warmth
малдерге,malderge
жасағансыңдар,done
ұйқысы,sleep
шам,lamp
өшетін,turn off
ашығып,hungry
дауыс,voice
төлеймін,I pay
түсіремін,shoot
франкенштейнін,Frankenstein
қонағыңызбын,qonağıñızbın
жауыннан,rain
өшіремін,turn off
әйгілі,popular
ісігінен,cancer
сэннен,sénnen
алыңдар,Take
барлығыңа,all of
есебімнен,report.The
ұнтағын,powder
дәлелдеймін,prove
әділдік,justice
әділдікке,righteousness
жазбаған,did not write
жейсің,eat
будым,I am
былықтарды,bılıqtardı
істетеді,put
сыбайлас,Corruption
қылмыскерлерге,criminals
хабары,message
деседі,They say
ұстады,detained
шомылғым,şomılğım
көтер,Raise
скальпельді,scalpel
семіріп,gain weight
кетпесе,persists
шешу,take off
ақылы,paid
табамыз,we find
жасайсың,do you
орындаңдар,observe
берілме,do not give up
салыңдар,Hear
мойнын,neck
хакусың,Hakuba
жараласың,wounded
трукаларды,trwkalardı
қорқпашы,qorqpaşı
қожайынына,his master
шығарыңдар,out
жазым,accidents
сөйлейді,speak
шығысты,output
докторына,doctor
тани,Recognizing
апамды,She
жақтырмайды,does not like
боласыздар,will
жағалауда,on the beach
от,fire
қойыпты,put
ұйықтағам,uyıqtağam
жегісі,eat
қалғанын,the rest
қарармын,The resolution of
интернеттен,the Internet
кетпеді,did not
бардың,bar
роуд,road
жинаңдар,Store up for yourselves
еңбегіммен,eñbegimmen
беллфлауэр,bellflawér
ашпын,aşpın
жеткізу,deliver
жібермейік,Do not
бармағаның,the journey
оятқанды,WAKE
көшесінде,on the street
жабатын,covering the
өлді,died
франкенштейн,Frankenstein
көрсін,Let the
істемейтін,non-performing
қабылдауымыз,accept
қараңғы,dark
бетінше,independently
болмайтын,can not be
шақырылмаған,invited
сұраймыз,Please
қараңғыдан,the dark
опреацияны,surgery
бөлмелеріңізге,in rooms
қайтыңыз,return to
тапсырмаң,"instruction,"
жуындырасың,wash
көмірге,coal
шиеленітпе,şïelenitpe
айналасың,would
жағдайды,the situation
әдепсіздік,immodest
қоймасы,warehouse
қылып,disappearance
кетіңіз,Take
радиология,Radiology
анықтайсың,to identify
беріпті,Sting
унға,wnğa
сто,Sto
арқанды,rope
тартсаң,Disobedience
ебедейсізсің,ebedeysizsiñ
тұнбаға,precipitate
кептірілген,dried
құрттарды,worms
қосады,adds
тазаламадың,Do not clean
ұстамасаң,attack
ап,up
келейін,The disclosure
ханым,Lady
рэнди,Randy
дайынсыз,Are you ready to
бастауға,to start
жақындап,approaching
сөзін,the word
ақшаны,money
қақиып,qaqïıp
арқан,rope
мықтап,gain a foothold
тоқтағаным,Toktaganym
айтқанын,said
ердім,followed
сендім,believed
топтасып,the group
сенді,believed
қылмысын,crime
велосипед,bicycle
балаларға,children
тартамыз,refuse
қылу,make
тыңдайды,listen to
куәлікті,certificate
қанды,bloody
шығардың,released
трубкаларды,Tubing
мойнынан,neck
тозбалаңға,tozbalañğa
таңертең,in the morning
төменде,below
сұрағаны,asked
шайтанның,the devil
тамағымыз,food
терезе,window
күлкілі,funny
амалы,How to
шайтан,devil
қолдарымен,hands
айтқысы,mean
қабырғадан,wall
кетпедің,Do not
ұстауда,hold
ауруханада,the hospital
дәлелдеп,to prove
жүрді,walked
кешірілген,forgiven
орындалса,are met
атадан,from
суды,water
жіберуді,to send
сұрадым,asked
қымбыт,qımbıt
қозғалма,Do not move
өзімен,with him
ізгі,good
жетіңдер,jetiñder
жеріңе,find your way
бұзылып,distorted
жаралы,casualty
райы,Weather
ұры,thief
бөлесіз,zucchini
ақытыңызды,aqıtıñızdı
әпкемнің,my sister
келгеніме,visit
аңшылауғы,añşılawğı
айтқандай,As the
мөрімді,mörimdi
сүйген,loving
бұлай,so
істемейді,does not
жазылды,subscribed to
түсініп,understand
түсінбейді,do not understand
айдаһарды,the dragon
сиқыршыға,sorcerer
рецепті,The recipe
барлап,spy
ойнаймын,play
ойнағып,to play
бензин,gasoline
жаңағы,these
жауып,close
кіш,kiş
кетпеймін,will not
шыда,patience
жабыңдар,stare
сатқаныңыз,sold
толық,full
анасынан,his mother
ажыраталмай,ajıratalmay
қозғалу,move
қалсын,Keep
аузың,the mouth
күйеді,burns
көмегіңмен,kömegiñmen
сата,sell
сіізге,siizge
сенбейді,do not believe
болғысы,wants to be
оын,pays
бәліш,donut
сындыру,break down
сөйлейтін,speaking
тілінде,language
сындыр,sındır
әпкесінен,his sister
дзэнибаның,dzénïbanıñ
өзінен,itself
шетел,foreign
мөрі,a stamp
шағыр,Shagyr
былық,chaos
шығарыпты,removed
сенбейтін,unbelievable
жеткізгім,express
жара,wound
деңгей,level
өкпенің,lung
сиқыршылық,witchcraft
әйелді,woman
ащы,bitter
алшы,Remember
басқаларын,others
мөрге,seal
дуа,Dua
сақтауым,to maintain
оқылған,read
қатынасым,relationship
өледі,dies
зызбен,connection to the girl
кезінен,Since childhood
сенімдіммін,senimdimmin
дизель,diesel
долырып,dolırıp
танымаймын,know
ұрлауы,trying to steal
құлама,slope
жағдайың,circumstances
демі,breath
бітуде,Lead
ішінен,from the
қайтару,return
көмектеседі,helps
бағаламаппын,underestimated
лабораторияда,laboratory
мойнына,neck
жіберші,Send out
құрметті,Honorary
мырзам,my lord
жаңадан,again
неңе,neñe
күліп,laughing
скаллимін,Scully
күлдің,ash
ббарлығы,bbarlığı
осындайда,like that
өлмейсің,will not die
алмаңдар,Do not
құбылай,Mecca
түсіндің,you understand
сараңданып,sarañdanıp
кімді,whom
кіргізгенімізді,kirgizgenimizdi
білмеппіз,did not know
шара,event
қолданбаңдар,use your
аса,More than
кетіңдер,Get
тараңдар,tarañdar
машинам,car
телефоны,phone
байлығын,the wealth of
сыйлайтын,who respects
кең,wide
мырзамыз,lord
жауған,heavy snowfall
сыйлаңыз,Treat
мындамыз,here
құр,empty
кілемімді,kilemimdi
қалмайын,Do not
өрт,fire
қар,snow
қалың,thick
өткен,past
болғаны,that
вальтер,Walter
вашингтоннан,"Washington, DC"
тиген,in contact with
бастықпен,the chief
уыстап,wıstap
қойғанын,that it has
бүлдірдің,raspberry
көзің,eye
емспін,emspin
сыртқа,outward
эксперименттер,experiments
зерттеуінде,study
клеткалары,cells
зиянды,harmful
талшық,fiber
хабарлама,message
құрығып,we tried to create
ойна,play
ауырасың,heavy
тексеріңіз,Make sure
тоқталды,stopped
шықсам,If the
ауырам,heavy
ауыруың,disease
қымбат,costly
принтер,printer
сырқат,ailment
бактерия,bacteria
сүреді,live
бактериялар,bacteria
ресейде,Russia
жойыңдар,Devote
тыңдаңыз,Listen
звондаңыз,", call"
керуетте,bed
ұйықтамайды,sleep
полицияға,police
тәтті,sweet
ұйықыда,uyıqıda
соқпаған,It took
жолықтырыңыз,to meet
анаңды,mother
жұмыстары,works
ауырттың,painless
фосса,Fossa
көмегіңе,help
улауға,Pickling
хабарлас,Contact
эксперимент,experiment
денесіне,a body of
сыртта,outside
білсем,know
істегендеріңді,what
әкеңмен,father
кешіремін,forgive
табылатын,which
отырсыз,You're
түсініксіз,incomprehensible
іздеумен,looking for
айналысқанмын,prosecuted
естігіміз,hear
қорапта,the box
делік,Let's say
планеталықтар,aliens
ұрлаған,for stealing
қарындасыңызды,qarındasıñızdı
машинадан,the machine
шабуылдаған,attacked
орнын,location of
әйелдің,a woman
агентім,agent
шешуге,to solve
әкелдіңдер,brought
сандырақтап,mad
ұсақ,minute
жаңалықтардан,news
жоқсыз,are not
аралығында,From
құбыжық,monster
келмеген,did not want
жұмысына,the work of
сұрағанын,he requested
кісілерге,men
жаста,years old
керекпін,need
ад,hell
канингэм,kanïngém
шерил,Cheryl
ххх,xxx
жүргенімізді,we are
етпес,taking
адамда,person
әртүрлі,different
полицейліксіз,polïceyliksiz
тізімі,List of
полицейлік,police
аймақта,in the region
дайындаңдар,prepare
өтірік,lie
күнәсінен,sin
арылу,get rid of
істедіңіз,did you
лютер,Luther
ли,Lee
боггз,boggz
транквилизаторын,tranquilizer
клайд,Clyde
бракман,brakman
бастысы,The main thing
джеральд,Gerald
шнауз,şnawz
аймақтың,region
патологоанатом,pathologist
ұқсамайды,does not look like
оқиғаларды,events
талқыладым,the issue
жұмысыңыз,work
жинағанға,collected
ояттырады,oyattıradı
ішкі,internal
экстрасенстермен,ékstrasenstermen
іздерін,traces
табылғанын,found
қолдауға,support
ватиканға,Vatican
жүздеген,hundreds of
шіркеуге,church
оралуын,to return
ісін,business
папаны,Pope
сендірудің,persuasion
елшісі,Ambassador Extraordinary and Plenipotentiary
оқиғалар,events
арасынада,among
санайсыз,do you
түстік,of the color
ізіне,to pursue
санаймыз,We believe
айналатын,circulating
сезесің,feel
шешімнің,decision
жаңалық,discovery
шағарсын,Raise
табатын,finds
ондаған,tens of
айлар,months
ұнамаймын,I do not like
оралмаған,unpackaged
ұйықтаған,to sleep
сұрағы,the question
көрсетсек,show
өмірімнің,my life
сақтығын,safety
сурет,picture
ести,hear
шкафтар,cabinets
хлор,chlorine
баламен,the child
жатқыным,jatqınım
тілмен,language
қатып,freeze
киім,clothing
жеткізе,to deliver
білдің,You knew
шомылатын,swimming
тілді,language
сумкасы,bag
кірсін,Give access
алатыныңды,can
кірме,driveway
еркімен,voluntarily
шықпай,without leaving
бөксесінен,böksesinen
сүйер,lovers
күнді,the date
кешегі,yesterday's
жүргіземін,conduct
түрмеде,prison
педофил,pedophile
төсегіне,bed
қойыңдар,Pay
жүргізесіз,run
нәсіпқұмарларға,näsipqumarlarğa
журнал,magazine
комплексті,complex
басқарып,headed
полиция,police
атқарады,plays
ұқсайтын,similar to
көршісімен,neighbor
жастар,youth
естімесе,heard
мұмкін,Absolutely
спорт,sport
жолда,Along the way
шаршаған,tired
төбелес,fight
жұлынған,cut
жүрген,who
алыған,derived
таппай,can not find
қолды,hands
табатындарың,tabatındarıñ
дегеннің,means
сұмырай,douchebag
кілті,The key to
сынған,broken
екендігі,that
қайтамыз,get back
жанындағы,under the
экстрасенстің,psychics
көңілдеріңді,heart
көтеріңдер,up
жеккөрінішті,contemptible
бұрылыс,rotary
ойым,thoughts
еледің,elediñ
ашайық,We open
нда,in
артын,the back
машинаның,machine
бейшара,the poor
тиісіп,assaulted
ойыңыз,Comment
күресіп,struggling
агентте,agent
отырмасаң,sit down
иттердің,dogs
кеткені,that
жүргеніңіз,you have
екеніңізді,you are
медииналық,medïïnalıq
ұмыттыру,forget
бөксесін,hips
болғанымыз,Being
сүю,love
шықпады,did not
көрсететінімді,render
сезіміңіз,feelings
қалғысы,Peaceable
сүйрей,drag
айтарымды,say
ауруханаға,taken to hospital
ит,dog
феронға,feronğa
транквилизаторды,Sedation
иттерге,dogs
сандырағын,shock
шешкің,to solve
келіскендей,agreed
жастарын,of young people
білсе,know
шығармыз,might
жастары,the youth
келіскен,agreed
сенесің,you believe
алло,hallo
орынға,place
итнимен,ïtnïmen
пациентті,the patient
шешімімізді,resolve
көмектесіңізші,Help
жеткіздім,conveyed to
транкрилизаторы,trankrïlïzatorı
толтыра,fill
алмайтын,can not
орын,place
қалдырған,leave
қарғай,curse
тұрайын,Allow
қозғадық,affect
сақалың,whiskey
келістік,agreed
қырып,destruction
токсикологиқалық,toksïkologïqalıq
есебі,report
есебін,report
радияциямен,radïyacïyamen
уланған,poisoning
берілетін,provided
дәрінің,drug
мүгедектер,people with disabilities
пациетті,patients
жануарға,animal
қосамын,add
тұрыңызшы,Hold
звондағаныма,zvondağanıma
жеңіле,light
қайтқым,to go
тоқтамаңдар,keep going
импрессариом,booking agent
айтамың,You're
қатем,fault
шақырғанмын,Report
экскаватор,excavator
ара,bee
іздеген,looking for
қарындасыңды,"sisters,"
кесетін,cutting
бетон,concrete
құралдарды,instruments
құралдар,media
қарындасым,my sister
іздей,search for
аңшылауға,añşılawğa
күректер,shovels
басқалар,others
дегені,means
көрінбейді,is not visible
машиналарыңды,maşïnalarıñdı
кімнен,those who
кісіден,man
оңға,right
бұрылыңыз,Turn
сарайға,the palace
бұрыңғы,the former
жіберіңдерші,jiberiñderşi
кімсіңдер,who are
бүіг,büig
жұмысшылармен,workers
байқамай,accidentally
соққаным,having scored
жасағым,make
шаруа,peasant
кешіріңдер,Forgive
шаршады,tired
шақырғаныма,invited
соққаныма,soqqanıma
ақыт,TIME
көздерді,sources
бітетін,expire
ішімізде,inside
ильямнан,ïlyamnan
нешеде,How old
терапиясы,Therapy
клетка,cell
біліктілігім,professionalism
жүйесі,system
гугл,google
телефонға,the phone
емдеген,healed
квантико,Quantico
кедергі,interference
қабылдауын,the adoption of
нәтижелерді,results
бересіз,give
азабын,suffering
ұзарту,extend
ауруды,disease
тайыз,shallow
макларен,McLaren
бассейні,swimming pool
бассейн,pool
хабарыңызды,your message
айтуым,tell
мұздағы,ice
дәрігердің,the doctor
денелерін,bodies
алынған,already taken
машинаға,the machine
кесіліп,cut off
жүк,Baggage
машинасы,machine
тауьымыз,tawımız
табуымыз,find
әрбіреуі,each
жолығып,by contacting
бөлшектерін,parts
қатар,In addition to
ойландым,thought
ойландың,you thinking
алаңдата,care
қайсы,which
бэннандікі,bénnandiki
басы,beginning
қарайын,visit
біліктілігіңізге,skills
айтқаны,said
төсегінен,the bed of
әкімшілікпен,administration
әкімшілікке,administration
иллардтың,ïllardtıñ
пациетіміз,patients
палатасында,Chamber of
қалмайды,will not
жатысым,Terni
қимайсыз,qïmaysız
пациетім,patients
шығармайды,does not
қаттылығы,the stiffness
пациетіңіз,patients
қарған,a curse
ұйықтамай,sleep
қарсымын,against
қию,to cut
сөйлестік,talked to
өмірге,life
әкелгені,resulted in
үйреніп,accustomed to
жасы,age
пациеті,pacïeti
қабылданды,adopted
шешілген,resolved
өлімнен,from the dead
келіспесеңіз,do not agree
шешеді,decides
шешпейді,will not solve
әкімшілігі,administration
аурухана,hospital
шешімді,decision
ешкімнің,no one
балаңыз,child
обалына,obalına
жолығыңыз,Please contact your
баланының,child
пациентім,a patient
клеткаларды,cell
аралық,intermediate
аурумен,disease
туралымаған,twralımağan
тыңдағысы,listen to
мамандар,experts
қабырға,wall
шықпайды,does not appear
салуға,the construction of
айналдыратын,converted to
сенер,you believe
қарда,snow
грин,Green
линцезияңызды,lïncezïyañızdı
прокуратурасынанбын,prokwratwrasınanbın
барсін,BARS
жақындамаңдар,to come
коэль,koél
роберт,Robert
еріп,accompanied by
түсініңіз,understand
медиқалық,medïqalıq
ақытым,TIME
картаны,card
осындағы,here
асығуым,to hurry
ақылдастым,consulted
ғашық,in love
ансплантанты,ansplantantı
тр,Tr
мүшесі,a member of the
бадди,a buddy
жаздаппыз,jazdappız
кард,card
бауырын,brother
басшыңыз,manager
шықтық,We have
тасымалдап,transported
көлікті,car
толықтай,full
шаң,dust
қалыпты,normal
бұзақылық,mugging
дұрын,durın
осыдан,here
пациент,patient
ауруханасына,hospital
мемориал,memorial
иллоу,ïllow
жеткізуіңіз,make
көрсетіңіз,specify
қатардан,line
шықпаңдар,Do not
лицензияны,license
өзіңізбен,you
мария,Maria
соға,beating
мазалайтын,concerns
сөйлестіңіз,talked to
ибарра,Ibarra
ұқсас,similar
ферменттер,enzymes
мидан,mïdan
липидті,lipid
шығармай,does not
түсінетін,understanding
ми,brain
тоқтайды,stops
гексозаминдас,geksozamïndas
болсаңыз,If you
ештеңеміз,nothing
деңгейін,the level of
кристианға,Christian
әсерін,the impact of
тексеріп,check the
түрімен,overlooking the
танысайын,get acquainted
ауруымен,disease
дәрежелі,degree
шешіміміз,determination
емнің,treatment
алмасуы,exchange of
ферметтердің,fermetterdiñ
денеге,body
таралуы,The prevalence of
лизосомды,lysosomes
заттардың,substances
болсақ,As for
жиналу,get together
табылады,will be found
аяқтарыңның,your feet
дәрігерісіз,doctor
бастағанда,When you start
қона,landing
лизосомын,lysosomes
зерттедіңіз,researched
үзуге,interrupt
отырғаным,sitting
мидың,the brain
қолданбағанымыз,not in use
әсері,The effect of
жылдамдық,speed
ауруының,disease
баяғыда,a long time ago
қалуға,stay
мінедіңіз,minediñiz
сырыңыз,scratching
кохаку,koxakw
нуси,Nucia
құлап,fall
кеткенің,left
туфлиыңды,twflïıñdı
алайын,like
толқындар,waves
айтқыңыз,tell
көтеріп,lift
жағаға,the shore
шығарды,released
боны,Coupons
әкелемін,I will bring
сенбейсіз,do not believe
ренжітпеді,renjitpedi
байғұс,poor
болғансың,when
аталатын,called
сенетін,who believe in
емессіз,You are not
сүреміз,live
құмаршылық,qumarşılıq
қорғауың,to protect
балақайлар,the kids
қайтататын,qaytatatın
кетпейміз,stay
чи,chi
қалсаңшы,if you
шаруаға,routinized
көмектесесің,help
құмаршылығымыз,sickening appetites
өзімізді,ourselves
жоғалтпа,Do not lose
десе,almost
құлаппын,qulappın
өзеннің,the river
аталғанын,called
әлемі,world
құбыжықтар,monsters
жексұрындар,abominations
кәріптасты,amber
күйеуңіз,Husbands
сізідң,sizidñ
бергенсіз,issued
шешімің,decision
таптың,class
алақай,Hooray
жеңдің,defeated
білдіремін,express
болыңдар,Keep
туннелден,tunneling
шыққанша,until the
отырмаймын,otırmaymın
оқушылар,students
кіргіңіз,log
қатарынан,in a row
шығамын,I go out
қайтардым,returned
әлемге,the world
күдіктімін,the suspect
ораламын,will return
кездесеміз,meet
рұқсатсыз,unauthorized
нақты,real
мүмкіндігің,the opportunity to
боссыңдар,bossıñdar
тапсаң,find
қайтарыңыз,Return the
ережелер,rules
сараңсың,greed
уақытымды,time
көңілді,merry
өткіздім,Chaired
ереже,rule
сэнды,Sand
ренжітсең,renjitseñ
тиелген,immersion
көрмеймін,I do not
немен,what
ережені,rule
көріністен,view
түсіндірді,explained
бұлардың,these
арасынан,among the
тыңдамауға,disobey
апаңды,apañdı
табуың,find
айналысатынымды,job
айныдық,loyal
кеңес,consultation
сөйлесейік,Let's talk
ш,three
ооған,ooğan
дәлеліміз,argument
жұлынып,uprooted
үйінен,the house
шақырым,km
алушы,recipient
қабылдап,accepted
қанмен,the blood of
таңдап,select
гаражы,garage
ауыстыру,replacement
бен,and
құралдарында,media
қаны,blood
қылмыспен,crime
байланыстырасыз,link
ине,needle
топ,group
ү,V
төртінші,fourth
жексенбі,Sunday
құтқаруыңыз,rescue
жеткізгеніңе,jetkizgeniñe
тасымалдаушылардан,carriers
айтпа,Do not
үнемдейді,saves
келгеніңізге,you came from
итнимін,ïtnïmin
білімің,knowledge
хабардарсың,awareness
аурухалар,hospitalized
малдерсіз,maldersiz
орындап,Follow the
айтамыз,say
тапсырыты,order
білген,knew
сонысын,including
материалдар,materials
ісімен,deed
иелері,owners
мониканы,Monica
жоғалғаныңа,missing
тұтқындағанға,arrested
іздегендей,When you search for
болдық,have been
бел,waist
қолдануға,the use of
өткендегі,past
бэннанмен,bénnanmen
шақырттым,sent
өткізгім,to cancel
шындығында,reality
мазам,am anxious
діни,religious
білімді,knowledge
ісінде,in
тығылып,hiding
агентіңіздің,agents
жағдайыңды,circumstances
білмей,do not know
сенімділікте,assurance
жағы,Top
сенбеуіміз,not trust
бэннанды,bénnandı
байладым,decided
қолданып,using the
көрмеген,seen
қолданбақпын,applying
джозеф,Joseph
фитцпатрик,Fitzpatrick
екеуін,both
болағн,bolağn
шкафы,cabinet
криссман,krïssman
барған,went to
агентпен,agent
қалдырып,leaving
аймағы,zone
шіркеу,church
католик,Catholic
жоқсың,have not
білу,know
өтпейінше,until
бэннанның,bénnannıñ
өткізілу,carrying out
экстасенсорлы,ékstasensorlı
опреация,surgery
өзгерттің,to change
жұмысшысы,worker
колумбия,Colombia
вашингтон,Washington
шартым,condition
қараңқының,qarañqınıñ
веленанге,velenange
немістер,Germans
сезімталдықты,sensitivity
білгенге,learning
жориды,interpret
мидағы,the brain
арқасында,thanks
болмысы,The nature of the
сезімсіз,insensitive
отыруымыз,to keep
түңгі,Night
ұқсаймын,am like
өзгермегенге,has not changed
сандыраққа,crap anymore
сенетіп,who believe in
принстон,Princeton
біріншіден,First of all
паранормалды,paranormal
айнер,Jadeon
өзгерте,change
ауф,Auf
көздерім,eyes
мүмкім,possible
кереспе,Please do not argue
кешріңіз,keşriñiz
тоқташы,does not stop
келмеймін,shall not
дегің,you mean
жаз,summer
кітап,book
келгеніңізді,mishaps
лабораториясы,laboratory
малдермен,maldermen
хабарлассаңыз,contact
агентінің,agent
сақтайсыз,save
жүрсе,exercises
білетінім,I know
жеңілтек,windy
кездеспей,met
кетіпсің,look
артымда,behind
істемеймін,do not
жақтың,party
жабылмақ,will be closed
беруің,give
алдымызға,in front of us
болатынын,that
сеннен,to you
іске,run
тұрмыз,are in
құтылғанына,rid of his
қуанған,rejoiced
жалғастырмайды,continue
шақырған,invited
құтылғаныма,escape
звонда,peal
прокуратурасына,The prosecutor's office
ешкіммен,anyone
араласпай,interfering in
кеткеніңе,leave
бақыттымын,I am happy to
жауабыңды,answers
бастау,start
келістім,agreed
алдақашан,has already been
ұстағысы,keep
доктормын,Doctor of
шығару,release
жайында,regarding
кешіреміз,all is forgiven
көмектессең,you help
тағылған,accusations
кінәлерді,kinälerdi
кешірмек,forgiveness
жұмысымды,work
қынжылататыны,qınjılatatını
шыдап,tolerated
жолығайын,refuge
жұрт,the people
қылды,spiny
әсер,effect
екеумізге,me
қынжылып,upset
көмектесемін,help
дәлелдемесі,evidence of
болыпты,was
тыққым,ABC
қараңқыға,qarañqığa
мазақ,ironic
жаһандық,global
of,of
үміттемін,I hope
қорыққандығыңыз,qorıqqandığıñız
өміріңіз,life
екендігін,that
білдіреді,means
көрдіңізбе,have seen
дәрігерсіз,doctors
философсыз,The philosopher
отбасынанмын,family
білуіңіз,know
үйді,house
өлуден,die
тазалағыш,cleaning
жудым,wash
ұрушы,urwşı
қабырғаны,wall
сал,paralysis
дәретхана,toilet
қаз,goose
президентімін,the president
жатыңыз,Lie
кампаладамын,Kampala
ұсынды,proposed
қазандарды,boilers
тең,equal
құлмен,slave
әлсіз,weak
тыңдап,listening to
пуф,Poof
отырыңызшы,Follow
ішіңіздің,Drink
тұрам,Parking
дегенде,at least
тұруыңызды,accommodation
сұраймын,ask
әжептеуір,margin
болашақта,in the future
есіңізде,remember
сыра,beer
аспиринді,aspirin
араластырмаңыз,Do not mix
жағдайымды,situation
көргенің,you have
шошып,horrified
ортада,environment
нәрселердің,things
сақтаймын,save
бергем,Berger
қорқыныш,fear
көрсеткен,specified
әдетте,usually
ескермес,NOTE
түсінкті,tüsinkti
көңілі,disappointed
танысып,acquainted with the
деңіз,say
айтайын,I will say
дегенім,mean
ұялмай,Without any hesitation
досымсың,best friend
тығыз,tight
қатысымыз,involvement in
басқармасы,Department of
мырзамен,Mr.
ерекше,exclusive
қатынаста,relationship
екеніңіз,own
хабардар,aware
екенімізді,that we are
қатынас,access
айтарыңыз,Something to Say
қошемет,applauded
көрсетіп,show
бөлісуіңізді,share
қолдаймыз,support
айтуға,to say
үйрететін,complain
жағдаймен,As of
білетіндеймін,biletindeymin
джолли,jolly
кешіріңізші,i am so sorry
тигізе,have a
пайдаң,profit
тиер,tomer
сенем,believe
әулетін,dynasty
емдеуден,treatment
етуіңе,Large
медецина,medicine
бөліміміздің,department
коридордың,corridor
жағында,at the
орны,place
қаржылайды,benefited
мулагоға,mwlagoğa
амансызба,amansızba
госпиталіміз,Hospital
үйренген,accustomed to
стандартқа,standards
сәйкес,In accordance with the
үмттенеміз,ümttenemiz
алдыңда,before
джунджу,djwndjw
сәтке,moment
аманыз,Amanda
себебін,the reason
істеуім,do
өлтіргісі,kill
қосыласыз,connect to
ғанибетпен,pleasure
бәлесің,shocking
коммунистер,communists
есте,Remember
әскерінен,Syrians
кар,Kar
орап,wrap
комиссияға,commission
жіберіңіз,Please send
әрекетін,behavior
мықты,firm
достым,friend
кетсінші,ketsinşi
тілі,language
халіңіз,"Working in pairs,"
келгеніңе,came
әйелдеріммен,äyelderimmen
таныстырғым,to introduce
маляму,malyamw
нора,Nora
таңдым,At the
футболкаңызға,fwtbolkañızğa
үкіметтік,government
кэмпбелдің,kémpbeldiñ
кешке,in the evening
көлігім,car
құрмет,respect
болғым,to be
халқым,my people
тыңдаңызшы,Sey
қызметін,activity
дамыту,development
миллиондаған,millions
себіңіз,sprinkle
тиеді,transshipped
мойын,neck
уәкілдік,empower
жарға,wall
жықтырамын,jıqtıramın
түсінесіз,understand
болғыңыз,Want to be
мұндағы,here
айтпасқа,mention
шытырмақ,solve
күйеуі,husband
пасық,low
қызықтысыз,interesting
уақытыңызды,time
бекер,in vain
ертеңмен,erteñmen
мектептеріңіз,schools
анасымысыз,anasımısız
таныстыруым,presentation
философиясын,philosophy
арабтар,Arabs
дәрілерін,medicines
тарихты,history
етуіміз,we treat
ұлтымыз,nation
өмірміз,life
тату,tattoo
экономикамыз,economy
қуатты,mighty
қуат,power
барлықтарыңыз,All of
дегенге,link
сенбеген,believed
едіңіздер,Did you
асқа,dinner
астың,food
еті,meat
соңғым,last
дереу,immediately
өлтіргілері,kill
ішіңізді,Drink
көруім,see
өздерінің,their
адамдармен,people
гректер,Greeks
басталған,started
перкинс,Perkins
досым,friend
гариганмен,garïganmen
әріптесі,colleague
сөйлесем,talk
естуімше,I've heard
істеуде,are
ретке,streamline
келтірер,bring
ақкөңіл,good-natured
екені,that
жанымда,with me
болғанына,that
скот,Scott
ханымдар,Ladies
достар,friends
айтпақшымын,aytpaqşımın
кейінірекке,later
қалдырсам,leave
мас,drunk
