Vietnamese,English
xô,shove
cưỡng,forced
cống,drain
rộn,busy
cựu,former
voi,elephants
chăn,blanket
đo,measure
cùng,and
nạp,loaded
yo,yo
bobby,bobby
city,city
xài,spend
nhạy,sensitivity
xí,ugly
dàn,orchestra
nhìn,look
sờ,touch
chóc,chóc
rick,rick
giết,kill
nỗ,efforts
cường,strong
cạo,Strippers
andy,andy
vắng,absent
tảng,foundation
doug,doug
thích,prefer
rỗng,hollow
hưu,pensions
kê,Statistics
francis,francis
wilson,wilson
cấu,structure
dãy,Range
finch,Finch
khác,other
there,there
hank,hank
lấy,pick
ngập,flooded
ow,ow
đắt,expensive
lật,Flip
độn,padded
dại,mad
hắc,dark
khen,praise
marty,marty
côn,insect
ted,ted
lúc,at
mờ,opaque
chắc,sure
hiển,show
đệch,dech
đô-la,dollars
tráng,coated
pin,the battery
xế,driver
now,now
gọn,short
nốt,notes
quấy,harassment
hoá,goods
queen,Queen
hello,hello
khoai,potato
ryan,ryan
maria,maria
gõ,knocking
was,was
amy,amy
bruce,bruce
nho,grapes
đoạt,won
chém,cut
đãi,treat
dược,pharmaceutical
if,if
khoái,pleasure
radio,radio
đếch,dech
nọ,The other
khấu,Dramatic
texas,texas
rảnh,free
lăn,rolling
lỏng,liquid
hoãn,they eat
cừu,lamb
xíu,xíu
mây,cloudy
mm,mm
bầy,herd
blur,blur
toà,court
té,fall
chuộc,atone
fscx,fscx
fscy,fscy
viêm,inflammation
lồng,cage
dỗ,coax
fscx,fscx
katie,katie
cò,stork
nuốt,swallow
jones,jones
they,chúng
lê,pear
ơ,Matt
run,quiver
tể,allows
ngộ,treatment
good,good
victor,victor
nhu,need
bù,compensation
su,su
dọc,vertical
gặp,meet
gordon,gordon
chẳng,barely
bẻ,brake
roy,roy
vạn,thousand
chào,Hello
lạp,Greek
simon,simon
mực,ink
xà,soap
here,here
đai,band
ranh,boundary
trưng,referendum
hằng,constant
lincoln,lincoln
hố,pit
sherlock,sherlock
đà,momentum
rung,vibrate
annie,annie
eric,eric
thói,habits
họng,throat
wayne,wayne
rưỡi,half
hạm,flagship
xưởng,workshop
mới,new
nhấc,lifted
tẩy,eraser
vặt,Classified
edward,edward
lăng,shrine
mại,Commerce
carter,carter
trích,extract
giúp,help
jesse,jesse
châm,prick
king,King
cưỡi,Riding
sean,sean
vịt,duck
trộn,shuffle
giùm,help
dịp,occasions
tát,slap
tiềm,potential
ối,amniotic
trân,treasured
time,time
đỗ,park
giảng,teaching
let,let
al,al
rớt,fall
uhm,Uhm
nhện,spider
muôn,all
j,j
xăm,tattoo
lắc,shake
tông,cardboard
phun,puff
hitler,hitler
jason,jason
walt,Walt
non,young
gài,tuck
muối,salt
lẻ,retail
lắp,mounting
tiễn,practice
cúp,cup
huỷ,cancellation
kiệm,save
bột,flour
chiên,fried
nón,hat
chằm,lasciviously
amen,amen
gay,gay
tăm,toothpick
súc,cattle
emma,emma
thâm,deep
phú,varies
hở,open
marcus,marcus
vất,throw
đẳng,class
bỏ,revoke
bã,dregs
thơm,fragrant
sẹo,scar
amanda,amanda
hết,over
tật,Parking
tần,frequency
chuy,Chuy
lột,strip off
xá,amnesty
lều,tent
thầm,silently
đậy,cover
tào,tào
tản,radiators
fiona,fiona
hãng,the firm
ed,ed
bye,bye
tê,numb
nhã,elegantly
rưởi,trash
mu,mu
lần,time
điếu,cigarettes
ragnar,Ragnar
rủi,risks
pizza,Pizza
kiêu,supercilious
jackson,jackson
xộn,mess
luân,rotation
harold,harold
gươm,sword
rỉ,rusty
chicago,chicago
dập,stamping
miller,miller
đáy,bottom
múa,dance
đồ,thing
dâng,dedicate
luke,luke
tự,self
trở,return
quí,precious
chính,primary
gọi,call
két,safes
lọ,jar
vincent,vincent
los,los
thoả,agreed
gớm,nauseate
kèn,trumpet
chase,chase
sét,lighting
rập,Arabic
buồng,room
dịu,soothe
chuồn,scoot
đè,overrides
lây,spread
ethan,ethan
ward,ward
when,khi
lucy,lucy
tị,refugee
lùn,short
chuyền,volleyball
chớp,lighting
tyler,tyler
mm-hmm,mm-hmm
àh,Ah
hiro,hiro
chiến,fight
khảo,references
bấm,press
lily,lily
banh,ball
thiêng,sacred
hiểu,understand
down,down
dơ,dirty
thea,Thea
california,california
louis,louis
đường,Street
yểm,cover
whoo,whoo
mất,lost
trèo,climb
ngậm,hydrated
trồng,grow
chày,Baseball
nhằm,to
bùa,amulet
hàm,jaw
underwood,underwood
bảo,security
chua,sour
lố,lố
phổ,popular
còng,cuffs
làn,lane
khỏa,Exhibitionism
rose,rose
tui,tui
nhở,cautions
laurel,laurel
ngẫu,random
dê,goat
đệt,đệt
clay,clay
vay,borrow
molly,molly
yi,yi
thép,steel
cà-phê,the coffee
sánh,compare
cốt,reinforced
chuck,chuck
vịnh,Bay
nhé,Please
suỵt,whist
trầm,deep
lisa,lisa
chuỗi,Chain
thuỷ,hydro
nếm,taste
thung,thung
sưu,gallery
lucas,lucas
đính,attached
vỗ,pat
khinh,contempt
lũng,Valley
bịch,bags
cuộc,the
ủi,iron
chuồng,cage
lờ,ignored
ngư,fishermen
tớ,I
quãng,distances
phudeviet.org,phudeviet.org
phiêu,Adventures
phil,phil
ngh,ngh
dán,paste
uy,uy
chĩa,pointed
walker,walker
gary,gary
vải,fabric
vạch,bar
sườn,side
gideon,gideon
garcia,garcia
qu,qu
đấng,Beings
rock,rock
định,No.
who,who
maggie,maggie
jerry,jerry
sảnh,lobby
căm,hate
nhận,take
nã,wanted
chinh,main
nhị,II
khỏi,from
liễu,willow
củ,tubers
khử,eliminate
white,white
ham,enjoy
cháu,grandchildren
quầy,the counter
búp,Doll
lấp,fill
jordan,jordan
hoàng,King
khao,khao
lọc,filter
cớ,excuse
spartacus,spartacus
at,at
kẹp,clip
ngoài,out
mia,mia
láo,láo
carrie,carrie
thiểu,least
bơ,butter
đợt,round
diệp,chlorophyll
khán,crowd
rể,groom
ngất,faint
vú,breast
sọ,skull
nhường,gave way
nàn,complaining
angela,angela
khẳng,confirmed
khôi,reset
ro,ro
nghịch,inverse
lượn,glider
thực,real
điền,fill
see,see
gái,girl
tặc,hijackers
dội,rebound
smith,smith
hãm,braking
đĩ,moll
cẩu,Crane
sắm,purchase
nhổ,pluck
kẻ,who
xả,exhaust
chị,sister
bàng,eagle
lung,lung
nâu,brown
tứ,Quarterfinals
vegas,vegas
đại,contemporary
lận,defraud
holmes,holmes
giọt,drop
cafe,cafe
đố,puzzle
pablo,pablo
hãnh,proud
xuống,down
elizabeth,elizabeth
tè,pee
ian,ian
xỉn,dull
xách,handbags
đái,urinate
roger,roger
kèm,together
linda,linda
toa,car
rạp,theater
reid,reid
bond,bond
moi,moi
karen,karen
ngây,blankly
quăng,toss
from,from
quậy,dolly
chổ,place
bát,bowl
vẹn,integrity
clark,clark
jessica,jessica
chẩn,diagnostic
hỡi,O
alo,alo
julie,julie
flash,flash
vụ,service
hoà,Conditioning
lời,word
khiếu,complaints
hả,huh
savage,savage
reese,reese
ốc,snails
thước,size
charlotte,charlotte
cameron,cameron
rỗi,Available
ngô,Corn
vuốt,claw
rách,torn
êm,smoothly
tro,ash
park,park
ngụy,puppet
raymond,raymond
little,little
khơi,coast
robin,robin
him,photographing
bơm,pump
cố,try
mặt,face
xui,bad
cấy,implant
xưng,confess
bậy,amiss
tuyệt,great
nhạt,pale
caesar,Caesar
as,as
bất,Real
teddy,teddy
xoa,rub
thịnh,prosperity
nấm,mushroom
angeles,angeles
chèo,paddle
khung,frames
nít,Court
dr.,dr.
greg,greg
đoan,group
victoria,victoria
tiếp,more
màng,membrane
how,how
ang,ang
aaron,aaron
nhì,second
carol,carol
lánh,isolated
grant,grant
duyên,coast
phiến,blade
jay,jay
rèn,Forged
matthew,matthew
rau,vegetable
đánh,fight on
côi,fatherless
sòng,casinos
ǵ,ǵ
harvey,harvey
chúa,God
fan,fan
cõi,realms
wells,wells
marie,marie
sập,collapse
nấp,hiding
ngai,the throne
tẩu,mouthpiece
khoe,showing off
sáo,flute
el,el
dặn,commanded
ruồi,fly
buồm,sail
đam,Checkers
a-lô,Hello
khuẩn,bacterial
nhớ,mind
take,take
felicity,Felicity
choàng,muffle
mòn,trail
evan,evan
han,han
khéo,dexterous
tọa,coordinates
andrew,andrew
phàn,complain
bùng,boom
thấu,lens
lẩn,commutation
gen,gene
susan,susan
quặc,outrageous
soi,soi
gotham,gotham
bé,little
santa,santa
bịa,fabricated
thần,God
số,number
bằng,equal
shaw,shaw
h-san,h-san
náo,uproar
gonna,gonna
động,moving
email,email
want,want
jacob,jacob
big,big
chỗ,seat
chốn,place
larry,larry
lậu,pirated
ngột,unexpectedly
đầm,dress
mỏng,thin
khờ,imbecile
am,am
cặn,scale
dna,dna
ráng,try
phô,City
bùn,mud
parker,parker
sôi,boiling
dồn,cornered
dennis,dennis
coulson,Coulson
miêu,miêu
trọn,entire
cooper,cooper
alan,alan
hử,huh
nở,blooming
oxy,oxygen
sex,sex
debbie,debbie
toàn,full
nét,strokes
hẹp,narrow
ây,Hey
canada,canada
castle,castle
đội,team
cole,cole
lam,lam
howard,howard
about,about
son,lipstick
team,team
tà,deviant
chffffff,chffffff
way,way
cay,plough
lơ,neglected
vồ,maul
brown,brown
brody,Brody
jean,jean
patrick,patrick
xảy,happened
búa,hammer
học,learn
giống,like
chục,dozen
túng,in need
berlin,berlin
black,black
manny,manny
mãnh,mãnh
ào,loud
toi,toi
đao,executioner
dời,displacement
lydia,lydia
hông,hip
sương,dew
chun,chun
cuddy,Cuddy
đ,e
mĩ,mĩ
khâu,sew
ngạo,conceited
gạch,brick
allen,allen
mẻ,scratch
đươc,dressed
world,world
day,day
boston,boston
nhuận,profit
thủng,perforation
s.h.i.e.l.d.,s.h.i.e.l.d.
tình,love
saul,saul
chút,bit
tiền,money
lướt,Surfing
gai,thorn
vã,vã
cáu,irritated
thời,time
xuôi,down
trêu,tease
thê,Martha
night,night
ki,ki
chì,lead
men,yeast
foreman,foreman
snow,snow
ừ,yeah
mason,mason
nghiền,squish
xám,Gray
wyatt,Wyatt
bộ,the set
khái,overview
đều,are
giới,world
lẽ,probably
bản,copy
beth,beth
alpha,alpha
lọt,caught
súp,soup
tím,Violet
khuất,obscure
ashley,ashley
lance,lance
nhãn,labels
catherine,catherine
nina,nina
florida,florida
đũa,chopsticks
còi,Horn
giữ,Hold
chửi,verbally
đẽ,dike
piano,piano
she,she
grayson,grayson
nguyệt,moon
bướm,butterfly
vị,you
nến,candle
nghiệt,severe
joseph,joseph
cán,rolling
feet,feet
malcolm,malcolm
gũi,friendly
kiềm,alkali
dưa,melons
davis,davis
cứu,assist
lẻn,sneaked
palmer,palmer
soạn,composer
noah,noah
look,look
bôi,lather
đắm,wrecked
potter,potter
buddy,buddy
hiếu,hospitality
thank,thank
vần,rhyme
bưu,postal
líu,twister
đan,Knit
huệ,Favored
sừng,horn
ngầu,bloodshot
mộc,carpentry
vòi,faucet
rực,brightly
nảy,bouncing
hàng,row
len,wool
thụy,thụy
bóc,peeled
st.,st.
khống,null
iris,iris
nhích,edged
thét,scream
nhai,chew
nồng,hot
scofield,scofield
trả,pay
where,where
chờ,await
đồng,copper
nhúc,crawling
thằng,guy
mấy,few
ngợi,praise
đực,male
scarlett,scarlett
dốc,hill
kelly,kelly
hỏi,ask
na,na
lawrence,lawrence
make,make
a.,a.
lề,margin
bỗng,suddenly
vu,vu
jenny,jenny
tối,dark
helen,helen
bennet,bennet
từng,ever
riley,riley
bịt,Sealant
kyle,kyle
phụng,worship
never,never
julia,julia
kết,link
lạm,inflation
lewis,lewis
sát,close
vác,Slovak
đẹp,pretty
lẹ,rapid
tý,too
jon,jon
seth,seth
us,us
laura,laura
ngự,seated
vài,few
guy,guy
felix,felix
bẩm,congenital
johnson,johnson
green,green
thắn,candidly
cửa,door
rên,whimper
bầm,mother
ron,ron
rebecca,rebecca
game,game
norman,norman
km,kilometer
ken,ken
găng,mittens
phơi,dry
ahh,ahh
internet,Internet
moses,moses
xót,mercy
lệch,deviation
khuyến,extension
nước,country
lester,lester
back,back
sưởi,heating
phế,wASTE
nạt,bullying
vẫy,waved
cáp,cable
trọ,Accommodation
đùi,femoral
fitz,Fitz
hydra,hydra
cua,crab
phòng,room
miami,miami
ned,ned
bonnie,bonnie
chip,chip
bùm,boom
xơ,fiber
dinh,headquarters
roi,rod
nhạo,fun
scotland,Scotland
thây,see
barney,barney
trán,forehead
ẩm,warm
sĩ,Doctorate
nhỡ,missed
grace,grace
giời,giời
hụt,deficit
bảnh,dapper
more,more
khe,slots
tủy,marrow
logan,logan
hù,scare
doạ,threatened
ổn,is fine
hái,pick
taylor,taylor
phết,spreadable
trơn,slippery
nứt,cracked
tuệ,Property
chôm,chôm
bế,closing
lưỡng,bisexual
gầm,roar
jeff,jeff
lannister,lannister
khiết,purified
nhiễu,interference
terry,terry
miles,miles
tôm,shrimp
nộ,wrath
đôn,pedestal
chạy,run
kirk,Kirk
bách,cypress
đứng,stand
ớt,Chili
sir,sir
justin,justin
bord,bord
over,over
sỉ,Wholesale
mánh,tricks
lười,lazy
rầy,hoppers
bong,Bubble
sandwich,sandwich
spock,Spock
hiện,current
ann,ann
avatar,Avatar
show,show
uh-huh,uh-huh
connor,Connor
phanh,brake
sylar,Sylar
maya,maya
gìn,preserve
josh,josh
megan,megan
sô,chocolate
điếc,deaf
nhúng,dip
trặc,trouble
nhánh,branch
web,Visit
nhồi,stuffed
nháy,blink
tỉa,trim
vướng,caught
doc,doc
music,music
kara,Kara
cisco,cisco
địt,địt
lý,physical
lựu,pomegranate
arrow,arrow
phang,phang
moscow,moscow
lõi,core
vãn,courtship
séc,checks
chú,uncle
ôn,review
thảy,all
vụn,shred
blue,blue
think,think
hoành,diaphragm
nhựa,plastic
bì,packing
betty,betty
lẫy,tumblers
bắn,shoot
thoáng,airy
cưa,sawing
triết,philosophy
starling,starling
benjamin,benjamin
né,evade
bỉ,Belgium
sợ,scared
alexander,alexander
gầy,thin
west,west
cún,puppy
chư,Vassal
giở,lifted
miện,crown
ellen,ellen
hm,hm
chanh,lemon
qkk,qkk
hòng,attempt
why,why
hill,hill
mỡ,fat
xuẩn,Absurdistan
happy,happy
daisy,daisy
khuya,late
hack,hack
vặn,wring
neo,anchor
hổng,gaping
jill,jill
phước,blessings
chen,chen
mợ,auntie
zoe,zoe
tiếng,language
thự,villa
could,could
his,hIS
nicholas,nicholas
jamie,jamie
chước,Mirroring
bấy,then
ugh,ugh
then,Athens
chuckles,chuckles
hunter,hunter
cat,cat
que,rods
xôi,distant
marshall,marshall
clarke,clarke
ali,ali
đãng,clear
chồn,fox
fred,fred
hotch,hotch
ngủ,sleeping
vách,wall
christian,christian
need,fash
tưởng,believe
dơi,bats
khiên,shield
chích,sting
rùa,turtle
liếm,lick
lớn,big
our,our
barnes,Barnes
trượng,knobstick
nóc,roof
tạng,organ
star,star
đề,recommended
dỡ,unloading
giầy,shoes
liêng,discerned
aw,aw
merlyn,Merlyn
nhượng,concessions
ạ,sir
jo,jo
rán,fry
would,would
choáng,Stun
bình,jar
alfred,alfred
mac,mac
rach,rach
michelle,michelle
quyên,donation
vừa,fit
nancy,nancy
her,the her
turner,turner
truồng,bare
bừa,harrow
rót,pouring
xịt,spray
trào,movement
cathy,cathy
chật,tight
xen,intercropping
giếng,well
hành,onions
rợ,Barbarian
chuối,banana
nề,masonry
trọng,weight
or,or
sammy,sammy
báo,newspaper
judy,judy
thoái,quit
boy,boy
aang,Aang
hẻm,gorge
lãm,shows
albert,albert
há,Shall
bổn,responsibility
đáng,worth
lou,lou
mr,Mr
vạt,flap
lách,spleen
yến,oats
stone,stone
derek,derek
clb,club
vẻ,draw
xác,verified
đểu,đểu
nghiêng,inclined
quạ,crow
nhược,weakness
trời,God
manhattan,manhattan
won,won
hạ,Summer
whiskey,whiskey
nản,discouraged
von,von
abby,Abby
joy,joy
cuối,final
lộng,inshore
dùng,use
duyệt,Browser
sê,Serial
lm,shut up
ngần,shy
give,give
heart,heart
rành,rành
bởi,by
blake,blake
door,door
barbara,barbara
francisco,francisco
viếng,visit
phiện,opium
khiêm,humility
cong,curved
gào,screamed
đủ,enough
đợi,wait
nắp,lid
caroline,caroline
watson,watson
chang,chang
mật,Secured
báng,bang
pho,cheese
mìn,mine
florence,florence
hăng,Rampage
cối,mortars
dưng,suddenly
tề,presentable
please,please
bời,Boi
sally,sally
tivi,television
chloe,chloe
nghênh,welcome
đắp,up
cửu,multiplication
kid,kid
lìn,Lin
trút,vent
central,central
chọi,fighting
joshua,joshua
vali,Suitcase
dang,book
stan,stan
rỡ,brightly
cọc,deposit
alvin,alvin
điềm,sign
gã,guy
ă,ă
bổng,Whistles
chợt,suddenly
dừng,stop
elena,elena
zoom,zoom
chê,damn
stephen,stephen
tokyo,tokyo
samuel,samuel
ao,pond
holly,holly
ồ,oh
hong,hong
huân,Order
ngứa,itching
hot,hot
thuẫn,contradictions
biệt,special
nực,scorching
nhào,knead
brooklyn,brooklyn
rổ,basketball
phụ,extra
gus,Gus
sync,sync
chải,brush
nhỉ,huh
onii-chan,onii-chan
shit,shit
skye,skye
cúng,offerings
sophie,sophie
percy,percy
jersey,jersey
hội,festival
hán,drought
penny,penny
lầy,marshy
chùi,wipe
đả,Perforce
lân,nearby
diễn,to act
táng,interment
frankie,frankie
darcy,darcy
away,away
thẹn,blustery
ohh,ohh
ngó,look
oz,oz
jackie,jackie
cỡi,riding
israel,israel
steven,steven
skyler,Skyler
nhỏ,small
dana,dana
kiếm,sword
martha,martha
gps,gps
kông,Kong
rủ,invite
cảnh,scene
sorry,sorry
giải,solution
xảo,Magic
khăng,insists
sâm,ginseng
cám,bran
đắc,prime
becca,becca
kong,kong
núp,hide
bịp,bluff
sherman,sherman
anne,anne
vụng,clumsy
cào,claw
đm,đm
năn,contrition
vùi,buried
owen,owen
rãi,cobble
lường,measure
subteam,subteam
hector,hector
casey,casey
rải,spread
kề,adjacency
gom,consolidation
rình,lurk
c.,c.
cầu,bridge
jc,jc
brad,brad
donnie,Donnie
ưng,Falcon
xoáy,eddy
tấp,pull over
đức,virtue
ấu,early
vấn,issues
xoắn,twisted
lon,can
lúa,paddy
đất,land
mẩu,pieces
ru,ru
suối,heating
thôn,village
some,some
đời,existence
dải,strip
hình,Figure
dó,poonah
nhãi,chew
b.,b.
sonny,sonny
virginia,virginia
vét,dredging
téi,Tei
rò,leakage
becky,becky
mỉa,sarcasm
tell,tell
hal,hal
cằn,cằn
finn,Finn
been,Been
neil,neil
mách,tips
máy,machine
củi,firewood
trâu,buffalo
gạo,rice
lốp,tire
đối,for
tracy,tracy
colombia,colombia
nai,deer
siết,tightened
tua,tentacle
chiếc,the
vành,coronary
nín,silenced
dẫm,tread
dc,dc
oscar,oscar
bọt,foam
ivan,ivan
bo,bo
nhiếp,photography
thừng,rope
off,off
ollie,Ollie
ngạt,asphyxiated
sấm,Thunder
đụ,fuck
nicky,nicky
sủa,bark
cừ,piles
gần,near the
quyết,settlement
quấn,wrap
noel,noel
adn,ADN
ak,ak
fox,fox
dẻo,plasticizer
girl,girl
chổi,besom
keo,glue
lút,Sneaky
đàn,Forums
enterprise,enterprise
tuỳ,customization
thắp,lit
bus,bus
hand,hand
nén,compressed
eo,waist
đình,Home
tựa,seat
life,life
dai,tough
bernie,bernie
nhức,ache
mitch,mitch
phàm,philistine
dea,dea
dale,dale
had,Had
bén,sharp
diêm,matches
ronnie,ronnie
chưởng,attorney
sing,sing
bravo,bravo
khéng,Kheng
kèo,rafter
dick,dick
phát,release
vật,object
dù,albeit
kìm,pincers
hợp,well suited
leonard,leonard
cọ,rub
did,did
nghĩa,means
sáng,shining
nồi,pot
mickey,Mickey
lip,lip
hãn,Horde
nghếch,nghếch
hon,hon
cóng,freeze
chặng,leg
khó,difficult
thường,often
sandy,sandy
nhàm,blase
wall,wall
heh,heh
einstein,einstein
kai,kai
tẻ,dull
mép,edge
joffrey,Joffrey
bác,uncle
háo,spectators
xiếc,circus
quý,precious
marcel,marcel
baker,baker
đổi,change
richie,richie
travis,travis
bauer,Bauer
fort,fort
thức,wake
robbie,robbie
lizzy,lizzy
súng,guns
young,young
sẵn,available
carlos,carlos
góa,widow
khoán,stock
vodka,vodka
dốt,ignorant
đứa,children
harris,harris
trẻ,young
tập,collection
diego,diego
tơ,Counters
nhăn,wrinkled
thẳm,abyss
facebook,Facebook
dory,dory
feel,feel
wendy,wendy
lorenzo,lorenzo
rạch,Canal
isaac,isaac
sách,book
cước,charges
khan,anhydrous
đu,swing
bới,dig
uý,captain
roman,roman
lảng,shy
mấu,line
loa,speak
pierre,pierre
xi,xi
xịn,xịn
văng,Sofas
hú,howling
đẫm,Bloody
ó,ó
nhẽ,supposed
them,added
boris,boris
sưng,swelling
xỉ,slag
vá,patch
trắc,monitoring
chay,vegetarian
rõ,clear
toilet,toilet
juan,juan
thản,ease
kit,kit
honey,honey
vanessa,vanessa
nguội,cool
latin,latin
thanks,thanks
băn,wondered
delta,delta
chói,vivid
đấu,tournament
hạch,ganglion
harrison,harrison
tỵ,Refugee
chốc,moment
margaret,margaret
ếch,a frog
houston,houston
too,too
sùng,worm
nữ,female
nhịn,fasting
orleans,orleans
kiểm,inspection
abraham,abraham
dom,dom
cuba,cuba
sasha,sasha
cindy,cindy
rosie,Rosie
xẻo,excision
gabriel,gabriel
dí,wit
tử,death
lãi,interest
lu,lu
jess,jess
vinci,vinci
caitlin,Caitlin
chịu,bear
lt,lt
xít,Nazi
đành,had
xéo,sidelong
hốt,hốt
xắn,lovely
kể,including
karl,karl
wade,wade
still,STILL
hoả,fire
nhĩ,atrial
boong,deck
hollywood,hollywood
hunt,hunt
omar,omar
afghanistan,afghanistan
papa,papa
mốc,musty
nhằn,nhằn
hiên,porch
klaus,klaus
nhử,decoy
donald,donald
vươn,themselves
really,really
điểm,point
phẳng,plane
nấy,nấy
wallace,wallace
ương,Central
call,call
tội,sin
mắng,scolded
cành,spike
thống,system
đệm,buffer
bu,bu
ià,BUDAPEST
nêu,tell
tệ,Currency
mắt,eye
thử,to try on
eh,eh
jennifer,jennifer
jules,jules
dượng,Uncle
mâu,contradictions
úp,úp
santiago,santiago
khoăn,wondered
chọn,choose
erik,erik
bìa,cover
cal,cal
gật,nod
cave,cave
ầm,fuss
heather,heather
donna,donna
petrelli,Petrelli
đốn,chop down
nhậu,nhậu
lội,swim
tara,tara
vệ,protection
diana,diana
sấu,crocodile
halloween,Halloween
bernard,bernard
lượm,gather
vic,vic
phía,the
escobar,escobar
stifler,Stifler
street,Street
rob,rob
lanh,linen
sid,sid
tuế,minnows
scotty,scotty
philadelphia,philadelphia
sky,sky
ri,ri
đôla,dollar
điện,electricity
merlin,merlin
kev,kev
quáng,uncritical
úc,Australia
kế,next
oán,resentment
ng,ng
andrea,andrea
yuri,Yuri
apache,apache
going,going
trym,trym
trường,schools
vọng,outlook
gieo,sow
quẳng,threw
gáy,nape
collins,collins
randy,randy
oan,oan
hoạ,painter
khuyết,Accessible
trát,warrant
phép,permit
franklin,franklin
oa,oa
kang,kang
ruth,ruth
conrad,conrad
đậm,dark
ngồi,sit
dead,dead
mỳ,Noodle
f,f
hood,hood
diễu,march
bad,bad
thuyên,displacement
erin,erin
burrows,Burrows
xỏ,pierced
quentin,quentin
trụi,naked
nỉ,felt
subbing,subbing
lay,shake
mạnh,strong
cẩm,Qigong
valentine,valentine
phần,part
đày,ostracize
đúc,casting
ngõ,lane
liz,liz
tướng,Minister
khoát,decisively
miên,Hypnosis
dưới,below
nhọn,sharp
wanna,wanna
murphy,murphy
slade,Slade
chót,last
lane,lane
tú,excellence
bạ,Directory
reo,ring
đục,opaque
home,home
pheebs,pheebs
trevor,trevor
kìa,behold
kennedy,kennedy
mở,open
patty,patty
loan,loan
hươu,deer
chắn,sure
olivia,olivia
only,only
laughing,laughing
division,division
mỉm,smiling
thọ,life
fuck,fuck
jazz,jazz
nhủ,like
were,were
i,i
jeremy,jeremy
sàng,ready
lauren,lauren
monroe,monroe
ellis,ellis
rễ,roots
winterfell,winterfell
flint,flint
đắng,bitter
tụng,chant
ralph,ralph
kenny,kenny
trum,trum
reed,reed
nate,nate
kền,nickel
lốc,whirlwind
buổi,day
hòm,coffin
tuột,slip off
damon,damon
bài,Posts
si,si
elliot,elliot
mạ,plating
daryl,Daryl
bú,suck
austin,austin
quất,blueberries
ướp,marinated
rương,coffer
beckett,Beckett
vince,vince
georgia,georgia
thấm,absorb
trái,left
giá,price
quẹo,turn
chó,dog
crixus,Crixus
geeta,Geeta
phone,phone
through,through
quỵ,stroke
bella,bella
bell,bell
translated,translated
gallagher,Gallagher
simmons,Simmons
gôn,goal
lẽo,lẽo
yoo,yoo
gót,heel
christine,christine
trí,mind
bái,cult
abu,abu
tết,Tet
nhung,velvet
atlanta,atlanta
giỏ,baskets
ngừa,preventive
rụi,down
mack,mack
léo,clever
kiêng,abstinence
cass,cass
mikey,Mikey
damien,Damien
falcone,Falcone
biến,Out
nòng,barrel
kira,kira
chuyển,moved on
điêu,sculpture
quẩn,vicious
wally,wally
tục,continue
nom,nom
rụng,shed
ricky,ricky
tụt,lag
chceec,chceec
rìu,axe
hé,revealed
sue,sue
lằn,plait
se,se
wolf,wolf
xoá,deleted
moon,moon
vũ,universe
thính,hearing
baxter,baxter
lóc,snakehead
bryan,bryan
again,again
đút,put
wait,wait
nhơ,remember
mmm-hmm,mmm-hmm
fletcher,fletcher
nsa,NSA
parkman,Parkman
hưng,manic
gắt,scorching
troy,troy
miranda,miranda
amber,amber
rand,rand
lòng,heart
sure,sure
both,Both
hức,hức
sức,health
thầu,contractors
quốc,Nations
náu,shelter
eve,eve
bourne,bourne
éo,eo
tượng,statue
todd,todd
vest,vest
mừng,Welcome
delaney,Delaney
ngượng,shy
quỉ,demons
đặt,put
hoàn,Full
chuẩn,standard
janice,Janice
marco,marco
biếng,lazy
chfaebb,chfaebb
kathy,kathy
bét,bét
nhọc,hard
eva,eva
toby,toby
phò,pro
leon,leon
prince,prince
loại,species
dằn,ballast
raven,raven
rã,apart
natalie,natalie
fbl,FBL
something,something
cốp,Jacob
keith,keith
two,two
rữa,washing
cause,Cause
què,lame
hí,theater
lenny,lenny
boyka,Boyka
christ,christ
theodore,theodore
chủ,master
tưng,tưng
xẩy,happened
kansas,kansas
elias,elias
tiến,up
charley,Charley
quái,hell
face,face
xước,scratch
clyde,clyde
khả,availability
capitol,capitol
khốn,woe
nhuộm,dye
katniss,katniss
sansa,Sansa
khía,respects
sebastian,sebastian
dong,Dong
batman,Batman
khép,close
bộc,upsurge
hoắc,patchouli
quinn,quinn
old,old
cúc,chrysanthemum
tụy,pancreas
las,las
has,has
nikita,nikita
vuông,square
hừm,hm
douglas,douglas
ford,ford
brazil,brazil
zach,zach
pat,pat
nại,complaints
krypton,krypton
dunbar,Dunbar
flynn,Flynn
veronica,veronica
nak,nak
find,find
lụa,silk
rio,rio
dĩa,plate
shane,shane
eugene,eugene
láng,glossy
ngơ,blind
woody,woody
dog,dog
triệt,thoroughly
spencer,spencer
vắt,squeeze
cười,laugh
thúc,ends
xẻ,sawn
around,around
duncan,duncan
tã,diaper
violet,Violet
chừa,leave
ngoạn,breathtaking
kg,kg
rạng,rạng
fish,fish
didn,didn
miss,miss
khiến,cause
hell,hell
angel,angel
quyền,permission
samurai,samurai
mọt,weevil
crowley,Crowley
quả,fruit
eyes,eyes
xao,stir
thủ,prime
perry,perry
phồng,Puff
guys,guys
phá,breaking
ngụ,implied
crassus,Crassus
grand,grand
rôi,then
min,min
chùm,cluster
uống,to drink
nhảy,dance
morris,morris
luồng,stream
chí,Releases
mama,mama
lính,soldier
khốc,violently
tổng,total
mút,sucking
better,better
khoáng,mineral
anderson,anderson
amelia,amelia
ngòi,fuse
ngâm,mash
